road_id,width,openness,betweenness,closeness_global,closeness_400,straightness
10371529_743371634_0,50.0,1.0,0.00016408538448003623,9.570232211231344e-05,6.969206579478884e-06,0.8392914230110722
10371529_743371622_0,50.0,1.0,0.006358893616990273,9.572125452633759e-05,6.561614809062097e-06,0.8390744931256409
10371530_267873043_0,38.839166718441234,0.9152542372881356,0.0003275542753286899,0.00010221794184731307,7.732950813121102e-07,0.7368901691417066
13595397_271096577_0,50.0,1.0,0.004027875151857093,0.0001386159386816679,2.2462241058805397e-05,0.8145769902954844
13595397_344814479_0,50.0,1.0,0.00022300255993375944,0.00013872753860367742,2.1949614843704764e-05,0.8134337383452985
13595397_8383189623_0,40.38144775727018,0.3181818181818182,0.0022908483005610455,0.00014014507266767902,1.537391710164247e-05,0.8101466040788644
13598756_245474388_0,50.0,1.0,0.002788246571335641,0.00019417369930622305,1.5866824197472282e-05,0.828881725737538
13598756_243908533_0,32.306448060985204,0.6875,0.002636575126796627,0.0001927530374251179,1.5013916774650378e-05,0.8255523780495977
13598788_13919627_0,34.90960668524343,0.7272727272727273,0.00025873116811615994,0.000184384147037601,1.8557463860228503e-05,0.8341875380231185
13598788_12452780553_0,50.0,1.0,6.386313572367904e-05,0.0001843024756304769,1.9264423162232462e-05,0.8358975596951566
13919619_28836311_0,43.77823400188929,0.75,0.00414825954460344,0.00018377276006399868,1.0645751268073815e-05,0.8190447899996396
13919619_28836319_0,35.54698035628084,0.25,0.004590089321240232,0.00018336334280603283,1.2373474808376744e-05,0.8194936934482264
13919627_169693523_0,15.10165732842766,0.25,0.0013249569035923615,0.0001851147808667899,1.8931885496305694e-05,0.8304284455153086
13919627_29089629_0,34.34410017604213,0.6166666666666667,0.006562938997759018,0.00018528304661719479,1.7650063651301314e-05,0.8324906570787186
13919638_90597716_0,22.7992165167262,0.44642857142857145,0.0008689477734337706,0.00017834294814194019,8.549662982417244e-06,0.8216669983478588
13919638_29750051_0,35.26484611283108,0.5,0.008079261129020096,0.00018126341478476022,9.740608441787743e-06,0.825888940576759
13919638_2795860839_0,30.228096697409967,0.4166666666666667,0.008413232542602723,0.00018037414065096886,8.804954211653139e-06,0.822647218500531
13919640_615044973_0,50.0,1.0,0.003789810531611145,0.00018213469540639905,1.2630621373123653e-05,0.8307869082893568
13919640_28836318_0,26.8206995568385,0.26666666666666666,0.0030718196305527406,0.00018231283100084936,1.1461413320819831e-05,0.8250851073752901
