road_id,green,industrial,commercial
10371529_743371634_0,118.58963909682593,0.0,0.0
10371529_743371622_0,127.14067017011553,0.0,0.0
10371530_267873043_0,145.0120838988888,0.0,6.12004806733208
13595397_271096577_0,3.92671044071145,0.0,0.0
13595397_344814479_0,4.536889177004091,0.0,0.0
13595397_8383189623_0,1.7961431155166376,0.0,0.0
13598756_245474388_0,19.36889909750855,0.0,0.0
13598756_243908533_0,20.298136033896018,0.0,0.0
13598788_13919627_0,9.00384622001095,0.0,0.0
13598788_12452780553_0,9.275098382363735,0.0,0.0
13919619_28836311_0,43.180444845254506,0.0,0.0
13919619_28836319_0,19.462801174451876,0.0,0.0
13919627_169693523_0,3.666361041177536,0.0,0.0
13919627_29089629_0,10.962928440013455,0.0,0.0
13919638_90597716_0,0.013808790973396792,0.0,33.01127951503358
13919638_29750051_0,13.943286881981612,0.0,15.97102014104431
13919638_2795860839_0,0.026078928173095657,0.0,28.29781819417469
13919640_615044973_0,5.3280053190283425,0.0,0.0
13919640_28836318_0,2.2588017462562298,0.0,0.0
13919640_582645232_0,8.380865494909493,0.0,0.0
13919646_153561901_0,5.420297676559688,0.0,0.0
13919646_2739072743_0,6.156838082040637,0.0,0.0
13919646_29749837_0,1.86627245323401,0.0,0.0
13919649_53723978_0,23.981788641609032,0.0,0.0
13919649_169693523_0,5.163299915772969,0.0,0.0
13919649_169694475_0,6.939107769677063,0.0,0.0
13919653_31333462_0,20.45651082231609,0.0,0.0
13919653_674738386_0,47.0444199152616,0.0,0.0
13919747_21225882_0,16.27448177144162,0.0,0.0
13919747_95766256_0,12.053607521631601,0.0,5.248779344366797
13919747_31333461_0,13.827573908006647,0.0,0.0
13919748_285092984_0,8.285034285195932,0.0,0.0
13919748_245474392_0,10.409296842885713,0.0,0.0
13919748_13598788_0,6.3909635342635625,0.0,0.0
13919749_169694476_0,9.474537579212836,0.0,0.0
13919749_245474390_0,24.378268606795015,0.0,0.0
13919749_169694616_0,20.324423453540724,0.0,0.0
21225800_21226989_0,2.479929843560824,0.0,0.0
21225800_21226778_0,8.02221736006343,0.0,0.0
21225801_729314001_0,7.472159268700828,0.0,0.0
21225803_21226395_0,1.6983755945394747,0.0,0.0
21225803_21226754_0,1.9616310328588582,0.0,0.0
21225803_12812222607_0,2.093069822829553,0.0,0.0
21225808_21226838_0,11.967640118798057,0.0,0.0
21225808_2720690359_0,12.42577814783078,0.0,0.0
21225808_2720690361_0,14.788121794795517,0.0,0.0
21225811_21226321_0,35.0011703210783,0.0,0.0
21225817_21226870_0,41.40130162644004,0.0,0.0
21225818_313322380_0,0.7571455376478574,0.4786075870451858,0.0
21225818_618006657_0,0.0,10.63817995681267,0.0
21225818_1477831867_0,0.0,9.061643318391793,0.0
21225818_2565024928_0,0.0,0.6739255308210691,0.0
21225819_279703106_0,0.0,0.0,0.0
21225819_21226575_0,11.75740965180308,0.0,0.0
21225819_21227246_0,0.0,0.0,0.0
21225819_21226844_0,0.10728027421773026,0.0,0.0
21225824_21226824_0,0.12990959376978525,0.0,0.0
21225824_280227747_0,1.7707727901936348,0.0,5.407677976909553
21225824_3976104945_0,1.8169640478408005,0.0,0.0
