road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street,signals,transport,pois,width,betweenness,closeness_global,closeness400,straightness,green,industrial,commercial
10371529_743371634_0,3,3,2,2,1139.1685973601282,0.0,3243.971228416768,0.0,295.92352222467105,288.32893236079104,0.0259008624048323,0.0,0.0,50.0,8.5,5.125129925381928e-06,6.969206579478884e-06,0.9506065814939388,118.58963909682592,0.0,0.0
10371529_743371622_0,3,3,2,4,1106.773563545201,0.0,3243.971228416768,0.0,289.2669566216772,266.5470142374829,0.0066460077556308,0.0,0.0,50.0,3.0,5.018057863084956e-06,6.561614809062097e-06,0.9378630032522496,127.14067017011553,0.0,0.0
10371530_267873043_0,3,3,2,2,2119.5817417639546,0.0,1317.6015027887347,79.17794215259805,14.866980306995206,1472.5117205079866,0.0018590129530134,0.0009295064765067,0.0018590129530134,38.839166718441234,3.0,1.7762667974954694e-06,7.732950813121102e-07,0.9902050991565804,145.0120838988888,0.0,6.12004806733208
13595397_271096577_0,3,3,2,3,0.0,436.04970130176287,0.0,194.5338345932373,13.506098498012998,2720.309808157156,0.1392119070429248,0.0477015260775151,0.0,50.0,825.0,2.3775302563356292e-05,2.24622410588054e-05,0.8892593148736704,3.92671044071145,0.0,0.0
13595397_344814479_0,3,3,2,3,10.18263347915877,436.04970130176287,0.0,194.5338345932373,0.0,2717.720475869052,0.1392119070429248,0.0,0.0,50.0,582.0,2.336447523031379e-05,2.1949614843704764e-05,0.8859133937226362,4.536889177004091,0.0,0.0
13595397_8383189623_0,3,3,2,3,10.18263347915877,416.18776434378935,0.0,183.77186977815316,13.506098498012998,2574.984505748759,0.0247485014964203,0.0,0.0,40.38144775727018,535.5,2.0455188236741203e-05,1.537391710164247e-05,0.818250628857657,1.7961431155166376,0.0,0.0
13598756_245474388_0,3,3,2,4,1242.9063422567372,980.2579530634114,0.0,0.0,0.0,2110.6919915048425,0.1392119070429248,0.0561731983987778,0.0561731983987778,50.0,406.0,2.965215500017208e-05,1.5866824197472282e-05,0.8645361772185065,19.36889909750855,0.0,0.0
13598756_243908533_0,3,3,2,5,1111.677327634852,947.5705597533574,35.63049572817761,0.0,0.0,2045.865543194437,0.0533764574917037,0.0076252082131005,0.015250416426201,32.306448060985204,353.0,2.942810574316679e-05,1.5013916774650378e-05,0.8382797673518712,20.298136033896014,0.0,0.0
13598788_13919627_0,3,3,2,5,508.71044803815766,499.6141835657956,0.0,102.39863157412287,0.0,1813.004624719238,0.0181836513168513,0.0897201713594633,0.0181836513168513,34.90960668524343,333.0,2.789348650084225e-05,1.8557463860228503e-05,0.8682343446747678,9.00384622001095,0.0,0.0
13598788_12452780553_0,3,3,2,5,464.7361032533508,455.692330280696,0.0,54.42397835185833,0.0,1854.73907923604,0.1060566373623504,0.0757547409731074,0.0,50.0,312.5,2.835841807792943e-05,1.9264423162232465e-05,0.8784804081638797,9.275098382363735,0.0,0.0
13919619_28836311_0,3,3,2,5,655.4644679765862,538.0198018304657,245.00464614049324,219.9586561628777,0.0,2150.103674719556,0.0,0.0,0.0230548676342578,43.77823400188929,496.0,2.280703195950397e-05,1.0645751268073817e-05,0.865266294045594,43.180444845254506,0.0,0.0
13919619_28836319_0,3,3,2,5,585.7093940894296,576.9343912410225,157.20517549128954,149.435604031224,0.0,2045.357639661032,0.0,0.0,0.016327737294856,35.54698035628084,453.0,2.287812802060218e-05,1.2373474808376744e-05,0.8475594084102938,19.46280117445188,0.0,0.0
13919627_169693523_0,3,3,2,5,508.71044803815766,499.6141835657956,0.0,121.28806861049236,0.0,1813.004624719238,0.0148194905278421,0.039518641407579,0.0197593207037895,15.10165732842766,633.5,2.9083236240557748e-05,1.893188549630569e-05,0.8898294256116493,3.666361041177536,0.0,0.0
13919627_29089629_0,3,3,2,3,508.71044803815766,499.6141835657956,0.0,121.28806861049236,0.0,1689.4122370026437,0.0,0.0275763304413673,0.0078789515546763,34.34410017604213,583.0,3.0295687170113065e-05,1.7650063651301314e-05,0.8936144416776717,10.962928440013457,0.0,0.0
13919638_90597716_0,3,3,2,5,184.41456769611148,175.38991536526217,110.85068691965678,457.3510525679045,0.0,1388.7967188752132,0.0,0.0,0.0,22.7992165167262,595.0,2.286977970574925e-05,8.549662982417244e-06,0.8307130476553126,0.0138087909733967,0.0,33.01127951503358
13919638_29750051_0,3,3,2,5,429.48579195376345,420.3005649323181,113.1191424826781,315.33724807319805,0.0,1446.5242281579058,0.0,0.0,0.0,35.26484611283108,912.5,2.655708404483926e-05,9.740608441787743e-06,0.8891819687289501,13.943286881981612,0.0,15.97102014104431
13919638_2795860839_0,3,3,2,5,429.48579195376345,420.3359153421178,20.105142258763973,457.4019659943005,0.0,1355.6982598982413,0.0430447212720321,0.021522360636016,0.0,30.228096697409967,814.0,2.6412723874096912e-05,8.804954211653139e-06,0.8853425832317441,0.0260789281730956,0.0,28.29781819417469
13919640_615044973_0,3,3,2,5,422.135714028833,412.8785773724424,244.3032934020872,0.0,0.0,2131.121128706923,0.1392119070429248,0.0,0.0748320160583864,50.0,558.5,2.4202356542419635e-05,1.2630621373123653e-05,0.8757502648829136,5.328005319028343,0.0,0.0
13919640_28836318_0,3,3,2,5,435.50529970548746,426.2491169876102,244.42291354745456,0.0,0.0,2136.4748452455747,0.0148002442476999,0.0,0.0148002442476999,26.8206995568385,295.5,2.3397138052691843e-05,1.1461413320819831e-05,0.8566611880683738,2.2588017462562298,0.0,0.0
13919640_582645232_0,3,3,2,4,435.50529970548746,426.2491169876102,63.78101315589704,0.0,0.0,1964.4822950606556,0.011070400556662,0.0,0.005535200278331,30.657777731244856,337.0,2.5552976754853914e-05,1.5135938771683369e-05,0.8748095611228901,8.380865494909493,0.0,0.0
13919646_153561901_0,3,3,2,5,709.2561212280514,700.1126974132412,187.9235716382516,395.87414872539154,0.0,1223.5008354822537,0.1392119070429248,0.0897201713594633,0.133579753012842,50.0,707.5,2.5737952246476205e-05,1.3460946123786316e-05,0.8859737003131145,5.420297676559688,0.0,0.0
13919646_2739072743_0,3,3,2,5,709.8317531550608,700.4255992409902,187.23225882984477,328.06567678542314,0.0,1236.9172982500304,0.0583827216125779,0.0145956804031444,0.0145956804031444,29.85087730176204,430.5,2.5365204113987104e-05,1.348006907279616e-05,0.8569596302989522,6.156838082040637,0.0,0.0
13919646_29749837_0,3,3,2,5,709.8317531550608,700.4255992409902,0.0,391.95760019591,0.0,1236.9172982500304,0.0319558290954331,0.021303886063622,0.021303886063622,28.70642336652433,741.5,2.815265212442322e-05,1.4251063910860577e-05,0.8852417517063725,1.86627245323401,0.0,0.0
13919649_53723978_0,3,3,2,5,709.4486807727203,700.1337767265952,0.0,366.8560830851122,0.0,1699.5219744018868,0.0402724404867048,0.0805448809734096,0.0402724404867048,44.32882580014389,584.0,3.146565267910855e-05,1.606122383379502e-05,0.882907517318944,23.981788641609032,0.0,0.0
13919649_169693523_0,3,3,2,5,710.3734618500911,701.2590694847552,24.77952204094281,294.0594241445682,0.0,1723.511016641366,0.023261405140576,0.0310152068541014,0.0387690085676267,31.596811188202345,500.5,3.0227909094087556e-05,1.7089902407459656e-05,0.8785005527897745,5.163299915772969,0.0,0.0
13919649_169694475_0,3,3,2,5,711.3802212673199,702.0958572488099,24.77952204094281,366.8560830851122,0.0,1723.511016641366,0.0,0.0057019216476907,0.0228076865907631,24.189303761603757,426.5,3.01570242920376e-05,1.5642321559737053e-05,0.8617575093333534,6.939107769677063,0.0,0.0
13919653_31333462_0,3,3,2,5,748.3433171732798,433.3034003749908,320.6867175246458,177.6409713926843,0.0,2244.608545114466,0.0,0.0,0.0162641151900475,35.2233919762202,151.5,1.84967029477284e-05,7.86339860637924e-06,0.8354625545929766,20.45651082231609,0.0,0.0
13919653_674738386_0,3,3,2,5,748.3433171732798,502.507071792867,278.510778915034,299.7797797995257,0.0,2208.4457357459964,0.0,0.0,0.0645673522267472,46.14545438324991,233.0,2.064349157365692e-05,8.893617091498615e-06,0.8542361456444576,47.0444199152616,0.0,0.0
13919747_21225882_0,3,3,2,5,1244.4684978486848,758.7819820059082,98.4961118406028,0.0,0.0,2389.6820754317887,0.0932845016928655,0.0,0.186569003385731,50.0,524.5,2.4673539438957817e-05,1.4319243395646495e-05,0.8869756224245124,16.27448177144162,0.0,0.0
13919747_95766256_0,3,3,2,5,1111.1802105588365,671.9497008423964,99.99335611833222,0.0,0.0,2331.6211683721376,0.0150147620943958,0.0,0.0225221431415937,28.764370171514976,610.5,2.3527679945150744e-05,1.3376990606703812e-05,0.8696556788613976,12.0536075216316,0.0,5.248779344366797
13919747_31333461_0,3,3,2,4,1242.470613969142,692.9124768147946,19.29455730221155,0.0,0.0,2389.6820754317887,0.0526005742689138,0.0105201148537827,0.042080459415131,35.90283782822828,502.5,2.397074040414851e-05,1.3834130023703632e-05,0.8708003416020234,13.827573908006649,0.0,0.0
13919748_285092984_0,3,3,2,5,709.851793295634,700.8045126871937,16.43887553544083,273.1918606105177,0.0,1888.6214383680756,0.1392119070429248,0.0897201713594633,0.0911741273266643,39.43242650440271,447.5,2.8428345032036565e-05,1.8522176280778877e-05,0.8828639300830698,8.285034285195932,0.0,0.0
13919748_245474392_0,3,3,2,5,709.7230179813104,700.7247054099995,0.0,270.37249961485264,0.0,1909.5500533424624,0.1392119070429248,0.0897201713594633,0.0608125023834987,50.0,499.0,2.842372947943366e-05,1.9184106840476656e-05,0.8959345718891087,10.409296842885713,0.0,0.0
13919748_13598788_0,3,3,2,5,530.3716900968085,521.3258402338445,12.670389004166877,102.39863157412287,0.0,1866.1289835434843,0.0438016465347021,0.0328512349010265,0.0054752058168377,30.51313761371973,272.0,2.7841198990488265e-05,1.829071978073274e-05,0.8692572117543615,6.3909635342635625,0.0,0.0
13919749_169694476_0,3,3,2,5,974.3422142191148,898.1717148406256,36.42671152759084,268.4770016754659,0.0,1917.3732088336983,0.093772167173546,0.0267920477638702,0.0267920477638702,31.094485140155918,986.0,3.133543222774864e-05,1.7487421269379556e-05,0.8820492988297859,9.474537579212836,0.0,0.0
13919749_245474390_0,3,3,2,5,974.3422142191148,863.5537607257809,0.0,268.4962551985008,0.0,1985.063680866676,0.1392119070429248,0.082425620457167,0.0,50.0,721.5,3.0918135449354645e-05,1.633508602264826e-05,0.8734143322406849,24.37826860679501,0.0,0.0
13919749_169694616_0,3,3,2,5,892.7552351137756,878.1361295288598,36.42605839070914,268.5641499552657,0.0,1952.2384850959736,0.0735837657544841,0.0122639609590806,0.0122639609590806,32.34302025098776,544.0,2.994209859756264e-05,1.5663745392251587e-05,0.8474825552064903,20.324423453540724,0.0,0.0
21225800_21226989_0,3,3,2,5,3099.8850141627668,259.0523276006429,0.0,158.93592601487617,0.0,4073.120956617086,0.0,0.0,0.0,32.96177374724799,366.0,2.1794754978831874e-05,9.145182527180885e-06,0.8400705042601291,2.479929843560824,0.0,0.0
21225800_21226778_0,3,3,2,3,3033.9022567483507,259.0687134826943,0.0,0.0,0.0,4095.546318788524,0.0251566355537919,0.0125783177768959,0.0,45.37338082634015,473.0,2.428375188378036e-05,1.0275776509701792e-05,0.8766429419581507,8.02221736006343,0.0,0.0
21225801_729314001_0,3,3,2,3,2646.3719204531358,776.2795339362476,0.0,347.6141444973506,14.936452880276928,4608.247221534671,0.0,0.0235104956053353,0.0,39.03173187442074,183.0,1.8719198253598656e-05,7.837466464465998e-06,0.8941579934023456,7.472159268700828,0.0,0.0
21225803_21226395_0,3,3,2,5,3176.987193660413,1593.161045510211,959.0624057847216,332.9315059656705,0.0,685.3729513805504,0.1360069224616637,0.0680034612308318,0.0906712816411091,46.490007064984354,985.5,2.9050713382847262e-05,2.0374393469476268e-05,0.8417103709598341,1.6983755945394747,0.0,0.0
21225803_21226754_0,3,3,2,5,3173.2212067103724,1566.4932042744645,932.64781111529,329.9848235253013,0.0,728.2792356315348,0.1392119070429248,0.0897201713594633,0.1784777090630274,36.36732861019045,762.0,2.876599772173455e-05,1.92754513196352e-05,0.830298518768513,1.9616310328588584,0.0,0.0
21225803_12812222607_0,3,3,2,5,3193.361456685918,1579.5254608093132,944.7823421878236,350.0739160935649,0.0,728.2792356315348,0.1392119070429248,0.0897201713594633,0.1903435532103117,50.0,1151.5,2.9433621571201624e-05,1.9806191206712708e-05,0.840260132673393,2.093069822829553,0.0,0.0
21225808_21226838_0,3,3,2,5,2771.442715458048,812.9253383991468,128.17784371298993,374.7465099008551,0.0,4654.879462691107,0.0,0.0,0.0,50.0,470.0,1.9966178641240653e-05,8.447846134911081e-06,0.8317016483283214,11.967640118798055,0.0,0.0
21225808_2720690359_0,3,3,2,5,2763.19285492357,807.4720262317654,108.90008583992152,372.0305187291728,0.0,4649.283792119418,0.0,0.0,0.0,50.0,627.0,2.000268176658896e-05,8.510302045782765e-06,0.8249143478422931,12.42577814783078,0.0,0.0
21225808_2720690361_0,3,3,2,5,2751.720267496594,812.9253383991468,120.0245649101669,374.7465099008551,0.0,4654.879462691107,0.0,0.0,0.0,50.0,308.0,1.9539286175943657e-05,8.216819122500369e-06,0.8176058417806833,14.788121794795517,0.0,0.0
21225811_21226321_0,3,3,2,5,2202.618440113735,371.9030837575767,0.0,172.76239806620814,0.0,3550.851757958634,0.0561428409735088,0.0,0.0,39.50642801999891,982.5,3.719891938226698e-05,1.6565620909906845e-05,0.8556065003658797,35.0011703210783,0.0,0.0
21225817_21226870_0,3,3,2,3,213.28442397259585,210.14680267844344,0.0,295.9647302692801,100.88496738465226,2968.263283135187,0.0037099670266437,0.0,0.0,50.0,36.5,7.163290798976444e-06,3.691716825846687e-06,0.913947087659357,41.40130162644004,0.0,0.0
