road_id,noise_actual,pred_lr,resid_lr,pred_xgb,resid_xgb,pred_rf,resid_rf,outlier_lr,outlier_xgb,outlier_rf,consensus
30227132_30227133_0,55,50.41,4.59,53.79,1.21,53.35,1.65,0,0,0,0
30227132_30227153_0,45,50.07,-5.07,48.68,-3.68,47.85,-2.85,0,0,0,0
30227132_30227154_0,50,50.25,-0.25,50.86,-0.86,50.7,-0.7,0,0,0,0
30227133_2264151290_0,55,52.2,2.8,54.2,0.8,55.5,-0.5,0,0,0,0
30227134_30227135_0,55,50.25,4.75,51.86,3.14,51.95,3.05,0,0,0,0
30227135_30227136_0,40,51.58,-11.58,48.48,-8.48,44.3,-4.3,0,1,0,1
30227136_8246056358_0,50,52.29,-2.29,52.86,-2.86,52.05,-2.05,0,0,0,0
4558516077_2128039885_0,40,46.13,-6.13,41.94,-1.94,40.85,-0.85,0,0,0,0
4558542629_4558542630_0,55,57.55,-2.55,55.64,-0.64,55.05,-0.05,0,0,0,0
30227139_30227131_0,45,49.51,-4.51,47.81,-2.81,45.5,-0.5,0,0,0,0
30227139_30227136_0,55,49.49,5.51,52.91,2.09,52.6,2.4,0,0,0,0
30227153_30227132_0,45,50.07,-5.07,48.68,-3.68,47.85,-2.85,0,0,0,0
30227153_30227158_0,45,50.55,-5.55,48.98,-3.98,51.5,-6.5,0,0,0,0
30227154_30227132_0,50,50.25,-0.25,50.86,-0.86,50.7,-0.7,0,0,0,0
30227156_30227157_0,45,52.65,-7.65,46.24,-1.24,45.85,-0.85,0,0,0,0
30227156_30227151_0,45,52.63,-7.63,45.09,-0.09,46.6,-1.6,0,0,0,0
4558542629_4558542631_0,55,56.73,-1.73,57.66,-2.66,55.68,-0.67,0,0,0,0
30227157_30227156_0,45,52.65,-7.65,46.24,-1.24,45.85,-0.85,0,0,0,0
30227157_30227134_0,55,50.84,4.16,47.3,7.7,48.6,6.4,0,0,0,0
4560303034_5275865099_0,55,57.77,-2.77,54.95,0.05,54.8,0.2,0,0,0,0
30227158_30227159_0,55,50.41,4.59,52.94,2.06,54.15,0.85,0,0,0,0
30227158_30227134_0,55,50.49,4.51,50.59,4.41,51.25,3.75,0,0,0,0
4560303034_974261552_0,55,54.77,0.23,55.03,-0.03,55.0,0.0,0,0,0,0
30227159_30227158_0,55,50.41,4.59,52.94,2.06,54.15,0.85,0,0,0,0
30227159_30227135_0,55,49.73,5.27,52.7,2.3,52.6,2.4,0,0,0,0
4569473793_1484829198_0,50,51.41,-1.41,51.65,-1.65,51.13,-1.13,0,0,0,0
4575453078_2081027411_0,45,49.4,-4.4,47.1,-2.1,46.85,-1.85,0,0,0,0
30227192_112409079_0,60,51.17,8.83,56.32,3.68,58.95,1.05,0,0,0,0
30227192_112409083_0,60,54.32,5.68,54.63,5.37,55.9,4.1,0,0,0,0
30227193_30227195_0,50,52.23,-2.23,58.72,-8.72,53.65,-3.65,0,1,0,1
4578927239_1310620176_0,40,47.12,-7.12,40.94,-0.94,40.65,-0.65,0,0,0,0
30227195_30227196_0,60,52.62,7.38,57.74,2.26,58.2,1.8,0,0,0,0
30227195_30227157_0,45,51.53,-6.53,47.88,-2.88,50.35,-5.35,0,0,0,0
4584724811_6385903303_0,45,50.61,-5.61,48.4,-3.4,47.65,-2.65,0,0,0,0
30227196_30227153_0,60,51.51,8.49,50.49,9.51,52.65,7.35,0,1,1,2
30227198_30884331_0,50,52.12,-2.12,52.73,-2.73,53.55,-3.55,0,0,0,0
4587763084_347344150_0,45,54.38,-9.38,49.03,-4.03,52.55,-7.55,0,0,1,1
4587765894_4587765898_0,45,52.89,-7.89,45.88,-0.88,46.6,-1.6,0,0,0,0
30227229_30227137_0,50,53.52,-3.52,52.37,-2.37,51.5,-1.5,0,0,0,0
4587765898_4587765901_1,45,52.76,-7.76,43.95,1.05,45.95,-0.95,0,0,0,0
30227232_30227160_0,55,53.97,1.03,59.22,-4.22,54.1,0.9,0,0,0,0
30227233_1400544022_0,60,52.82,7.18,56.14,3.86,57.5,2.5,0,0,0,0
30227233_30227154_0,55,52.55,2.45,53.81,1.19,54.85,0.15,0,0,0,0
30227390_112398908_0,55,52.02,2.98,53.11,1.89,54.1,0.9,0,0,0,0
30227391_30227402_0,55,51.46,3.54,51.97,3.03,53.75,1.25,0,0,0,0
30227391_3587720087_0,55,52.42,2.58,52.74,2.26,54.1,0.9,0,0,0,0
30227391_30227390_0,50,52.66,-2.66,55.34,-5.34,54.85,-4.85,0,0,0,0
30227450_2327729212_0,60,52.77,7.23,58.98,1.02,56.05,3.95,0,0,0,0
30227468_30884331_0,55,51.76,3.24,54.91,0.09,54.7,0.3,0,0,0,0
30227487_431107481_0,50,49.32,0.68,52.46,-2.46,50.55,-0.55,0,0,0,0
30227487_30647222_0,55,49.17,5.83,54.6,0.4,54.85,0.15,0,0,0,0
30227489_2529520245_0,50,48.3,1.7,49.18,0.82,49.25,0.75,0,0,0,0
30227495_240936353_0,60,59.8,0.2,59.18,0.82,57.5,2.5,0,0,0,0
30236715_30236773_0,50,50.36,-0.36,51.08,-1.08,50.65,-0.65,0,0,0,0
30236716_30236715_0,45,50.8,-5.8,48.98,-3.98,46.9,-1.9,0,0,0,0
30236718_30236716_0,50,51.53,-1.53,50.46,-0.46,49.95,0.05,0,0,0,0
30236720_30236716_0,45,49.94,-4.94,48.76,-3.76,46.7,-1.7,0,0,0,0
30236720_30236761_0,55,50.12,4.88,50.95,4.05,54.35,0.65,0,0,0,0
30236748_1514106958_0,45,50.53,-5.53,49.42,-4.42,47.7,-2.7,0,0,0,0
30236749_30236748_0,55,50.47,4.53,50.79,4.21,53.5,1.5,0,0,0,0
30236749_30236779_0,50,50.1,-0.1,49.29,0.71,52.2,-2.2,0,0,0,0
30236750_30236749_0,50,49.47,0.53,48.99,1.01,49.55,0.45,0,0,0,0
30236750_10967809658_0,50,49.13,0.87,52.2,-2.2,50.85,-0.85,0,0,0,0
30236751_30236750_0,40,49.51,-9.51,47.29,-7.29,42.95,-2.95,0,0,0,0
30236751_30248264_0,45,49.86,-4.86,50.07,-5.07,48.3,-3.3,0,0,0,0
30236752_30236751_0,45,49.79,-4.79,48.67,-3.67,46.35,-1.35,0,0,0,0
30236752_30236753_0,50,49.44,0.56,49.19,0.81,48.4,1.6,0,0,0,0
30236752_30248272_0,45,48.27,-3.27,44.84,0.16,45.85,-0.85,0,0,0,0
30236753_4834501701_0,50,49.84,0.16,49.56,0.44,48.65,1.35,0,0,0,0
30236760_30236720_0,50,49.6,0.4,48.86,1.14,49.95,0.05,0,0,0,0
30236760_30236715_0,50,49.83,0.17,51.23,-1.23,50.25,-0.25,0,0,0,0
30236761_1514106960_0,55,50.77,4.23,53.16,1.84,53.65,1.35,0,0,0,0
30236761_30298891_0,50,50.53,-0.53,53.34,-3.34,51.7,-1.7,0,0,0,0
30236773_30236748_0,55,50.8,4.2,51.88,3.12,54.5,0.5,0,0,0,0
30236773_30236779_0,50,49.97,0.03,49.89,0.11,50.9,-0.9,0,0,0,0
30236779_30248252_0,60,49.98,10.02,52.74,7.26,55.75,4.25,0,0,0,0
4587765901_543552991_0,50,53.99,-3.99,50.14,-0.14,51.3,-1.3,0,0,0,0
30236780_30236749_0,45,49.77,-4.77,49.7,-4.7,47.65,-2.65,0,0,0,0
4589037149_358505162_0,60,57.23,2.77,58.39,1.61,59.6,0.4,0,0,0,0
30237081_7021902544_0,60,50.76,9.24,56.98,3.02,58.85,1.15,0,0,0,0
30237104_251543584_0,60,52.97,7.03,57.49,2.51,59.8,0.2,0,0,0,0
30237104_3618456746_0,50,51.44,-1.44,52.36,-2.36,51.5,-1.5,0,0,0,0
30237479_998567760_0,50,48.89,1.11,54.2,-4.2,53.0,-3.0,0,0,0,0
30237481_30237482_0,50,51.54,-1.54,50.72,-0.72,52.7,-2.7,0,0,0,0
30237481_998567840_0,50,50.64,-0.64,50.23,-0.23,51.25,-1.25,0,0,0,0
30237482_30237483_0,55,53.05,1.95,56.24,-1.24,55.45,-0.45,0,0,0,0
30237482_30294184_0,55,52.37,2.63,57.09,-2.09,55.8,-0.8,0,0,0,0
30237483_30237484_0,50,53.74,-3.74,54.23,-4.23,52.3,-2.3,0,0,0,0
4590628719_30297011_0,65,51.3,13.7,61.25,3.75,59.1,5.9,0,0,0,0
30237484_557230481_0,55,54.68,0.32,55.96,-0.96,54.85,0.15,0,0,0,0
4591013624_2665264314_0,55,51.23,3.77,56.13,-1.13,53.35,1.65,0,0,0,0
30237521_30237520_0,45,49.2,-4.2,45.8,-0.8,46.9,-1.9,0,0,0,0
30237521_30294181_0,50,51.15,-1.15,53.35,-3.35,50.8,-0.8,0,0,0,0
30237530_269383881_0,55,54.12,0.88,53.06,1.94,53.8,1.2,0,0,0,0
30237531_30237530_0,50,54.52,-4.52,53.31,-3.31,51.9,-1.9,0,0,0,0
30237531_2087204994_0,55,54.86,0.14,55.22,-0.22,55.2,-0.2,0,0,0,0
30237532_30237531_0,55,53.69,1.31,53.67,1.33,54.5,0.5,0,0,0,0
4591013624_2706190196_0,50,50.32,-0.32,51.99,-1.99,48.6,1.4,0,0,0,0
30237532_30237533_0,55,53.13,1.87,54.39,0.61,54.45,0.55,0,0,0,0
30237533_30558512_0,55,53.93,1.07,55.4,-0.4,55.4,-0.4,0,0,0,0
30237539_998615813_0,45,50.41,-5.41,49.04,-4.04,47.15,-2.15,0,0,0,0
30237540_30237539_0,55,51.13,3.87,51.99,3.01,52.2,2.8,0,0,0,0
30237540_269383243_0,55,51.87,3.13,53.88,1.12,55.45,-0.45,0,0,0,0
30237541_30237540_0,50,51.35,-1.35,51.76,-1.76,51.05,-1.05,0,0,0,0
30237542_998615820_0,60,56.56,3.44,59.48,0.52,59.85,0.15,0,0,0,0
30237586_30246859_0,55,53.99,1.01,54.82,0.18,55.25,-0.25,0,0,0,0
30237586_30246820_0,55,53.36,1.64,55.12,-0.12,56.0,-1.0,0,0,0,0
30237587_30237586_0,55,53.14,1.86,53.66,1.34,55.4,-0.4,0,0,0,0
30237587_30246777_0,65,53.91,11.09,62.47,2.53,62.4,2.6,0,0,0,0
30237588_30248549_0,55,53.11,1.89,56.72,-1.72,55.95,-0.95,0,0,0,0
4592704399_4592704409_0,55,56.27,-1.27,58.29,-3.29,58.4,-3.4,0,0,0,0
30237607_30237586_0,55,53.65,1.35,55.12,-0.12,55.75,-0.75,0,0,0,0
30237607_30246777_0,60,57.91,2.09,56.98,3.02,59.2,0.8,0,0,0,0
4592704400_823753846_0,55,53.78,1.22,53.87,1.13,52.4,2.6,0,0,0,0
30237612_30237613_0,65,61.6,3.4,63.14,1.86,62.3,2.7,0,0,0,0
30237612_30247089_0,55,58.36,-3.36,59.53,-4.53,57.7,-2.7,0,0,0,0
30237613_30237633_0,65,57.18,7.82,62.59,2.41,63.4,1.6,0,0,0,0
30237613_30237614_0,60,60.96,-0.96,62.76,-2.76,60.95,-0.95,0,0,0,0
30237614_30237615_0,65,60.08,4.92,64.01,0.99,63.85,1.15,0,0,0,0
4592704401_4592704405_0,60,56.04,3.96,60.94,-0.94,59.35,0.65,0,0,0,0
30237615_30237635_0,65,58.81,6.19,62.88,2.12,63.8,1.2,0,0,0,0
30237615_30237616_0,60,58.92,1.08,62.51,-2.51,58.1,1.9,0,0,0,0
30237616_30247166_0,60,54.85,5.15,59.52,0.48,59.4,0.6,0,0,0,0
30237616_30237617_0,65,58.74,6.26,61.05,3.95,63.3,1.7,0,0,0,0
30237617_30247432_0,60,59.05,0.95,60.8,-0.8,61.1,-1.1,0,0,0,0
30237627_2917908492_0,60,54.47,5.53,58.23,1.77,57.85,2.15,0,0,0,0
30237628_30246768_0,55,53.84,1.16,55.49,-0.49,56.6,-1.6,0,0,0,0
4592704405_299365802_0,50,53.62,-3.62,53.72,-3.72,50.8,-0.8,0,0,0,0
30237629_30237610_0,60,55.14,4.86,60.76,-0.76,59.2,0.8,0,0,0,0
30237629_30237628_0,55,54.04,0.96,58.27,-3.27,56.6,-1.6,0,0,0,0
30237630_30237629_0,60,57.87,2.13,61.01,-1.01,60.35,-0.35,0,0,0,0
30237632_30685341_0,55,56.61,-1.61,59.48,-4.48,57.5,-2.5,0,0,0,0
30237632_30237612_0,65,58.0,7.0,61.94,3.06,63.4,1.6,0,0,0,0
4592704411_4592704409_0,55,56.46,-1.46,56.95,-1.95,57.45,-2.45,0,0,0,0
30237633_30237632_0,65,55.36,9.64,60.62,4.38,62.55,2.45,0,0,0,0
30237634_30237614_0,65,58.28,6.72,62.51,2.49,63.8,1.2,0,0,0,0
30237634_30237633_0,60,55.77,4.23,62.31,-2.31,60.85,-0.85,0,0,0,0
4592704411_4592704400_0,55,56.5,-1.5,56.95,-1.95,56.3,-1.3,0,0,0,0
30237637_30247431_0,65,58.17,6.83,65.14,-0.14,64.25,0.75,0,0,0,0
4592704417_366213461_0,55,53.06,1.94,56.02,-1.02,54.95,0.05,0,0,0,0
30237638_30237615_0,60,59.16,0.84,59.95,0.05,60.5,-0.5,0,0,0,0
30237638_30237696_0,65,56.49,8.51,61.54,3.46,62.2,2.8,0,0,0,0
30237639_30247167_0,55,58.27,-3.27,58.16,-3.16,57.55,-2.55,0,0,0,0
30237640_30237698_0,65,56.14,8.86,60.17,4.83,59.65,5.35,0,0,0,0
30237640_30237639_0,60,59.9,0.1,59.43,0.57,60.5,-0.5,0,0,0,0
30237641_30237699_0,65,61.12,3.88,63.84,1.16,63.7,1.3,0,0,0,0
30237641_30237640_0,60,60.09,-0.09,61.33,-1.33,60.3,-0.3,0,0,0,0
30237642_30243322_0,65,58.43,6.57,60.95,4.05,61.65,3.35,0,0,0,0
30237642_30237641_0,65,61.43,3.57,64.12,0.88,64.4,0.6,0,0,0,0
30237643_30237701_0,65,61.41,3.59,60.58,4.42,62.9,2.1,0,0,0,0
30237643_30237642_0,65,59.96,5.04,65.25,-0.25,64.15,0.85,0,0,0,0
30237645_11053219722_0,65,58.86,6.14,60.26,4.74,59.65,5.35,0,0,0,0
30237675_432467115_0,60,58.79,1.21,59.05,0.95,58.9,1.1,0,0,0,0
30237675_432509869_0,60,57.2,2.8,58.06,1.94,58.4,1.6,0,0,0,0
30237677_30237678_0,65,55.97,9.03,56.68,8.32,57.11,7.89,0,1,1,2
30237677_432467110_0,55,53.23,1.77,54.38,0.62,53.55,1.45,0,0,0,0
30237678_30237679_0,65,55.35,9.65,59.74,5.26,61.0,4.0,0,0,0,0
4592704423_4592704417_0,60,54.53,5.47,59.46,0.54,59.35,0.65,0,0,0,0
30237679_30237680_0,55,56.06,-1.06,56.68,-1.68,55.75,-0.75,0,0,0,0
30237679_30617552_0,45,53.8,-8.8,52.28,-7.28,47.3,-2.3,0,0,0,0
4600193561_4600193563_0,60,55.74,4.26,58.5,1.5,59.7,0.3,0,0,0,0
30237680_30294779_0,65,54.97,10.03,62.35,2.65,59.9,5.1,0,0,0,0
30237682_30294781_0,60,53.21,6.79,57.98,2.02,57.32,2.67,0,0,0,0
30237682_3055187871_0,55,55.75,-0.75,57.07,-2.07,56.95,-1.95,0,0,0,0
30237685_30237686_0,60,56.93,3.07,57.78,2.22,59.2,0.8,0,0,0,0
30237685_409505319_0,50,53.99,-3.99,54.89,-4.89,52.25,-2.25,0,0,0,0
30237686_409505320_0,60,54.23,5.77,54.88,5.12,57.8,2.2,0,0,0,0
30237686_412398661_0,55,57.71,-2.71,57.8,-2.8,57.55,-2.55,0,0,0,0
30237689_290025527_0,45,53.26,-8.26,50.99,-5.99,48.3,-3.3,0,0,0,0
30237689_30237690_0,55,57.11,-2.11,56.6,-1.6,57.2,-2.2,0,0,0,0
30237690_30313179_0,60,54.94,5.06,59.4,0.6,59.75,0.25,0,0,0,0
4600193562_4600193561_0,60,54.9,5.1,59.79,0.21,59.7,0.3,0,0,0,0
30237691_30313358_0,50,54.23,-4.23,55.29,-5.29,53.55,-3.55,0,0,0,0
30237691_30237692_0,65,57.9,7.1,60.84,4.16,62.3,2.7,0,0,0,0
30237692_30313182_0,60,54.46,5.54,61.19,-1.19,59.95,0.05,0,0,0,0
30237692_30237693_0,60,57.4,2.6,60.47,-0.47,60.0,0.0,0,0,0,0
4600193563_4592704417_0,60,56.17,3.83,59.14,0.86,59.7,0.3,0,0,0,0
30237693_30237694_0,55,57.75,-2.75,59.77,-4.77,57.2,-2.2,0,0,0,0
30237694_3434285993_0,65,61.49,3.51,62.62,2.38,61.6,3.4,0,0,0,0
30237694_442540300_0,65,59.18,5.82,62.93,2.07,63.85,1.15,0,0,0,0
30237696_30237772_0,60,55.71,4.29,61.24,-1.24,58.95,1.05,0,0,0,0
30237696_30237697_0,60,59.54,0.46,58.12,1.88,60.7,-0.7,0,0,0,0
