street_id,noise_day,noise_evening,noise_night,road_length,road_category,distance_to_road
5140,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),118.90386193414218,residential,0.0
5141,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),184.41844417073378,secondary,0.0
5142,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),69.92178581251447,living_street,0.0
5143,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),133.70877677571374,living_street,0.0
5144,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),473.25976568315764,trunk,0.0
5145,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),123.8894885351579,tertiary,0.0
5146,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),56.545360806854255,residential,4.671485695711171
5147,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),69.30980326928572,living_street,0.0
5148,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),138.21471249728873,residential,0.0
5149,65 - 70 dB(A),65 - 70 dB(A),65 - 70 dB(A),45.716551252911586,residential,0.0
5150,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),64.83499223064106,tertiary,0.0
5151,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),117.28252782881582,residential,0.0
5152,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),84.0437580326284,residential,0.34698799145789516
5153,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),41.7629360198026,residential,0.0
5154,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),75.17397920133499,tertiary,3.2467309000964
5155,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),147.13050628507156,residential,0.0
5156,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),35.30027651475988,tertiary,11.675029355310079
5157,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),639.9764802458599,residential,0.0
5158,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),26.928299683294284,living_street,0.0
5159,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),104.45611695602501,residential,0.0
5160,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),71.11923046382775,living_street,0.0
