road_id,width,openness,betweenness,closeness_global,closeness_400,straightness
30389382_249502424_0,14.944760084015888,0.375,0.0006788690252451817,0.00019066840153836865,2.249034214336668e-05,0.828223923025001
30389382_30389461_0,32.77639958404444,0.625,0.01422899418738629,0.0001919336119434878,2.2616295431130753e-05,0.8302354947844086
30389389_4398109455_0,37.42121789042332,0.5,0.0017147454670361946,0.0001827700872195333,1.1123564112779196e-05,0.81344801450192
30389391_30575132_0,50.0,1.0,0.027711689111282464,0.00018677392324565196,1.5836503401212156e-05,0.8392371574387985
30389400_3847861549_0,40.184418936262006,0.6666666666666666,0.011388600173977529,0.00019314304590634172,2.040303712888157e-05,0.8382372026363307
30389400_30389426_0,46.76082692695246,0.9583333333333334,0.07664448058643555,0.00019349183845421617,2.151373512998976e-05,0.8426142252275278
30389401_3725362792_0,45.48984213784045,0.8571428571428571,0.0003870374283488687,0.00018505093803404082,1.163816453136361e-05,0.8223729828719368
30389406_263710328_0,50.0,1.0,0.021573340818003068,0.0001996073750007817,2.8164601238682237e-05,0.8345643575544852
30389406_158680076_0,50.0,1.0,0.0012712608653944173,0.00019984546236897458,2.8703251392686923e-05,0.8360429289537702
30389407_30575306_0,50.0,1.0,0.05300794211439203,0.00018716045079452597,2.1531606938136123e-05,0.8326088696337512
30389407_30575311_0,47.10236996088288,0.8333333333333334,0.0006271041059581364,0.0001872912663206356,2.0774463702112706e-05,0.8310440595457212
30389409_263821495_0,16.96238413744936,0.4,0.0015811856166590666,0.00018928143279232012,1.0188936925724021e-05,0.7971929949519421
30389409_264075698_0,28.55785249030305,0.3333333333333333,0.0016311585621907815,0.0001900011645833635,1.176417072700598e-05,0.7991524034858203
30389424_213757129_0,31.41511326290851,0.6333333333333333,0.0005090072549213596,0.0001953668975641746,1.869854081846889e-05,0.8329294566417342
30389424_30389468_0,16.798021264357388,0.3888888888888889,0.0015690175368043228,0.0001963867594995513,2.1983286364084785e-05,0.83736096585822
30389426_3745747448_0,50.0,1.0,0.07774067717705518,0.00019297955900242434,2.0396789025273865e-05,0.8421490088429
30389431_4171954126_0,49.617619907800986,0.95,0.006149678191861485,0.0002019590686554099,2.5851056481397162e-05,0.8480698390841328
30389431_249316285_0,33.84486874962748,0.6136363636363636,0.025540741809502148,0.0002001761744994746,2.3429358260428467e-05,0.8402537316196889
30389433_249091504_0,20.845870499385708,0.8333333333333334,0.0162898218116213,0.00018452344044594737,9.404602062486705e-06,0.8113349334393474
30389443_1801605565_0,49.92749264528737,0.875,0.018273478953167083,0.00020233034411215535,2.5724257672654406e-05,0.8470080941097665
30389454_1273378356_0,50.0,1.0,0.009690242595961856,0.00019361911244929528,2.5523549224737653e-05,0.8447103658584181
