road_id,lden_db
143403_21714981_0,75.14600372314453
143403_21718288_0,70.84200286865234
143403_143408_0,74.25299835205078
143408_21718264_0,60.34299850463867
143408_932576340_0,73.38600158691406
143412_8752289484_0,67.44100189208984
143412_8752289487_0,70.11799621582031
143413_21852320_0,59.9640007019043
143413_8168938341_0,72.01599884033203
143415_143435_0,72.5999984741211
143415_21852322_0,59.89300155639648
143416_18232186_0,58.374000549316406
143416_18232178_0,59.1870002746582
143417_18232187_0,59.20899963378906
143417_143416_0,58.60200119018555
143418_25334276_0,71.80799865722656
143418_21696193_0,61.18999862670898
143421_25334263_0,61.60200119018555
143421_195279_0,72.24299621582031
143435_21600355_0,73.31400299072266
143439_15925442_0,73.93900299072266
143439_195246_0,72.08699798583984
195222_249717499_0,80.01100158691406
195222_26480401_0,76.62899780273438
195222_1468553185_0,75.86199951171875
195228_26336566_0,72.79100036621094
195228_958040717_0,73.76699829101562
195231_829528479_0,76.79000091552734
195232_829528479_0,78.0979995727539
195232_1037257423_0,78.197998046875
195234_26058153_0,60.47499847412109
195234_26108120_0,71.3290023803711
195235_21674905_0,73.95600128173828
195235_26731434_0,62.50400161743164
195236_26059219_0,70.8759994506836
195236_25451937_0,65.64299774169922
195237_25499212_0,62.09199905395508
195237_25451960_0,70.23799896240234
195239_25499150_0,61.69499969482422
195239_25153100_0,74.23799896240234
195241_25499136_0,73.51799774169922
195241_26058917_0,72.16699981689453
195241_4295013306_0,72.61299896240234
195244_4295013309_0,73.73500061035156
195244_2139361023_0,73.98799896240234
195246_1148982742_0,69.5199966430664
195246_3404990017_0,69.8550033569336
195249_967133152_0,72.18099975585938
195250_25306024_0,61.81999969482422
195250_25337454_0,71.60800170898438
195251_24009841_0,70.13700103759766
195251_25337457_0,71.13300323486328
195252_25337467_0,71.62000274658203
195252_25337465_0,59.95000076293945
195256_1468747927_0,76.94300079345703
195256_8784931018_0,74.927001953125
195256_25622515_0,75.41999816894531
195259_1036842157_0,73.51000213623047
195259_479185301_0,65.64800262451172
195259_10055724114_0,71.10399627685547
195261_25336179_0,70.88099670410156
195261_2383442941_0,71.61399841308594
195261_10055724114_0,70.23600006103516
195261_4428355731_0,62.4739990234375
195262_8866055432_0,65.8949966430664
195262_3393859920_0,69.68499755859375
195262_25321302_0,70.96499633789062
195266_195268_0,61.9630012512207
195266_25321302_0,69.06999969482422
195268_25451370_0,59.70899963378906
195268_195270_0,61.7239990234375
195268_195266_0,61.9630012512207
195270_25336178_0,61.95299911499024
195270_522100855_0,60.507999420166016
195271_25335981_0,60.130001068115234
195274_1703401805_0,59.51100158691406
195274_195275_0,60.62799835205078
195275_2959901670_0,62.78799819946289
195275_21992964_0,59.73400115966797
195276_25321304_0,60.84999847412109
195276_474605986_0,73.42400360107422
195277_21992964_0,58.74399948120117
195277_2959901670_0,71.57099914550781
195279_21696192_0,62.59099960327149
195279_25451455_0,72.03800201416016
195282_26058651_0,75.43900299072266
581678_26059183_0,72.49700164794922
581678_195237_0,73.15599822998047
7300862_1519682890_0,73.00299835205078
7300862_293585811_0,64.73200225830078
7300867_21704353_0,74.5009994506836
7394819_6119410093_0,69.21199798583984
7394820_9257232_0,70.01200103759766
7394820_1866856610_0,58.70700073242188
7394824_7394820_0,67.34100341796875
7394824_1866826428_0,55.58399963378906
7394832_8206700_0,68.88500213623047
7394910_33149220_0,69.50700378417969
7394910_7394925_0,70.76499938964844
7394925_8207506_0,69.73899841308594
7394925_9257214_0,69.93399810791016
7394925_9213756_0,69.3479995727539
7394925_7394910_0,70.76499938964844
7469500_26480367_0,73.4520034790039
7469500_1042749232_0,70.63800048828125
7469501_25614299_0,74.40599822998047
7469501_7274778339_0,77.41899871826172
7470129_26480377_0,75.96700286865234
7470129_1510257225_0,76.98400115966797
7470130_6919580833_0,78.1449966430664
8206700_11880778545_0,68.90699768066406
8206700_1374638719_0,72.27899932861328
8207493_3302602287_0,55.06900024414063
8207493_361643451_0,66.25199890136719
8207493_8207506_0,69.18199920654297
8207506_7394925_0,69.73899841308594
8207506_8207493_0,69.18199920654297
8358135_6919580835_0,74.09100341796875
8358135_26009837_0,74.78600311279297
8433662_8593279_0,69.86299896240234
8433662_8433808_0,71.13899993896484
8433662_8433684_0,72.0979995727539
8433684_2462509544_0,71.08200073242188
8433684_8433662_0,72.0979995727539
8433808_8433662_0,71.13899993896484
8433808_504557626_0,69.14299774169922
8433940_25115182_0,67.53800201416016
8434031_8434042_0,62.57099914550781
8434031_33118776_0,73.30699920654297
8434031_26314979_0,72.46399688720703
8434042_25470101_0,73.69000244140625
8434042_33122282_0,67.04100036621094
8592437_24289066_0,71.14199829101562
8592437_33116037_0,68.78700256347656
8593279_8433662_0,69.86299896240234
8593279_24289061_0,72.83599853515625
8593279_8877429_0,71.62100219726562
8593425_8877429_0,70.9229965209961
8593425_8876507_0,67.64600372314453
8876507_8593425_0,67.64600372314453
8877429_8593425_0,70.9229965209961
8877429_8593279_0,71.62100219726562
8877564_1352581090_0,49.30199813842773
9213739_4741814127_0,66.0270004272461
9213756_1382687432_0,64.8280029296875
9213756_7394925_0,69.3479995727539
9213756_33149204_0,68.97899627685547
9214618_25451862_0,72.79000091552734
9214618_21674907_0,64.90899658203125
9214708_600734173_0,70.71600341796875
9214708_3160860324_0,72.75499725341797
9214909_9214919_0,73.18800354003906
9214909_9214911_0,59.672000885009766
9214911_9214915_0,56.86199951171875
9214911_18232179_0,58.90299987792969
9214911_8792993463_0,58.82500076293945
9214915_18232182_0,62.44400024414063
9214915_9214911_0,56.86199951171875
9214915_9516750676_0,61.86600112915039
9214919_143415_0,72.95500183105469
9249417_8592437_0,70.4010009765625
9249808_24289146_0,71.1520004272461
9249808_9249417_0,70.7969970703125
9249817_24289158_0,74.15799713134766
9249817_9250428_0,74.41400146484375
9250428_9250674_0,76.25499725341797
9250674_7275092726_0,77.21399688720703
9250674_1126334635_0,77.43699645996094
9257186_3302602286_0,59.31700134277344
9257186_9257232_0,67.80699920654297
9257214_7394925_0,69.93399810791016
9257214_9257226_0,68.5719985961914
9257226_9257214_0,68.5719985961914
9257226_9257232_0,70.48600006103516
9257232_9257186_0,67.80699920654297
9257232_9257226_0,70.48600006103516
9257232_7394820_0,70.01200103759766
13383951_33252315_0,80.00199890136719
13383978_958117926_0,83.25599670410156
15925416_601393134_0,76.15599822998047
15925438_2600858778_0,73.0719985961914
15925438_18697400_0,62.03400039672852
15925440_21712143_0,60.67699813842773
15925440_25152444_0,70.552001953125
15925442_10087719688_0,73.24500274658203
15925442_143439_0,73.93900299072266
