city,model,accuracy,macro_f1,within_1,signed_err
Barcelona,Logistic Regression,0.6137689614935823,0.44600198546584513,0.9863866199922209,0.022170361726954493
Barcelona,XGBoost,0.7479579929988331,0.75902500262223,0.9941656942823804,0.016725009723842863
Barcelona,Random Forest,0.763516141579152,0.7582325866208433,0.9941656942823804,0.0027226760015558148
Viladecans,Logistic Regression,0.536887786732796,0.3248810008497106,0.9727216367017979,0.21636701797892127
Viladecans,XGBoost,0.5027898326100434,0.2651390864773138,0.8846869187848729,0.2634841909485431
Viladecans,Random Forest,0.5151890886546807,0.29618569873645356,0.9150650960942344,0.12833230006199628
Zaragoza,Logistic Regression,0.30924657534246575,0.17166745177743722,0.8654794520547945,-0.7443835616438356
Zaragoza,XGBoost,0.43568493150684934,0.23634395383778734,0.9413698630136986,-0.3891780821917808
Zaragoza,Random Forest,0.3830821917808219,0.2206949660958216,0.931027397260274,-0.5173972602739726
Berlin,Logistic Regression,0.23196501622231627,0.12063027572268803,0.6819015375934546,1.0126110876005079
Berlin,XGBoost,0.25752574411059387,0.18430749350617356,0.7970235576244886,0.8546057271829595
Berlin,Random Forest,0.2733812949640288,0.22429240984995782,0.8345323741007195,0.7836507264776414
Lyon,Logistic Regression,0.5587372538063975,0.3303667899379339,0.9829585137589049,0.09749965078921637
Lyon,XGBoost,0.5567816734180752,0.3040493325746451,0.9800251431764213,0.01578432742003073
Lyon,Random Forest,0.5591563067467523,0.2979502956603018,0.985333147087582,-0.07319458024863808
Milan,Logistic Regression,0.43724057029417074,0.13773934929968268,0.9847500451182097,0.5137610539613788
Milan,XGBoost,0.6592672802743187,0.19877772481004813,0.9929164410756182,-0.14695000902364194
Milan,Random Forest,0.7104764482945317,0.2078039107735521,0.99598447933586,-0.1642754015520664
