road_id,lden_db
172539_172562_0,53.849999425
172539_34694336_0,55.02499985
172539_34694265_0,59.36666667333333
172545_271370539_0,65.3000031
172545_34694336_0,57.03333346666667
172545_28345515_0,55.44285694285714
172546_28345850_0,68.4000015
172546_530313_0,67.42000121999999
172547_28346151_0,46.93333306666667
172547_172549_0,57.92777825
172547_34694265_0,59.07999956
172549_29687949_0,57.53333406666667
172549_34694257_0,52.95999984
172549_172547_0,57.04761941904762
172558_530225_0,67.6999969
172558_29688040_0,61.8000011625
172562_530351_0,70.5999985
172562_172539_0,57.19999924
172562_29690632_0,56.70000073333333
172564_21509247_0,71.0
172564_29690346_0,70.4000015
172566_530318_0,69.0
172566_29690840_0,53.09999975555556
172586_29691250_0,59.4000015
172586_10758633910_0,67.4000015
172587_530205_0,65.9000015
172587_29493004_0,56.20769266923077
172589_530202_0,71.0
172589_13381080693_0,61.84000017999999
172594_223826118_0,72.5999985
172594_29492993_0,56.841666045833335
172594_13056045657_0,70.5
484078_484121_0,69.5999985
484078_130088130_0,61.800000780000005
484121_21487129_0,58.79090847272728
484121_484078_0,69.5999985
484121_267385833_0,68.27499865
530161_280807026_0,70.1999969
530168_530176_0,70.1999969
530176_29689182_0,69.0
530177_186969527_0,66.6999969
530177_21509247_0,71.0
530190_3877089193_0,60.2000008
530197_26871244_0,67.9000015
530197_60086382_0,67.9000015
530199_2645728311_0,66.0999985
530202_172589_0,71.0
530202_530205_0,60.26969677878788
530202_21441718_0,60.9124999125
530205_29492981_0,65.9000015
530215_530311_0,52.0999985
530215_530283_0,64.3000031
530225_602926406_0,67.6999969
530225_602926393_0,64.49999805
530247_29690661_0,63.2000008
530247_29691244_0,61.08571571428571
530247_530380_0,48.143999944
530256_29690659_0,68.6999969
530256_6019010074_0,68.6999969
530256_530376_0,57.87499999166667
530262_172564_0,71.0
530262_270790605_0,57.49687565
530283_530309_0,64.3000031
530283_35233783_0,58.65714262857143
530283_530293_0,64.3000031
530284_35233764_0,55.2000008
530284_35233783_0,60.5999985
530284_35233777_0,56.0999985
530287_9723845507_0,47.4000015
530287_9723845504_0,48.16666666666666
530293_330031810_0,66.0250006
530293_74416800_0,69.5999985
530309_530283_0,64.3000031
530309_530311_0,52.0999985
530311_186962583_0,52.0999985
530311_172586_0,52.0999985
530312_28345850_0,69.0999985
530312_172546_0,57.20000075
530313_29492953_0,52.85000035
530313_530323_0,56.28571374285714
530313_172546_0,67.26000214000001
530318_172566_0,69.0
530318_27177325_0,46.88076899615385
530318_27177312_0,53.43333435
530319_188382916_0,70.0
530319_27177313_0,46.20000076666667
530319_27177322_0,47.07272738181818
530323_29492967_0,47.543749928125
530323_29492995_0,54.850000058333336
530323_530313_0,55.79999974666666
530340_530312_0,47.4000015
530340_34694348_0,61.82500125
530351_27197164_0,48.7999992
530351_6031959070_0,70.5999985
530376_530256_0,59.86428560714285
530376_29691247_0,56.3749995375
530380_261080027_0,44.08333301666666
12614600_29270276_0,71.1999969
12614600_29784567_0,63.524997675
12614606_433557530_0,72.6999969
12614606_922501071_0,72.5999985
12614629_587656935_0,56.54999925
12614635_12614668_0,57.5
12614635_29807181_0,59.76666766666667
12614635_12614629_0,60.2000008
12614644_29266374_0,67.4000015
12614644_29266244_0,58.84705868823529
12614644_29266235_0,52.02857152857143
12614650_243856097_0,67.5
12614650_29784565_0,60.3000005
12614650_27195457_0,52.2874996625
12614651_29785844_0,71.0
12614667_444894685_0,60.19999885
12614667_1410036218_0,49.23214313214286
12614668_12614635_0,57.5
12614668_486432642_0,55.442857485714285
12614668_104306737_0,57.5
12614672_12614668_0,61.69999946666667
12614675_52720021_0,60.25384579230769
12614678_12614682_0,69.6999969
12614681_29266370_0,63.7999992
12614681_508080930_0,49.1466667
12614682_516394458_0,61.2999992
12614683_598234402_0,68.3000031
12614683_1791505417_0,51.2999992
12615161_1093519531_0,70.3000031
12615161_288101517_0,69.7333349
12615171_29420114_0,70.6999969
12615171_1993003775_0,70.6999969
12615173_29419201_0,65.0999985
12615173_16541701_0,70.6999969
12615195_30554091_0,60.25172425172414
12615195_30553536_0,65.5999985
16541457_256724098_0,69.9000015
16541457_1114040971_0,51.52857126428571
16541459_16541461_0,68.1000023
16541459_27559816_0,58.099999675
16541459_27559815_0,56.65384644615385
16541459_16541466_0,55.50909111818182
16541461_16541459_0,66.8333359
16541461_27559833_0,63.2999992
16541462_27560124_0,57.9000015
16541462_5233789092_0,57.9000015
16541464_26943821_0,61.0
16541464_5233789092_0,58.7999992
16541465_26943835_0,65.1999969
16541465_213217327_0,71.6999969
16541465_26943818_0,65.1999969
16541466_27587405_0,56.38666662666666
16541466_16541459_0,56.36428560714285
16541466_27559817_0,50.39285713571429
16541466_27559825_0,48.44000014666667
16541467_16541468_0,68.60000103333333
