road_id,lden_db
470891212_473476285_0,75.0
470891212_473480356_0,75.0
472447898_4556222967_0,74.0
472447898_472447916_0,74.0
472447916_473480356_0,75.0
473475862_473476286_0,75.0
473476285_4556222967_0,74.0
473479961_473480378_0,75.0
473480022_4271743735_0,75.0
473480356_473480374_0,75.0
473480374_473479961_0,75.0
473480374_473481308_0,75.0
473480378_470891208_0,75.0
473481292_473481295_0,75.0
473481292_11387988431_0,71.0
473481295_473481298_0,75.0
473481298_473481308_0,75.0
473481298_473481292_0,75.0
473481308_473479961_0,75.0
473481308_473481298_0,75.0
473593916_473593917_0,74.0
473593916_4549490595_0,74.0
473593917_4549490596_0,74.0
473593917_473593916_0,74.0
607644062_1131686638_0,56.0
607644080_1119093874_0,67.0
607644080_607644081_0,67.0
607644081_1130898039_0,57.0
607644081_607644080_0,67.0
607644081_1472993474_0,67.0
607644089_607644091_0,67.0
607644091_1134264314_0,63.0
607644091_1105149728_0,67.0
728705249_10108109102_0,60.0
728705250_728705253_0,60.0
728705250_10108109103_0,60.0
728705251_728705250_0,69.0
728705253_1200000513_0,60.0
728705256_1109639584_0,61.0
728705256_1200000512_0,61.0
728705258_728705264_0,60.0
728705258_10207349882_0,69.0
728705259_1200059348_0,68.0
728705259_1189660061_0,68.0
728705262_728705251_0,69.0
728705264_1512564830_0,60.0
728705264_2143335964_0,59.0
728705264_10108109106_0,60.0
728705271_2987193095_0,60.0
728705278_10108109105_0,60.0
728705278_728705271_0,60.0
1084139051_2404830460_0,55.0
1084139051_1094296578_0,55.0
1084139081_1084139051_0,55.0
1085377805_1177157058_0,61.0
1085377805_1609997995_0,61.0
1085377812_1094360581_0,57.0
1085377812_1609998009_0,63.0
1086361193_246181791_0,54.0
1086361193_1305278134_0,61.0
1086375812_1086361193_0,61.0
1086375875_1512110629_0,59.0
1086375875_1249875748_0,63.0
1091826692_1177183161_0,54.0
1091826692_1177183150_0,64.0
1091826692_1091842307_0,64.0
1091842257_6447291071_0,57.0
1091842257_1091842307_0,57.0
1091842276_1609997967_0,63.0
1091842276_1512110522_0,54.0
1091842276_1177120060_0,63.0
1091842279_1383136506_0,55.0
1091842279_1096513772_0,55.0
1091842279_1177157058_0,61.0
1091842279_1104969800_0,61.0
1091842294_1177120050_0,64.0
1091842294_2407138065_0,61.0
1091842307_1091842257_0,57.0
1091842307_1091826692_0,64.0
1091842307_1091842327_0,64.0
1091842327_1095440376_0,54.0
1091842327_1094237241_0,64.0
1091842327_1091842307_0,64.0
1091868516_1091868533_0,61.0
1091868516_4620449099_0,61.0
1091868517_4584610471_0,61.0
1091868533_1091868517_0,61.0
1091868533_1091868517_1,54.0
1091868583_1113674840_0,46.0
1092205604_1094077893_0,56.0
1092219000_1169035416_0,46.0
1092219000_1092219016_0,59.0
1092219005_1092472096_0,59.0
1092219005_1624926347_0,63.0
1092219005_1092219019_0,63.0
1092219016_1113674854_0,59.0
1092219016_1169035403_0,46.0
1092219016_1180833970_0,59.0
1092219019_1092219005_0,63.0
1092219019_1086375875_0,63.0
1092219034_1180833970_0,46.0
1092219034_1113674842_0,46.0
