city,model,r2,mae,rmse,signed_err
Barcelona,Linear Regression,0.4529250111657366,4.035444521683346,5.1362007266282355,-0.10426038549226363
Barcelona,XGBoost,0.6786793039220478,2.9755894821564635,3.9362974368944683,-0.10173458275930375
Barcelona,Random Forest,0.7080621104554659,2.800190911448204,3.752008295696104,-0.17321178529754963
Viladecans,Linear Regression,0.009342109348206895,5.101057876162442,6.991585165729485,2.127106807373173
Viladecans,XGBoost,-0.4435753769972599,6.901524486411675,8.439826786835862,-4.299107158398377
Viladecans,Random Forest,-0.22648773948099765,5.6880698491423844,7.779387527991535,-2.129710684025625
Zaragoza,Linear Regression,-1.1788206878401346,9.504438849299184,11.120924455253535,-7.937650351744733
Zaragoza,XGBoost,-0.3101233961825878,7.400500513886752,8.623553194043012,-5.861576081889949
Zaragoza,Random Forest,-0.2921692847997335,7.438994121004567,8.564260173261104,-5.920707248858448
Berlin,Linear Regression,-0.6223610778216708,9.202136160018158,10.934114589366112,7.690530995721536
Berlin,XGBoost,-0.15155461981356355,7.74583552192598,9.21196189119378,4.841985346923461
Berlin,Random Forest,-0.07412060499032824,7.585324256671785,8.896852399108136,5.111919276093458
Lyon,Linear Regression,0.2110566391713824,4.405221058795721,5.6275323353702555,-2.355043210191766
Lyon,XGBoost,-0.40944956830067336,6.083587570286343,7.521766660639563,-4.796559725048855
Lyon,Random Forest,-0.128704990136008,5.4266665606288464,6.731088625172944,-4.318088364803398
Milan,Linear Regression,-4.460135784622963,5.585473788574965,6.9457336012827104,3.6514677142370924
Milan,XGBoost,-2.488984691434308,4.386405500258119,5.552210622497325,-3.318441661379652
Milan,Random Forest,-2.0361540481940104,4.145230685646394,5.1793862822805155,-3.1333873811887147
