signal_id,latitude,longitude,google_earth_url,verified,actual_type,notes
841,41.4145185,2.1947063,"https://earth.google.com/web/@41.4145185,2.1947063,100a,500d,35y,0h,0t,0r",,,
842,41.4168217,2.1916786,"https://earth.google.com/web/@41.4168217,2.1916786,100a,500d,35y,0h,0t,0r",,,
843,41.3804153,2.1630966,"https://earth.google.com/web/@41.3804153,2.1630966,100a,500d,35y,0h,0t,0r",,,
844,41.4099729,2.1467639,"https://earth.google.com/web/@41.4099729,2.1467639,100a,500d,35y,0h,0t,0r",,,
845,41.3892681,2.1542428,"https://earth.google.com/web/@41.3892681,2.1542428,100a,500d,35y,0h,0t,0r",,,
846,41.4245049,2.2079678,"https://earth.google.com/web/@41.4245049,2.2079678,100a,500d,35y,0h,0t,0r",,,
847,41.415387,2.1958678,"https://earth.google.com/web/@41.415387,2.1958678,100a,500d,35y,0h,0t,0r",,,
848,41.416769,2.1916568,"https://earth.google.com/web/@41.416769,2.1916568,100a,500d,35y,0h,0t,0r",,,
849,41.4278496,2.1770468,"https://earth.google.com/web/@41.4278496,2.1770468,100a,500d,35y,0h,0t,0r",,,
850,41.3945641,2.187162,"https://earth.google.com/web/@41.3945641,2.187162,100a,500d,35y,0h,0t,0r",,,
851,41.3978756,2.1827322,"https://earth.google.com/web/@41.3978756,2.1827322,100a,500d,35y,0h,0t,0r",,,
852,41.3978856,2.1828845,"https://earth.google.com/web/@41.3978856,2.1828845,100a,500d,35y,0h,0t,0r",,,
853,41.398953,2.1700639,"https://earth.google.com/web/@41.398953,2.1700639,100a,500d,35y,0h,0t,0r",,,
854,41.3718062,2.1695721,"https://earth.google.com/web/@41.3718062,2.1695721,100a,500d,35y,0h,0t,0r",,,
855,41.4076878,2.1970017,"https://earth.google.com/web/@41.4076878,2.1970017,100a,500d,35y,0h,0t,0r",,,
856,41.4073559,2.1970427,"https://earth.google.com/web/@41.4073559,2.1970427,100a,500d,35y,0h,0t,0r",,,
857,41.4064044,2.2005655,"https://earth.google.com/web/@41.4064044,2.2005655,100a,500d,35y,0h,0t,0r",,,
858,41.4048116,2.2008831,"https://earth.google.com/web/@41.4048116,2.2008831,100a,500d,35y,0h,0t,0r",,,
859,41.4048277,2.2010137,"https://earth.google.com/web/@41.4048277,2.2010137,100a,500d,35y,0h,0t,0r",,,
860,41.4035559,2.2025631,"https://earth.google.com/web/@41.4035559,2.2025631,100a,500d,35y,0h,0t,0r",,,
861,41.4035137,2.2031154,"https://earth.google.com/web/@41.4035137,2.2031154,100a,500d,35y,0h,0t,0r",,,
862,41.4026253,2.2038269,"https://earth.google.com/web/@41.4026253,2.2038269,100a,500d,35y,0h,0t,0r",,,
863,41.4017507,2.2050371,"https://earth.google.com/web/@41.4017507,2.2050371,100a,500d,35y,0h,0t,0r",,,
864,41.40229,2.2038391,"https://earth.google.com/web/@41.40229,2.2038391,100a,500d,35y,0h,0t,0r",,,
865,41.3983312,2.2073881,"https://earth.google.com/web/@41.3983312,2.2073881,100a,500d,35y,0h,0t,0r",,,
