road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street
143403_21714981_0,75.14600372314453,75.14600372314453,64.75900268554688,5,4001.051496088367,0.0,366.15062510164296,98.0734879649102,0.0,213.54954348803247
143403_21718288_0,70.84200286865234,70.84200286865234,60.486000061035156,5,4005.447822299099,0.0,373.3425346467763,98.5012270134816,0.0,215.06845735173616
143403_143408_0,74.25299835205078,74.25299835205078,63.867000579833984,2,3902.9009372128426,0.0,323.5833273067634,98.5012270134816,0.0,215.06845735173616
143408_21718264_0,60.34299850463867,60.34299850463867,49.96900177001953,5,3812.8864439235913,0.0,323.5833273067634,0.0,0.0,293.1114259598009
143408_932576340_0,73.38600158691406,73.38600158691406,63.000999450683594,2,3809.626884985148,0.0,274.8000443343081,108.50112266488144,0.0,293.1114259598009
143412_8752289484_0,67.44100189208984,67.44100189208984,57.05799865722656,5,2746.3831634688127,0.0,132.49023246676356,230.52298660616583,0.0,406.2685623072669
143412_8752289487_0,70.11799621582031,70.11799621582031,59.737998962402344,2,2750.137306622473,0.0,149.92443534174208,215.26408471182012,0.0,406.2685623072669
143413_21852320_0,59.9640007019043,59.9640007019043,49.58000183105469,5,2920.512385549658,0.0,254.17267742425295,57.972570869749326,0.0,430.7644196268645
143413_8168938341_0,72.01599884033203,72.01599884033203,61.625,2,2923.2104463710234,0.0,254.17267742425295,0.0,0.0,513.7809270608284
143415_143435_0,72.5999984741211,72.5999984741211,62.21200180053711,2,2676.4700613939663,0.0,292.932117323328,264.4664406839697,0.0,147.44495959068385
143415_21852322_0,59.893001556396484,59.893001556396484,49.520999908447266,5,2748.3950756915915,0.0,228.2820207169468,243.54278408407976,0.0,207.9019567754255
143416_18232186_0,58.374000549316406,58.374000549316406,48.042999267578125,5,2600.2750383070274,193.66543330741575,321.5827358109955,309.3398946911693,0.0,90.38356286288484
143416_18232178_0,59.1870002746582,59.1870002746582,48.80699920654297,5,2756.8618816532685,75.26592237787915,321.5827358109955,281.9388408457276,0.0,167.93453846103515
143417_18232187_0,59.20899963378906,59.20899963378906,48.85599899291992,5,2619.2776146684823,312.2794482549596,200.7627840503784,329.0765811053513,0.0,209.87186153145865
143417_143416_0,58.60200119018555,58.60200119018555,48.215999603271484,5,2771.8815132089053,214.07135891640115,200.7627840503784,309.3398946911693,0.0,191.3774860746904
143418_25334276_0,71.80799865722656,71.80799865722656,61.41699981689453,3,2830.738742704661,199.66221887759775,0.0,203.85898347165184,0.0,359.46738456535826
143418_21696193_0,61.189998626708984,61.189998626708984,50.803001403808594,5,2811.3801046420526,216.5084812046149,0.0,343.1935691804592,0.0,365.2735422021705
143421_25334263_0,61.60200119018555,61.60200119018555,51.22100067138672,5,3000.2498147390734,107.43898492473896,0.0,177.31227652352086,0.0,332.8432308459044
143421_195279_0,72.24299621582031,72.24299621582031,61.847999572753906,3,3000.2498147390734,176.08801239084156,0.0,0.0,0.0,155.33960679570623
143435_21600355_0,73.31400299072266,73.31400299072266,62.926998138427734,2,2578.4194269862232,0.0,256.99946622222603,339.7482146252172,0.0,104.1100447167525
143439_15925442_0,73.93900299072266,73.93900299072266,63.55099868774414,2,1902.8571494466053,0.0,252.3480781484535,507.7357904739055,98.57807444446412,139.7367904221731
143439_195246_0,72.08699798583984,72.08699798583984,61.70600128173828,2,1742.7750437366974,0.0,143.17724757103852,382.8744815041953,8.791801042272173,13.739881933350496
195222_249717499_0,80.01100158691406,80.01100158691406,69.64199829101562,2,1123.8520553470864,0.0,202.1722138804009,435.9148329874734,28.798627865265576,126.51310435049444
195222_26480401_0,76.62899780273438,76.62899780273438,66.2490005493164,2,1117.1666081057738,0.0,193.07572624563204,452.0392055078123,0.0,96.91425312689746
195222_1468553185_0,75.86199951171875,75.86199951171875,65.4990005493164,2,1123.8520553470864,0.0,202.1722138804009,444.28199804017066,28.798627865265576,125.65377771216129
195228_26336566_0,72.79100036621094,72.79100036621094,62.41999816894531,2,1009.4646308455856,0.0,194.09285395624744,784.7820723194277,0.0,78.95030140335652
195228_958040717_0,73.76699829101562,73.76699829101562,63.374000549316406,2,1021.7163488901668,0.0,174.49471218271077,826.7863484115968,35.34779146300735,78.95030140335652
195231_829528479_0,76.79000091552734,76.79000091552734,66.41600036621094,2,594.454299399095,0.0,120.49003654923506,405.7262950673113,0.0,178.0139949182155
195232_829528479_0,78.0979995727539,78.0979995727539,67.72100067138672,2,594.454299399095,0.0,141.35293122951438,405.1762847646282,0.0,195.7246927493889
195232_1037257423_0,78.197998046875,78.197998046875,67.81199645996094,2,615.5120393518032,0.0,124.49712775973958,405.1762847646282,25.207991264459054,197.0760737860308
195234_26058153_0,60.474998474121094,60.474998474121094,50.08700180053711,5,761.8983530759582,0.0,397.20059176853465,80.51578605285636,0.0,70.64997054818613
195234_26108120_0,71.3290023803711,71.3290023803711,60.94300079345703,2,725.5061809474616,0.0,403.73675804012913,81.26676752470058,0.0,135.7801570859443
