road_id,green,industrial,commercial
143403_21714981_0,0.0,0.0,0.0
143403_21718288_0,0.0,0.0,0.0
143403_143408_0,0.0,0.0,0.0
143408_21718264_0,0.6622972520966265,0.0,0.0
143408_932576340_0,0.0,0.0,0.0
143412_8752289484_0,1.8589920809545395,0.0,0.0
143412_8752289487_0,1.5329132504002914,0.0,0.0
143413_21852320_0,0.0,0.0,0.0
143413_8168938341_0,0.0,0.0,0.0
143415_143435_0,0.0,0.0,0.0
143415_21852322_0,0.0,0.0,0.0
143416_18232186_0,0.0,0.0,0.0
143416_18232178_0,0.0,0.0,0.0
143417_18232187_0,1.8668340269565515,0.0,0.0
143417_143416_0,2.4862786617435693,0.0,0.0
143418_25334276_0,0.0,0.0,0.0
143418_21696193_0,0.0,0.0,0.0
143421_25334263_0,0.0,0.0,0.0
143421_195279_0,0.0,0.0,0.0
143435_21600355_0,2.0481296402763505,0.0,0.0
143439_15925442_0,78.31894422149672,0.0,0.0
143439_195246_0,54.3609713420394,0.0,0.0
195222_249717499_0,0.7204213228326583,0.0,0.0
195222_26480401_0,0.9677359809547524,0.0,0.0
195222_1468553185_0,0.7290854782502363,0.0,0.0
195228_26336566_0,1.7903551922142225,0.0,0.0
195228_958040717_0,2.170183849942618,0.0,0.0
195231_829528479_0,0.0,0.0,0.0
195232_829528479_0,0.0,0.0,0.0
195232_1037257423_0,0.0,0.0,0.0
195234_26058153_0,7.211415039308192,0.0,0.0
195234_26108120_0,10.741832038860535,0.0,0.0
195235_21674905_0,2.426417330923423,0.0,0.0
195235_26731434_0,1.8451981691529364,0.0,0.0
195236_26059219_0,5.939461713429456,0.0,0.0
195236_25451937_0,4.863708462416173,0.0,0.0
195237_25499212_0,5.859186003024268,0.0,0.0
195237_25451960_0,8.092399961100453,0.0,0.0
195239_25499150_0,7.056794483788995,0.0,0.0
195239_25153100_0,6.314770225869641,0.0,0.0
195241_25499136_0,6.7574379133806595,0.0,0.0
195241_26058917_0,5.520761032059312,0.0,0.0
195241_4295013306_0,3.2721310127073355,0.0,0.0
195244_4295013309_0,1.0083407219700165,0.0,0.0
195244_2139361023_0,0.2888296797811878,0.0,0.0
195246_1148982742_0,22.00291559592269,0.0,0.0
195246_3404990017_0,30.698513647422704,0.0,0.0
195249_967133152_0,8.861629034377923,0.0,0.0
195250_25306024_0,3.785163225869387,0.0,0.0
195250_25337454_0,2.5772613533467736,0.0,0.0
195251_24009841_0,0.17094049189481952,0.0,0.0
195251_25337457_0,3.4175491186284725,0.0,0.0
195252_25337467_0,4.310686724741835,0.0,0.0
195252_25337465_0,9.840672881143824,0.0,0.0
195256_1468747927_0,1.1321298656263383,0.0,0.0
195256_8784931018_0,0.8227907608773064,0.0,0.0
195256_25622515_0,2.470874651036821,0.0,0.0
195259_1036842157_0,0.8521118639580993,0.0,14.470615282494478
195259_479185301_0,4.42608906115948,0.0,10.694675299489848
195259_10055724114_0,0.5931940674347902,0.0,41.30414482992235
195261_25336179_0,44.79869240458177,7.142049317282827,13.921058622496915
195261_2383442941_0,28.568364749330303,4.509887690473209,36.76377303881798
195261_10055724114_0,7.503683919568119,0.21729185637819298,47.23220132626438
195261_4428355731_0,20.21768340051793,0.12666361323692207,12.851896859415898
195262_8866055432_0,2.4070684914148597,0.0,0.0
195262_3393859920_0,1.593498259607316,0.0,0.0
195262_25321302_0,3.44231532641667,0.0,0.0
195266_195268_0,1.674249789933381,0.0,0.0
195266_25321302_0,4.78860577984679,0.0,0.0
195268_25451370_0,3.412774701325317,0.0,0.0
195268_195270_0,2.1111851842806786,0.0,0.0
195268_195266_0,1.6742497899333804,0.0,0.0
195270_25336178_0,1.7960413137567097,0.0,0.0
195270_522100855_0,5.022720529255825,0.0,0.0
195271_25335981_0,2.4497435734441657,0.0,0.0
195274_1703401805_0,0.0,0.0,0.0
195274_195275_0,0.0,0.0,0.0
195275_2959901670_0,0.0,0.0,0.0
195275_21992964_0,0.0,0.0,0.0
195276_25321304_0,0.3587430816096201,0.0,0.0
195276_474605986_0,1.7225243531682148,0.0,0.0
195277_21992964_0,0.0,0.0,0.0
195277_2959901670_0,0.0,0.0,0.0
195279_21696192_0,0.0,0.0,0.0
195279_25451455_0,0.0,0.0,0.0
195282_26058651_0,0.00020932784067411331,0.0,0.0
581678_26059183_0,3.813299644223607,0.0,0.0
581678_195237_0,4.111647105911788,0.0,0.0
7300862_1519682890_0,0.0,0.0,0.0
7300862_293585811_0,0.0,0.0,0.0
7300867_21704353_0,0.0,0.0,0.0
7394819_6119410093_0,0.0,0.0,0.0
7394820_9257232_0,2.6838237073113826,0.0,0.0
7394820_1866856610_0,1.0318303602110663,0.0,0.0
7394824_7394820_0,1.4453688635521604,0.0,0.0
7394824_1866826428_0,0.0,0.0,0.0
7394832_8206700_0,0.0,0.0,0.0
7394910_33149220_0,4.900714616466848,0.0,0.0
7394910_7394925_0,8.220376135833089,0.0,0.0
7394925_8207506_0,6.525530513604415,0.0,0.0
7394925_9257214_0,8.038415507851832,0.0,0.0
7394925_9213756_0,3.4297788722694076,0.0,0.0
7394925_7394910_0,8.220376135833089,0.0,0.0
7469500_26480367_0,12.156089011365825,0.0,0.0
7469500_1042749232_0,14.732124114558912,0.0,0.0
7469501_25614299_0,2.040782903442422,0.0,0.0
7469501_7274778339_0,0.4072474042406982,0.0,0.0
7470129_26480377_0,0.0,0.0,0.0
7470129_1510257225_0,0.0,0.0,0.0
7470130_6919580833_0,0.0,0.0,0.0
8206700_11880778545_0,0.0,0.0,0.0
8206700_1374638719_0,0.0,0.0,0.0
8207493_3302602287_0,0.0,0.0,0.0
8207493_361643451_0,0.0,0.0,0.0
8207493_8207506_0,0.0,0.0,0.0
8207506_7394925_0,6.525530513604415,0.0,0.0
8207506_8207493_0,0.0,0.0,0.0
8358135_6919580835_0,5.369917182862412,0.0,0.0
8358135_26009837_0,11.020604554388337,0.0,0.0
8433662_8593279_0,36.301109906151616,0.0,0.0
8433662_8433808_0,25.957716852256276,0.0,0.0
8433662_8433684_0,4.297287534475984,0.0,0.0
8433684_2462509544_0,22.933518635876016,0.0,0.0
8433684_8433662_0,4.297287534475984,0.0,0.0
8433808_8433662_0,25.95771685225625,0.0,0.0
8433808_504557626_0,44.94483174435678,0.0,0.0
8433940_25115182_0,18.780249602585673,0.0,0.0
8434031_8434042_0,24.61220163481784,0.0,0.0
8434031_33118776_0,14.319651249431987,0.0,0.0
8434031_26314979_0,28.58276281695142,0.0,0.0
8434042_25470101_0,25.22437111998822,0.0,0.0
8434042_33122282_0,25.35516154028655,0.0,0.0
8592437_24289066_0,8.783841989000852,0.0,0.0
8592437_33116037_0,16.031082738379187,0.0,0.0
8593279_8433662_0,36.301109906151616,0.0,0.0
8593279_24289061_0,49.99080345469362,0.0,0.0
8593279_8877429_0,38.806413024072185,0.0,0.0
8593425_8877429_0,5.321628645727348,0.0,0.0
8593425_8876507_0,2.857075520296144,0.0,0.0
8876507_8593425_0,2.857075520296144,0.0,0.0
8877429_8593425_0,5.321628645727349,0.0,0.0
8877429_8593279_0,38.806413024072164,0.0,0.0
8877564_1352581090_0,12.525558530231361,0.0,0.0
9213739_4741814127_0,24.16135004004024,0.0,0.0
9213756_1382687432_0,8.958978458840477,0.0,0.0
9213756_7394925_0,3.4297788722694076,0.0,0.0
9213756_33149204_0,1.4979763848749161,0.0,0.0
9214618_25451862_0,0.0,0.0,0.0
9214618_21674907_0,0.03708303273569856,0.0,0.0
9214708_600734173_0,0.0,0.0,10.690674522811996
9214708_3160860324_0,0.0,0.0,0.0
9214909_9214919_0,0.0,0.0,0.0
9214909_9214911_0,0.0,0.0,0.0
9214911_9214915_0,0.28955118108915934,0.0,0.0
9214911_18232179_0,0.0,0.0,0.0
9214911_8792993463_0,0.0,0.0,0.0
9214915_18232182_0,6.578565752625022,0.0,0.0
9214915_9214911_0,0.28955118108915956,0.0,0.0
9214915_9516750676_0,0.4188428093487231,0.0,0.0
9214919_143415_0,0.0,0.0,0.0
9249417_8592437_0,7.722183729562271,0.0,0.0
9249808_24289146_0,3.73612348626593,0.0,0.0
9249808_9249417_0,16.573506500090073,0.0,0.0
9249817_24289158_0,41.76778461275702,0.0,0.0
9249817_9250428_0,36.80734538377835,0.0,0.0
9250428_9250674_0,10.025272219567565,0.0,3.1572046984561024
9250674_7275092726_0,0.0,0.0,8.639439740214037
9250674_1126334635_0,0.0,0.0,6.92579236357578
9257186_3302602286_0,0.0,0.0,0.0
9257186_9257232_0,0.0,0.0,0.0
9257214_7394925_0,8.038415507851832,0.0,0.0
9257214_9257226_0,2.7097103874696558,0.0,0.0
9257226_9257214_0,2.7097103874696558,0.0,0.0
9257226_9257232_0,0.0,0.0,0.0
9257232_9257186_0,0.0,0.0,0.0
9257232_9257226_0,0.0,0.0,0.0
9257232_7394820_0,2.6838237073113818,0.0,0.0
13383951_33252315_0,9.634755968531469,0.0,0.0
13383978_958117926_0,4.542194779227282,0.0,0.0
15925416_601393134_0,8.435366140292295,99.99999999999997,0.0
15925438_2600858778_0,8.316382256903152,0.0,0.0
15925438_18697400_0,1.3009765091021395,0.0,0.0
15925440_21712143_0,18.367851877586112,0.0,0.0
15925440_25152444_0,6.1803172888700795,0.0,0.0
15925442_10087719688_0,53.39182632346062,0.0,0.0
15925442_143439_0,78.3189442214967,0.0,0.0
15925446_25306034_0,0.0,0.0,0.0
15925446_975232215_0,0.0,0.0,0.0
15925447_1856728232_0,15.9499543254675,0.0,0.0
15925447_12505754910_0,24.661138943850318,0.0,0.0
15925451_25499219_0,3.785591218941229,0.0,0.0
15925451_8784789884_0,0.1565537721289857,0.0,0.0
15925452_5006393114_0,3.312914778723228,0.0,0.0
15925452_25451866_0,1.5147029103032494,0.0,0.0
16050062_25719223_0,0.0,0.0,0.0
16050062_21674798_0,0.0,0.0,0.0
16564346_16564347_0,0.0,0.0,0.0
16564346_33257059_0,0.0,0.0,0.0
16564347_16564349_0,5.6844045221869175,0.0,0.0
16564347_16564350_0,3.961765823019873,0.0,0.0
16564349_220311331_0,20.05044743319724,0.0,0.0
16564353_16564346_0,3.127130258480234,0.0,0.0
16564357_25312123_0,0.0,0.0,0.0
16564357_25312129_0,0.0,0.0,0.0
16564364_16564365_0,10.089326652001011,0.0,0.0
16564365_34819704_0,4.163378129186834,0.0,0.0
16564365_8791385058_0,18.862625567932234,0.0,4.075133047584282
16566895_16566904_0,9.594037992039016,0.0,0.0
16566895_16566897_0,9.258692603721338,0.0,0.0
16566897_4528925726_0,7.540803180301882,0.0,0.0
16566897_23666834_0,3.835313179692494,0.0,0.0
16566904_3807653478_0,8.29585594738076,0.0,0.0
16566907_16566908_0,7.7970606633555954,0.0,0.0
16566910_25454179_0,2.1363033325995193,0.0,0.0
16566910_16566895_0,6.699812728297536,0.0,0.0
18232178_21600350_0,1.4451177055721884,0.0,0.0
18232178_8792993463_0,0.0,0.0,0.0
18232178_143415_0,0.0,0.0,0.0
18232179_143416_0,0.0,0.0,0.0
18232179_21696191_0,0.4680651782986155,0.0,0.0
18232180_9214915_0,5.626977690097216,0.0,0.0
18232180_18232179_0,2.212535835828732,0.0,0.0
18232182_18232184_0,5.786889828686888,0.0,0.0
18232182_18232180_0,7.508617546550836,0.0,0.0
18232183_21696191_0,4.392620846213497,0.0,0.0
18232183_21702433_0,1.1700253747628893,0.0,0.0
18232184_18232182_0,5.786889828686888,0.0,0.0
18232186_18697395_0,7.397951013168447,0.0,0.0
18232186_18232187_0,0.0,0.0,0.0
18232187_34235998_0,0.0,0.0,0.0
18232187_18697389_0,6.914723848540602,0.0,0.0
18697376_18697402_0,1.7240776234843505,0.0,0.0
18697376_2924143717_0,7.218149290979575,0.0,0.0
18697378_18697402_0,0.0,0.0,0.0
18697383_8883130215_0,2.173720462680791,0.0,0.0
18697383_21992981_0,6.03343229534911,0.0,0.0
18697383_18697402_0,0.0,0.0,0.0
18697385_18697420_0,6.603853793824543,0.0,0.0
18697385_25153048_0,4.634663903174364,0.0,0.0
18697389_21510475_0,7.3778620574718135,0.0,0.0
18697389_18697378_0,8.488015661845788,0.0,0.0
18697393_18697378_0,0.0,0.0,0.0
18697393_2924143717_0,6.559769791376518,0.0,0.0
18697395_18232186_0,7.397951013168447,0.0,0.0
18697397_1039285712_0,9.666017712389454,0.0,0.0
18697397_25305960_0,1.7405787334750975,0.0,0.0
18697400_18697397_0,2.8728520141889295,0.0,0.0
18697400_796917475_0,2.904206091487137,0.0,0.0
18697402_18697376_0,1.7240776234843498,0.0,0.0
18697402_18697383_0,0.0,0.0,0.0
18697408_25152680_0,4.652514226998121,0.0,0.0
18697408_3824873200_0,3.9530253419790045,0.0,0.0
18697408_25152618_0,3.2281556273769634,0.0,0.0
18697411_1475230728_0,4.102323602641852,0.0,0.0
18697415_25152584_0,7.22813495939993,0.0,0.0
18697415_18697408_0,9.44140227913978,0.0,0.0
18697420_25152846_0,5.23230145794986,0.0,0.0
18697420_1039285712_0,6.455738881914839,0.0,0.0
21510475_18697378_0,0.6822054596957552,0.0,0.0
21510475_21595834_0,1.022126847451351,0.0,0.0
21510476_21510488_0,29.485452607513785,0.0,0.0
21510476_1177532202_0,48.81872751044153,0.0,0.0
21510476_21510489_0,38.835148467251706,0.0,0.0
21510484_492424673_0,50.49898972335094,0.0,0.0
21510484_21510486_0,32.591043048096964,0.0,0.0
21510484_1177532202_0,48.625565935185435,0.0,0.0
21510486_21510487_0,40.289745546693005,0.0,0.0
21510486_21510484_0,32.59104304809697,0.0,0.0
21510486_3882989560_0,57.54191571693769,0.0,0.0
21510487_21510486_0,40.289745546693,0.0,0.0
21510487_25984655_0,41.8391645389462,0.0,0.0
21510488_27179926_0,25.785416992694792,0.0,0.0
21510488_21510476_0,29.4854526075138,0.0,0.0
21510488_35960757_0,24.928958106227146,0.0,0.0
21510489_27179926_0,31.185797660488184,0.0,0.0
21510489_21510476_0,38.835148467251706,0.0,0.0
21510489_33122282_0,25.896125291619537,0.0,0.0
21510491_21510487_0,32.741786451942225,0.0,0.0
21510491_26009778_0,9.84970673084816,0.0,0.0
21510495_2149820809_0,27.957783060679258,0.0,0.0
21595834_21595835_0,0.0,0.0,0.0
21595835_21992836_0,0.0,0.0,0.0
21595835_143418_0,0.0,0.0,0.0
21597584_21597589_0,0.0,0.0,0.0
21597584_6291616343_0,0.0,0.0,0.0
21597584_2384797254_0,0.8166673669032223,0.0,0.0
21597587_21597584_0,0.0,0.0,0.0
21597588_21597804_0,0.0,0.0,0.0
21597588_21597587_0,0.0,0.0,0.0
21597589_21597588_0,0.0,0.0,0.0
21597589_21597590_0,0.0,0.0,0.0
21597590_26583688_0,0.0,0.0,0.0
21597590_21597802_0,0.0,0.0,0.0
21597591_26106298_0,1.189327671181758,0.0,0.0
21597593_21597589_0,0.6394824196022709,0.0,0.0
21597593_2384797254_0,1.2255616960401663,0.0,0.0
21597802_23758496_0,0.0,0.0,0.0
21597804_21597802_0,0.0,0.0,0.0
21597808_21597587_0,0.0,0.0,0.0
21597808_21597804_0,0.0,0.0,0.0
21600350_18232178_0,1.445117705572188,0.0,0.0
21600350_21600353_0,1.6497777730227334,0.0,0.0
21600350_187824746_0,2.9076446241930904,0.0,0.0
21600353_1969423902_0,0.0,0.0,0.0
21600353_21600350_0,1.6497777730227332,0.0,0.0
21600353_18697393_0,0.0,0.0,0.0
21600354_1969423902_0,0.0,0.0,0.0
21600354_10120780902_0,0.0,0.0,0.0
21600355_21600354_0,1.94495322141621,0.0,0.0
21600355_21600350_0,2.6817517293009265,0.0,0.0
21600355_3727734177_0,1.8257498459504025,0.0,0.0
21604533_25337456_0,0.0,0.0,0.0
21604533_26059185_0,3.258298404378996,0.0,0.0
21604533_25450962_0,0.0,0.0,0.0
21604533_25337463_0,0.0,0.0,0.0
21604549_25306180_0,1.6334198912994744,0.0,0.0
21604549_25258725_0,1.4858408718934946,0.0,0.0
21604550_25310932_0,4.026569207657013,0.0,0.0
21604550_25319259_0,0.0,0.0,0.0
21604550_25310933_0,0.6075138412001189,0.0,0.0
21604551_25319190_0,0.9537536762601394,0.0,0.0
21604551_21674803_0,5.905371672073444,0.0,0.0
21604552_25319212_0,0.0,0.0,0.0
21604552_25319195_0,5.596852600560483,0.0,0.0
21604553_26053016_0,0.0,0.0,0.0
21604553_25319201_0,0.0,0.0,0.0
21604553_25316395_0,0.0,0.0,0.0
21604559_8149683531_0,0.8701529748278212,6.6216338164040405,0.0
21604559_286483713_0,0.0,42.40863542002745,0.0
21604576_25468214_0,0.0,34.83309495993672,0.0
21604576_21604585_0,0.0,3.5329521710365124,0.0
21604585_25549077_0,0.0,0.0,0.0
21604585_21604576_0,0.0,3.5329521710365124,0.0
21604585_59654811_0,0.0,0.0,0.0
21604592_29006600_0,3.080317939730771,0.0,0.0
21604592_8088285559_0,4.680809403829759,0.0,0.0
21604594_21604601_0,3.314932524924959,0.0,0.0
21604596_2018719148_0,0.0,0.0,0.0
21604600_21604596_0,0.8309814009684888,0.0,0.0
21604601_21715353_0,14.172960327720288,0.0,0.0
21604601_21604600_0,3.7425441839217637,0.0,0.0
21674798_1606993801_0,0.0,0.0,0.0
21674798_21674801_0,0.0,0.0,0.0
21674799_25316365_0,0.0,0.0,0.0
21674799_21674800_0,0.0,0.0,0.0
21674800_25316436_0,0.0,0.0,0.0
21674800_25316410_0,0.0,0.0,0.0
21674801_26053016_0,0.0,0.0,0.0
21674801_25316395_0,0.0,0.0,0.0
21674802_21604551_0,1.0688328429805172,0.0,0.0
21674802_25319255_0,0.0,0.0,0.0
21674803_25310931_0,10.129702115060526,0.0,0.0
21674803_25319260_0,2.2163316777829634,0.0,0.0
21674804_8831834972_0,2.682082020003086,0.0,0.0
21674804_8831710981_0,0.0,0.0,0.0
21674805_25495340_0,4.7762025704212565,0.0,0.0
21674805_1362781021_0,8.41528441172146,0.0,0.0
21674806_25495334_0,8.003484131579286,0.0,0.0
21674806_25495340_0,8.327752909676148,0.0,0.0
21674806_25495335_0,10.587624149759092,0.0,0.0
21674807_25316177_0,7.902797332817692,0.0,0.0
21674807_25316197_0,11.753960233100484,0.0,0.0
21674808_25316251_0,2.9782873967424837,0.0,0.0
21674808_25316247_0,5.988988759378049,0.0,0.0
21674809_25316255_0,0.9245718061065002,0.0,0.0
21674809_25316256_0,0.6021056143795459,0.0,0.0
21674822_130144295_0,1.262551024568575,0.0,0.0
21674895_25327130_0,0.35563543123501773,0.0,0.0
21674895_21674799_0,0.3712940676130078,0.0,0.0
21674896_26009828_0,0.0,0.0,0.0
21674896_26009843_0,0.0,0.0,0.0
21674897_728283328_0,0.0,0.0,0.0
21674897_21674898_0,0.0,0.0,0.0
21674898_21674900_0,0.0,0.0,0.0
21674898_26009844_0,0.0,0.0,0.0
21674898_26057013_0,0.0,0.0,0.0
21674900_26058712_0,0.0,0.0,0.0
21674900_21674898_0,0.0,0.0,0.0
21674901_21674900_0,0.0,0.0,0.0
21674901_2104502856_0,0.0,0.0,0.0
21674903_26058165_0,0.0,0.0,0.0
21674905_25451998_0,4.051457270063273,0.0,0.0
21674905_195234_0,5.159867958575754,0.0,0.0
21674906_26058690_0,16.419907069878935,0.0,0.0
21674906_195282_0,0.752924606018602,0.0,0.0
21674907_21674910_0,0.2924374092618365,0.0,0.0
21674908_8784931018_0,0.0,0.0,0.0
21674910_26131883_0,0.0,0.0,0.0
21674913_29083978_0,0.0,0.0,0.0
21674913_26084497_0,0.09864927524169964,0.0,0.0
21674913_26084485_0,1.2519443237555579,0.0,0.0
21674913_26108005_0,0.0,0.08145408205311201,0.0
21674914_21674915_0,0.0,0.0,0.0
21674914_2429781615_0,1.070962755915677,0.0,0.0
21674914_26120299_0,9.904246588529478,0.0,0.0
21674915_8821278639_0,7.256547703269151,0.0,0.0
21674915_10138203531_0,4.797586562774541,0.0,0.0
21674920_25468304_0,1.141967030902124,8.051035590235998,0.0
21696145_21696193_0,0.0,0.0,0.0
21696145_143421_0,0.0,0.0,0.0
21696191_143417_0,3.702706569476729,0.0,0.0
21696191_21696145_0,0.4803700180806558,0.0,0.0
21696192_18232183_0,0.475570998833432,0.0,0.0
21696192_21696145_0,5.0624700088746035,0.0,0.0
21696193_34235997_0,0.0,0.0,0.0
21702418_8168819584_0,1.0256871453602188,0.0,0.0
21702418_8087900725_0,0.40116338309583754,0.0,0.0
21702423_3770573715_0,5.211625963560321,0.0,0.0
21702423_21702437_0,2.7397813428667663,0.0,0.0
21702423_8088285562_0,3.696647349442004,0.0,0.0
21702431_10262507945_0,0.0,0.0,0.0
21702431_21702433_0,0.11201794607473743,0.0,0.0
21702433_18232180_0,3.4063447295515257,0.0,0.0
21702435_3770573715_0,8.933162785619722,0.0,0.0
21702435_29006600_0,5.804938503112337,0.0,0.0
21702435_8088285559_0,6.646942147925057,0.0,0.0
21702437_8168819584_0,1.842236393829711,0.0,0.0
21702438_1029591870_0,0.0,0.0,0.0
21702438_21702423_0,2.2029810603477986,0.0,0.0
21702760_1957527534_0,2.0025184501266984,0.0,0.0
21702760_1957527546_0,0.7429914729865713,0.0,0.0
21703544_9516750676_0,3.476962846542517,0.0,0.0
21703544_21703552_0,7.6353097232299385,0.0,0.0
21703552_8906537924_0,6.6969895372403485,0.0,0.0
21703587_8168819585_0,0.6998421736353708,0.0,0.0
21703587_21703594_0,0.0,0.0,0.0
21703587_21703589_0,0.0,0.0,0.0
21703589_21703590_0,0.0,0.0,0.0
21703589_21703587_0,0.0,0.0,0.0
21703590_21703591_0,0.0,0.0,0.0
21703590_21703595_0,0.0,0.0,0.0
21703591_21703589_0,0.0,0.0,0.0
21703591_21703598_0,0.0,0.0,0.0
21703594_21703587_0,0.0,0.0,0.0
