road_id,width,openness,betweenness,closeness_global,closeness_400,straightness
143403_21714981_0,50.0,1.0,0.0002858372999736886,0.00019870145921359924,2.7690869385213154e-05,0.849271932593994
143403_21718288_0,27.03606655072869,0.7,0.0005820396903229921,0.00019823758848395173,2.69377579932119e-05,0.8456554775313214
143403_143408_0,31.24879773744506,0.5,0.007971817585040251,0.0002003664193009716,2.6202392814322896e-05,0.8483097861390645
143408_21718264_0,20.502935897684104,0.35526315789473684,0.0011188982174702268,0.0002044355325104372,2.4176571175462904e-05,0.8412427611166549
143408_932576340_0,33.3482570902122,0.4090909090909091,0.008019257806374797,0.0002036629381429295,2.315091429928678e-05,0.8466009373025526
143412_8752289484_0,30.389880410526402,0.875,0.0027899368261030183,0.0002403944721261142,3.337773864799633e-05,0.8383086585155892
143412_8752289487_0,42.72932210682764,0.875,0.02295814363889088,0.00024057445735943154,3.3543038113734866e-05,0.8394449827755108
143413_21852320_0,15.221893063755548,0.4117647058823529,0.0001324871167242062,0.0002356572495302052,3.072169879991569e-05,0.8367921076429141
143413_8168938341_0,22.287222842609964,0.375,0.025242184323199465,0.00023400478030790784,3.5927988068448955e-05,0.8437444920498521
143415_143435_0,30.18279954933716,0.5416666666666666,0.0445168671912997,0.00024731218061185367,3.2136324177826176e-05,0.8299911866067388
143415_21852322_0,16.15161434768501,0.17647058823529413,0.00307019292356676,0.00024356559216203263,3.438325846583199e-05,0.8289107169607511
143416_18232186_0,10.873460701890767,0.42857142857142855,0.0015004132747572841,0.0002490277607995233,2.379543389101572e-05,0.8096295008710821
143416_18232178_0,20.640698138424675,0.35294117647058826,0.0021979307027265504,0.0002459188125615132,2.6595323054642755e-05,0.8178655018544856
143417_18232187_0,29.223873619509263,0.45454545454545453,0.0022041763341067284,0.0002530623993690802,2.302902130886987e-05,0.8146563163753122
143417_143416_0,17.136227256529907,0.4,0.0021676327462439833,0.0002481052363707245,2.2807313511128896e-05,0.8149124635359366
143418_25334276_0,16.39238756952964,0.17647058823529413,0.020243021503575955,0.00025526182032388684,2.7979927199304162e-05,0.839113657596847
143418_21696193_0,13.128820327102765,0.22727272727272727,0.002876844122329328,0.00025597421789432613,2.6638037419836928e-05,0.831336713851834
