road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street,signals,transport,pois,width,betweenness,closeness_global,closeness_400,straightness,green,industrial,commercial
30815459_30815458_0,48.8874998,48.8874998,41.4375004875,5,21377.694821374032,1582.520768739605,234.9074388757764,1511.1732648997186,0.0,169.63574829847838,0.0,0.0,0.0,28.43951691084738,7.097018269891883e-05,6.188270129802174e-05,4.307466891589872e-06,0.812287235812654,1.6372759490371012,0.0,0.0
289779593_289778452_0,54.69411738235294,54.69411738235294,47.65882380588236,5,705.6756662750146,393.368688345868,86.58237067244812,642.1000476403593,0.0,207.23736901288945,0.0,0.0,0.0,17.955616526678195,7.097018269891883e-05,5.610003471939189e-05,1.5646395400450978e-06,0.8513461149340497,0.0,0.0,0.0
10941891139_10941891138_0,50.27999954,50.27999954,43.04000014,5,2836.328947817908,2705.647225169347,332.96667971302617,1192.9238004514366,0.0,1743.705673379141,0.0,0.0,0.0,38.97227513473165,7.097018269891883e-05,4.916344278704098e-05,2.978162848324915e-07,0.8578116124059194,56.017227985198936,0.0,0.0
217895230_282060095_0,44.87931060689655,44.87931060689655,38.65862076551724,5,4040.980300986236,2097.2663129671346,543.3985441545216,489.6147386217608,0.0,168.25889340488666,0.0,0.0,0.0,25.28695678965252,0.0012834534937393,6.380203978529338e-05,2.062456840074442e-06,0.8018497190326407,0.0,0.0,3.306154532743
30775770_1145597709_0,43.0999985,43.0999985,35.5,5,23355.65560753893,3530.168752235813,278.8629598609692,173.72409346950627,0.0,697.3306844377049,0.0,0.0,0.0,47.61213127401149,0.0005029176834821,5.798420481319387e-05,1.0984807645871377e-06,0.8350673268408737,0.0,14.98560300635864,0.0
1610888244_1610888246_0,39.86666616666667,39.86666616666667,32.29999923333333,5,19013.59064871737,383.665817242223,313.2109539080486,258.7050739886354,0.0,728.6079389920458,0.0,0.0,0.0,26.69231127901326,0.0004588738712912,6.044682909096024e-05,3.112412012625308e-06,0.8352222281201198,0.0,0.0,0.0
31532862_247148439_0,41.166666975,41.166666975,33.65833329166667,5,3690.0034967362594,2118.523280898862,607.2847205170422,103.8778128053682,0.0,1164.3169066858077,0.0,0.0,0.0,26.443684669651034,0.0006009787039263,5.3189615815377975e-05,1.729302882996014e-06,0.7834541870369505,0.0,0.0,0.0
192478657_192478717_0,50.56923118461539,50.56923118461539,43.8153848,5,28969.54590902768,4950.295519759615,85.02697988603688,1413.0768734204462,0.0,269.5288181317573,0.0,0.0,0.0,25.587710315277167,2.5620911811863008e-06,4.144079640902715e-05,1.4330754773759303e-06,0.7949175505778041,2.1020388808930317,0.0,0.0
2335028067_2335028105_0,51.18571417142857,51.18571417142857,43.38571441428571,6,27548.448635042743,2850.624396641232,45.44850002823789,717.6832034563223,83.41205070025015,0.0,0.0,0.0,0.0,24.69079495233609,7.097018269891883e-05,3.769695274943582e-05,2.616511191488108e-06,0.725951735393509,10.326790718845848,0.0,0.0
302905018_30553526_0,48.4000015,48.4000015,40.9000015,5,16342.596771627816,319.68924038195195,234.49372452728755,195.0198189768223,0.0,709.5164201121544,0.0,0.0,0.0,50.0,5.139601165870212e-09,6.546408355677591e-05,2.662698296029763e-06,0.8164629840528217,34.45330830883976,0.0,0.0
73316895_73315412_0,51.05000051666667,51.05000051666667,44.36666743333333,5,2614.288967188445,4348.715947311893,332.29858867175125,343.0419720567793,0.0,226.9694404673286,0.0,0.0,0.0,19.61243279817111,7.097018269891883e-05,5.182646640090663e-05,1.4287791213975504e-06,0.834458578736244,16.920100999773506,1.4832311878131503,0.0
148771691_30409450_0,42.68571471428572,42.68571471428572,35.1142856,5,20866.79632302598,169.14788114097112,425.86680369786274,323.2764398331434,0.0,702.4218015970517,0.0,0.0,0.0,30.45557522500296,0.0003113313406225,5.453151931857047e-05,2.9144422006508684e-06,0.8444073481548131,2.907139293476071,0.0,0.0
