road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street,dist_to_main,signals,transport,pois,width,betweenness,closeness_global,closeness_400,straightness,green,industrial,commercial
172539_172562_0,2,2,1,3,19406.495888967587,0.0,0.0,0.0,130.3673481401639,845.3365385806916,0.0,0.0274628102572334,0.0091542700857444,0.0022885675214361,28.9408208858288,0.0040910634226192,6.947644619513903e-05,2.8192452255232483e-06,0.8524158647013476,46.818402087663,0.0,5.098465695546455
172539_34694336_0,2,2,1,3,19015.01960642405,435.7035138724058,0.0,0.0,0.0,867.7013616617025,0.0,0.0072740786406708,0.0029096314562683,0.0,43.648847061709965,0.0009111227966796,6.862375717955484e-05,6.748056006489243e-07,0.8378458987891606,50.59361382677552,0.0,0.0
172539_34694265_0,2,2,1,4,19175.64943060985,431.8945501135761,0.0,0.0,0.0,867.7013616617025,0.0,0.0207484048924699,0.0082993619569879,0.0,37.13263991139012,0.0032908712077031,6.913112157963313e-05,7.868623629363168e-07,0.8427491922316779,14.723614031888282,0.0,0.0
172545_271370539_0,3,3,2,4,18944.230853972847,800.614365321599,0.0,0.0,101.22833307240978,996.5523671978356,0.0,0.0502950997159642,0.0267043841486351,0.0,50.0,4.96742452681356e-06,6.858577116043155e-05,1.8283016962872288e-06,0.8339556071482892,19.276735943315053,0.0,0.0
172545_34694336_0,2,2,1,3,18957.026756275827,800.614365321599,0.0,0.0,0.0,996.5523671978356,0.0,0.0502950997159642,0.0193847736838685,0.0,49.24484310135286,0.0007742963344418,6.844180802270542e-05,1.4319516987542211e-06,0.8323646809638865,8.04711024305915,0.0,0.0
172545_28345515_0,2,2,1,4,18957.026756275827,631.3241617397546,0.0,0.0,0.0,839.3838113901567,0.0,0.0465698443783879,0.0232849221891939,0.0058212305472984,42.80754261359546,0.0005525405327386,6.822204043964325e-05,1.4290512540101131e-06,0.8318576608574486,4.821879088722929,0.0,0.0
172546_28345850_0,3,3,2,3,18724.937643903388,654.3255657369818,0.0,314.31826306713083,44.75275809619398,823.3262193800296,0.0,0.0502950997159642,0.0267043841486351,0.0191552117996363,34.81354897662676,0.0007248996276366,6.962854772847303e-05,3.896279002373222e-06,0.8452762089203101,7.309701263612406,0.0,0.0
172546_530313_0,3,3,2,3,18707.19287433111,609.4206629389838,0.0,364.8806918389146,0.0,802.0705759539944,0.0,0.022136942850917,0.022136942850917,0.0,29.56884187373168,0.0010271570024009,6.965701815410548e-05,3.5427444229861924e-06,0.8452220733394036,1.6604451686598545,0.0,0.0
172547_28346151_0,1,1,0,5,19076.03013618323,433.2991105053767,245.06221573294917,0.0,0.0,1165.853671322217,245.06221573294917,0.0,0.0092480068958929,0.0,37.8419446184606,0.0003831675461179,6.95468169603206e-05,9.999322595695595e-07,0.8393399070791459,14.95896159316536,0.0,0.0
172547_172549_0,2,2,1,4,18888.99908433513,531.9792586145206,245.06221573294917,0.0,0.0,1165.853671322217,245.06221573294917,0.0209208754444781,0.0125525252666868,0.0,37.71431062303017,0.0033665261368648,6.979234845692717e-05,1.128042832075209e-06,0.8406525300807095,1.1580019339614838,0.0,0.0
172547_34694265_0,2,2,1,4,19113.384294697844,504.89881144008046,205.0175650944279,0.0,0.0,1101.6732717138489,205.0175650944279,0.0,0.0267043841486351,0.0,35.39148584461856,0.003360412581278,6.943120751786222e-05,1.2774283711124317e-06,0.8406732914438535,0.4840113412232716,0.0,0.0
172549_29687949_0,2,2,1,5,18852.37715288184,524.6170430735482,352.0468985737936,0.0,0.0,1399.2372957403873,352.0468985737936,0.0436245441762615,0.0174498176705046,0.0,31.65524595562055,0.0003414905202639,7.006430926105987e-05,8.610923284272733e-07,0.8387622645964414,14.086136104465291,0.0,0.0
172549_34694257_0,2,2,1,4,18759.845046214537,630.6170178888699,352.0468985737936,0.0,0.0,1399.2372957403873,352.0468985737936,0.036292569819879,0.0145170279279516,0.0,37.50259528689047,0.0036638340757063,7.000876081736111e-05,1.0922180003089264e-06,0.8376455848728538,0.2203070216047009,0.0,0.0
172549_172547_0,2,2,1,4,18888.99908433513,531.9792586145206,245.06221573294917,0.0,0.0,1165.853671322217,245.06221573294917,0.0209208754444781,0.0125525252666868,0.0,37.714390907927616,0.0033665261368648,6.979234845692717e-05,1.128042832075209e-06,0.8406525300807095,1.1580019339614842,0.0,0.0
172558_530225_0,3,3,3,5,18865.50160061776,0.0,621.2777547216366,220.36905793683155,0.0,1463.807394821584,0.0,0.0502950997159642,0.0,0.1057907876025608,50.0,0.000549610960074,7.152802908394644e-05,4.373495128221138e-06,0.8523157216009191,8.58951284135119,0.0,0.0
172558_29688040_0,3,3,2,2,18865.50160061776,0.0,388.3953030227077,93.76329030104,0.0,1252.706124403922,0.0,0.0172006952375379,0.0215008690469224,0.0129005214281534,38.28237886670183,0.0093352246346079,7.117422751793751e-05,3.831953059889174e-06,0.8523003450035158,6.737546734483697,11.537081145982487,0.0
172562_530351_0,4,4,3,2,19486.740138834422,0.0,0.0,252.70602200306408,126.97735606824156,881.1201027203729,0.0,0.0502950997159642,0.0267043841486351,0.0720246002351267,50.0,0.001515915084671,7.002254082804251e-05,5.366576878854897e-06,0.8598265240551224,3.677383478013682,0.0,4.06910286330049
172562_172539_0,2,2,1,3,19406.495888967587,0.0,0.0,0.0,130.3673481401639,845.3365385806917,0.0,0.0274628102572334,0.0091542700857444,0.0022885675214361,28.94202570887921,0.0040910634226192,6.947644619513903e-05,2.8192452255232483e-06,0.8524158647013476,46.81840208766305,0.0,5.0984656955464605
172562_29690632_0,2,2,1,3,19486.740138834422,0.0,0.0,252.70602200306408,0.0,761.7945633998531,0.0,0.0502950997159642,0.0076844251336818,0.0076844251336818,39.230271328649785,0.0300132509454238,6.980118999654105e-05,5.625066403337462e-06,0.8592883073962589,5.131666427795076,0.0,0.0392534750176463
172564_21509247_0,4,4,3,3,19724.41904045417,162.39244298677818,0.0,490.1667368541179,107.01422945481777,662.0106306850803,0.0,0.0502950997159642,0.0,0.1156369238924676,50.0,0.0299286222726266,6.919370519415044e-05,6.851211541935349e-06,0.8582684543081229,8.808356399875683,0.0,3.758912003258823
172564_29690346_0,4,4,3,3,19729.568500829035,72.3797031311104,0.0,498.1162955052576,0.0,662.0106306850803,0.0,0.0502950997159642,0.0267043841486351,0.0366465680063888,28.45563071427784,0.0006276249661708,6.890893188468223e-05,6.7103469371891385e-06,0.8533377115671323,8.270765954293546,0.0,8.431286041635024
172566_530318_0,3,3,3,3,20270.997774932897,569.472579236635,0.0,740.2177129769129,0.0,482.3523497424473,0.0,0.0,0.0,0.0,50.0,1.891373229040238e-06,6.71650849055226e-05,2.244109990501415e-06,0.8472333122144615,2.4580452876074346,0.0,0.0
172566_29690840_0,2,2,1,3,20165.98898021941,468.5624173754569,0.0,683.924341422012,8.758779499288977,491.0349339362046,0.0,0.0276045800437968,0.0184030533625312,0.0276045800437968,32.16755677662495,0.0269520171178117,6.735597839173739e-05,2.054810714131633e-06,0.8478892891141206,2.228187427052561,0.0,0.0
172586_29691250_0,2,2,2,4,19545.20918079116,113.29085772207388,0.0,0.0,23.89595263470668,388.9429956449589,0.0,0.0,0.0267043841486351,0.0,50.0,0.0005307614727982,6.700667177482518e-05,2.224945896046488e-06,0.8461879701549011,36.506682282154536,0.0,0.0
172586_10758633910_0,3,3,2,3,19551.47180530948,113.29085772207388,0.0,0.0,0.0,388.9429956449589,0.0,0.0,0.0092862640729931,0.0,50.0,0.0066002681078087,6.659283864979103e-05,1.5089575499306232e-06,0.843937041753386,44.12310445513224,0.0,0.0
172587_530205_0,3,3,2,3,19173.0500681162,0.0,0.0,302.59583721659004,109.99316120646112,157.12994149274115,0.0,0.0502950997159642,0.0267043841486351,0.0818762385630909,50.0,0.0002899069131626,6.83999678670651e-05,2.3437592978462075e-06,0.8555731873394785,36.650124064080345,0.0,0.0
172587_29493004_0,2,2,1,2,18868.70863399549,0.0,0.0,302.59583721659004,0.0,161.27317677392668,0.0,0.0078748800603008,0.0026249600201002,0.0026249600201002,46.69554825678234,0.0065398135490952,6.884207915637764e-05,2.189827215219883e-06,0.8578114561366463,13.383387139600824,0.0,0.0
172589_530202_0,4,4,3,3,18802.93790246624,0.0,0.0,338.34609451688647,85.89330974783077,394.9511586778586,0.0,0.0502950997159642,0.0267043841486351,0.1049977403011391,50.0,0.0114106058645886,6.954675048816977e-05,2.669457487469547e-06,0.863461345249505,7.288365251533705,0.0,0.0
172589_13381080693_0,3,3,2,2,18650.76672641686,0.0,0.0,177.24010841021135,29.75645055311165,407.192956057498,0.0,0.0178691528916384,0.0238255371888512,0.0238255371888512,35.125919519838234,0.0179852736189902,6.980507958139772e-05,2.650994732269236e-06,0.8627292091868426,4.535867360797174,0.0,0.0
172594_223826118_0,4,4,3,3,18485.957893078325,0.0,0.0,0.0,152.2899810741184,739.6711127281288,0.0,0.0502950997159642,0.0267043841486351,0.2277438022800325,50.0,0.0007240464538431,7.067340897735469e-05,3.690574097997457e-06,0.8640624688648961,0.0,0.0,0.0
172594_29492993_0,2,2,1,3,18488.70074959836,0.0,0.0,11.784737282816137,0.0,702.977156462785,0.0,0.0194525353271255,0.0243156691589069,0.0145894014953441,27.60063014223012,0.0009407500276003,7.041340360522885e-05,3.236382675089583e-06,0.8594285014978909,4.233995435774462,0.0,0.0
172594_13056045657_0,4,4,3,2,18427.6760627467,0.0,0.0,11.784737282816137,131.50617307356336,739.6711127281288,0.0,0.0502950997159642,0.0267043841486351,0.0433366299757574,35.68648814354207,0.0176272078849664,7.07702139877159e-05,3.5670623046368554e-06,0.8635174772709073,0.0,0.0,0.0
484078_484121_0,3,3,3,4,20131.24996793911,2289.1730841856283,0.0,0.0,89.20931691170783,2226.9061097160256,0.0,0.0502950997159642,0.0267043841486351,0.0,50.0,0.0013560092433979,6.690186233359856e-05,2.0085993084143056e-06,0.8164746804371714,10.491319060374147,0.0,1.807458297926359
484078_130088130_0,3,3,2,4,20048.424547269973,2200.2354344226483,0.0,0.0,0.0,2143.535105896446,0.0,0.0502950997159642,0.011241488824302,0.0,31.87686807737065,0.0010819528602308,6.691114342608294e-05,2.3466806583037823e-06,0.8140898701990947,7.428283519876761,0.0,0.0
484121_21487129_0,2,2,2,4,20160.981759293438,2321.632183300888,0.0,0.0,0.0,2256.963522145165,0.0,0.0439520427355059,0.0239738414920941,0.0,34.88097457400235,0.0017185978264477,6.644086246394138e-05,1.4737852451438068e-06,0.8143046146771733,22.063419436710536,0.0,10.55205760584288
484121_484078_0,3,3,3,4,20131.24996793911,2289.1730841856283,0.0,0.0,89.20931691170783,2226.9061097160256,0.0,0.0502950997159642,0.0267043841486351,0.0,50.0,0.0013560092433979,6.690186233359856e-05,2.0085993084143056e-06,0.8164746804371714,10.491319060374144,0.0,1.8074582979263576
