idTram,day_pct_fluid,day_pct_congested,day_traffic_volatility,day_sensor_uptime_pct,evening_pct_fluid,evening_pct_congested,evening_traffic_volatility,evening_sensor_uptime_pct,night_pct_fluid,night_pct_congested,night_traffic_volatility,night_sensor_uptime_pct
1,0.7726295210166177,0.005278592375366569,0.820652686424794,0.9387904927961824,0.9877800407331976,0.0006788866259334691,0.5411494498362349,0.9240903387703889,0.9990904956798545,0.0,0.2868714775523635,0.35285622593068033
2,0.9087916343919442,0.0009682416731216112,0.6472687328032924,0.9477837937046893,0.9837288135593221,0.002711864406779661,0.5426009110602317,0.9253450439146801,0.9943109987357776,0.0012642225031605564,0.2547306985977262,0.5077021822849808
3,0.7487432232626909,0.0012814194184327255,0.6395994717311686,0.9309901807837019,0.9042821158690176,0.0,0.48739189799995714,0.4981179422835634,0.9936842105263158,0.0,0.3205148096734531,0.1524390243902439
4,0.7539236582057741,0.008137957760124007,0.6987935070340114,0.9472331834449849,0.9350145489815713,0.0009699321047526673,0.5667817155608352,0.6468005018820577,0.9908136482939632,0.0013123359580052493,0.5941426154803466,0.24454428754813864
5,0.6589473684210526,0.25636363636363635,1.4222033805814804,0.9589795356520143,0.9733939000648929,0.012329656067488644,0.6667453903419785,0.966750313676286,1.0,0.0,0.19915205972469635,0.318196405648267
6,0.8064332479362368,0.004934054464370434,0.7406642676050316,0.9671469211709645,0.9381841596909208,0.003219575016097875,0.6512520411702202,0.9742785445420327,0.994226678821027,0.002430872075357034,0.2707953798240001,0.5280808729139923
7,0.9922541425629964,0.0004902441415825081,0.469573813144599,0.9359456731210425,0.9966733200266135,0.0013306719893546241,0.48854817709164233,0.9429109159347553,0.9984520123839009,0.0,0.1859401028854143,0.2073170731707317
8,0.8254616132167153,0.02021379980563654,0.8963481260666782,0.9442965953932275,0.9845460399227302,0.0025756600128783,0.5401449437873033,0.9742785445420327,0.9834599910594546,0.0,0.38697097815952664,0.3589537869062901
9,0.9939430046668652,0.002283785125608182,0.5787935406757645,0.924199320914013,0.9950877192982456,0.0,0.3954177713221676,0.8939774153074027,0.9751633986928104,0.00130718954248366,0.7577700938783491,0.12275353016688062
10,0.9746771076985661,0.0005084918132818062,0.36112965955451154,0.9023584472790677,0.9716885743174924,0.0010111223458038423,0.6050856381533049,0.6204516938519448,0.9824198552223371,0.0,0.7734188280353246,0.1551668806161746
11,0.588210961737332,0.02998965873836608,1.0686510030531298,0.8874002018904286,0.9304987735077678,0.0,0.6393526896314188,0.7672521957340025,0.8714859437751004,0.002008032128514056,0.7995781010976976,0.15982028241335045
12,0.9896089691003555,0.0010937927262783702,0.3671774796068092,0.6711939065797926,0.9971098265895953,0.0,0.16551105240461303,0.4341279799247177,0.9534883720930233,0.011627906976744186,0.7213757945313278,0.0137997432605905
13,0.6809719154307352,0.008625223519511938,1.0728691292513113,0.8724419565017895,0.9605792437650845,0.004827031375703942,0.6382319652211694,0.7797992471769134,0.8427586206896551,0.016551724137931035,1.0906258111447875,0.11633504492939667
14,0.7341245688780685,0.013390139987827145,0.9690486526654345,0.9046526566945031,0.9861963190184049,0.0,0.3307034533690573,0.8180677540777918,0.9798951048951049,0.0,0.3186847450340965,0.18356867779204109
15,0.6870428992468072,0.012334897936906451,0.8764649681100539,0.840690098192163,0.9610655737704918,0.0,0.6328299882711573,0.30614805520702637,0.9130434782608695,0.0,0.6950480468569159,0.007381258023106547
16,0.6968380644509546,0.023840791999191837,0.8825931248972287,0.9084151601358172,0.984759671746776,0.0011723329425556857,0.5316152723670066,0.5351317440401505,0.9507692307692308,0.003076923076923077,0.6531100263758829,0.05215019255455713
17,0.9713599038654116,0.0002002803925495694,0.4976412721683809,0.9163990089015326,0.9970501474926253,0.0,0.44327696189250515,0.8506900878293601,0.9935191186001296,0.0,0.28505814912828714,0.24759306803594353
18,0.6968380644509546,0.023840791999191837,0.8825931248972287,0.9084151601358172,0.984759671746776,0.0011723329425556857,0.5316152723670066,0.5351317440401505,0.9507692307692308,0.003076923076923077,0.6531100263758829,0.05215019255455713
