fid,street_id,signal_count_50m,poi_count_50m,tree_count_50m,transport_count_50m,signal_count_100m,poi_count_100m,tree_count_100m,transport_count_100m
3811,T17750M,1,5,1,1,1,17,7,1
3812,T08650I,1,1,1,1,1,1,1,1
3813,T04627T,1,1,1,1,1,1,1,2
3814,T04497B,1,1,1,1,8,9,1,3
3815,T10886Z,1,1,1,1,1,1,1,3
3816,T19724S,16,1,24,1,20,2,78,4
3817,T16778U,3,1,5,1,3,1,10,1
3818,T02991C,1,4,28,1,4,8,148,1
3819,T17332Y,1,1,1,1,1,2,1,1
3820,T15613W,1,13,1,1,1,33,1,2
3821,T07711A,1,13,1,1,1,35,1,2
3822,T08135U,3,5,33,1,5,23,51,1
3823,T05268U,1,1,1,1,1,2,1,1
3824,T03260E,1,2,1,1,1,3,1,1
3825,T07251T,1,5,1,1,4,14,1,1
3826,T15065Q,1,1,1,2,1,1,1,3
3827,T05784J,1,1,16,1,1,2,84,3
3828,T20801J,1,1,38,1,8,11,159,2
3829,T05828E,9,5,110,3,11,6,247,8
3830,T18681U,6,1,51,2,7,1,84,5
3831,T09246E,3,1,1,1,4,1,5,1
3832,T02168F,7,13,1,1,7,22,1,2
3833,T02732L,2,15,1,1,2,25,1,2
3834,T13229K,9,1,19,3,12,2,34,6
3835,T21121W,1,2,1,1,1,5,1,1
3836,T08899F,2,1,1,1,7,7,1,2
3837,T21242E,1,2,54,2,3,6,88,5
3838,LRD0041,3,1,35,5,4,2,118,5
3839,T18764W,1,7,1,1,1,31,3,1
3840,T09745S,1,2,1,1,1,3,1,2
3841,T16170U,1,1,1,4,6,5,18,7
3842,T17831M,1,1,108,1,1,5,183,1
3843,T16754M,1,1,1,1,1,1,1,1
3844,T01451B,1,14,1,1,1,38,12,1
3845,T01302P,1,17,1,1,1,57,37,1
3846,T15765L,22,1,18,9,24,14,103,13
3847,T20128Z,3,8,1,5,8,21,1,9
3848,T02809P,1,1,1,1,1,4,13,1
3849,T14536W,1,1,1,1,1,1,1,2
3850,T19149J,1,1,1,1,1,2,1,1
3851,T10444D,5,3,1,1,7,10,1,1
3852,T18331B,3,2,1,1,7,2,125,3
3853,T20136Z,1,2,1,1,1,3,1,1
3854,T08974Z,2,4,1,1,4,14,1,1
3855,T14881K,1,1,9,1,3,1,9,1
3856,T08226W,2,1,1,1,3,6,1,1
3857,T01614C,1,14,1,1,1,32,1,1
3858,T17978E,1,1,1,1,1,2,39,1
3859,T13121Z,1,6,50,1,1,8,96,3
3860,T16424X,6,3,67,1,8,9,143,1
3861,T04939G,1,1,1,3,1,2,1,4
3862,T05391W,1,4,1,2,1,5,1,3
3863,T17699A,4,1,1,2,4,1,1,2
3864,T04945E,3,1,1,3,6,4,1,6
3865,T13111X,1,2,1,3,3,6,15,7
3866,T02574P,4,7,1,1,4,14,1,1
3867,T16015K,1,1,1,2,1,1,1,2
3868,T15413Q,1,1,1,1,1,1,1,1
3869,T12836X,1,1,1,2,1,2,1,3
3870,T07586N,1,3,1,1,7,7,2,2
3871,T15903D,1,1,1,1,1,1,1,1
3872,T12105V,1,1,4,1,1,2,24,2
3873,T05905A,1,1,4,1,3,1,9,1
3874,T00181U,1,4,1,1,1,19,1,1
3875,T17821K,1,1,1,1,1,1,1,2
3876,T08867X,2,2,1,1,3,6,1,2
3877,T19483U,1,8,1,1,1,26,1,2
3878,T13951D,9,4,1,1,12,8,9,1
3879,T17351B,1,1,3,1,1,1,43,1
3880,T18973D,1,6,1,1,1,9,1,1
3881,T11939Z,1,2,34,1,8,3,154,3
3882,T02493P,4,13,120,1,4,43,215,4
3883,T02143W,2,18,3,1,8,39,88,1
3884,T00793Q,1,4,1,1,1,18,1,2
3885,T05699N,2,3,1,1,5,5,8,2
3886,T08971W,3,3,1,1,9,14,1,1
3887,T10573L,3,1,1,1,5,6,1,4
3888,T11115T,1,1,1,1,1,3,4,1
3889,T12257K,1,1,24,1,1,2,24,1
3890,T20690U,1,1,1,1,1,1,1,3
3891,T09192H,1,8,1,1,3,17,3,1
3892,T02353E,3,11,2,1,10,22,2,13
3893,T08128V,4,5,43,1,6,19,58,1
3894,T16037Q,1,1,1,4,1,1,1,9
3895,T07778T,1,22,1,1,1,58,1,1
3896,T10678T,1,1,1,1,1,4,1,6
3897,T19828Z,6,2,31,4,9,3,60,4
3898,T09087H,4,6,1,1,8,17,1,1
3899,T00579M,1,19,1,1,1,57,6,1
3900,T01290C,1,22,18,1,1,55,47,1
3901,T02003L,2,6,4,1,3,14,6,1
3902,T06594J,1,1,1,1,1,1,1,2
3903,T03282K,1,1,1,1,1,4,1,1
3904,T09297P,1,1,1,1,6,8,2,1
3905,RD0125U,10,1,1,1,12,1,1,3
3906,T16412T,3,1,56,1,5,3,160,2
3907,T20526J,1,1,1,1,1,1,1,3
3908,T01047T,3,16,4,6,4,38,18,10
3909,P12680,1,4,1,1,1,12,1,1
3910,T04803R,1,1,1,1,1,2,1,2
3911,T12114W,4,1,1,1,8,2,8,1
3912,T19092J,1,1,38,1,1,1,53,1
3913,T00890Q,9,11,1,1,14,28,2,2
3914,T11192G,1,3,1,4,1,5,1,5
3915,T02169G,5,13,1,1,6,26,1,2
3916,T13228J,5,1,20,4,10,2,29,6
3917,T01210M,1,3,1,1,6,7,15,1
3918,T21179O,7,2,48,2,13,5,101,2
3919,T16154U,1,1,1,1,1,4,1,2
3920,T18612H,1,1,1,1,1,1,1,1
3921,T00606Y,1,13,1,1,1,40,2,1
3922,T06515U,1,1,1,2,2,1,4,2
3923,T16068X,1,5,1,1,1,21,38,1
3924,T07164V,1,1,1,1,1,1,1,1
3925,T20753S,8,1,45,1,8,6,149,1
3926,T05344P,1,1,1,1,1,2,1,1
3927,T08044S,1,16,1,1,1,42,15,1
3928,T00246U,1,14,1,1,4,33,1,2
3929,T11944W,1,1,35,1,1,3,63,1
3930,T20691V,1,2,1,1,7,10,1,5
3931,P12600,12,20,1,4,22,35,2,7
3932,T01494M,1,7,7,1,1,18,33,1
3933,T00808G,1,4,1,1,1,31,1,1
3934,T18344G,8,1,1,1,12,3,1,2
3935,T11068D,1,1,1,1,4,6,1,2
3936,T01538H,1,10,1,1,1,27,1,1
3937,T09138B,2,1,45,1,2,4,127,1
3938,T16590K,1,11,18,1,1,50,44,1
3939,T04938F,1,1,1,1,1,2,1,4
3940,T10797Z,1,1,1,1,1,1,1,1
3941,T11379P,1,11,1,1,3,14,1,1
3942,T04327K,1,1,1,1,1,1,1,3
3943,T02066A,2,12,60,1,4,26,102,1
3944,T01746N,3,11,44,1,3,28,71,2
3945,T06419V,3,1,2,1,6,7,51,3
3946,T10642H,1,1,1,1,5,2,7,1
3947,T02535I,7,13,50,1,7,25,149,1
3948,T09537M,1,1,1,1,2,4,57,1
3949,T10783T,1,2,9,1,2,6,9,3
3950,T05924D,1,1,1,1,1,2,6,1
3951,T14469C,1,1,1,1,1,3,1,1
3952,T19880D,5,1,1,2,7,1,12,7
3953,T20733O,2,2,30,1,3,16,67,1
3954,T11854V,1,1,1,1,1,1,1,2
3955,T15284Z,4,4,1,1,5,10,1,1
3956,T17983B,1,1,1,1,1,1,1,1
3957,T11204T,1,4,1,1,1,5,1,5
3958,T07730D,1,12,1,1,2,45,1,2
3959,P70130,1,4,40,1,3,10,141,2
3960,T15226P,1,1,67,1,4,1,123,3
3961,T00087X,2,10,1,1,6,26,1,1
3962,T03188N,1,9,1,1,3,32,1,1
3963,T09996J,5,3,50,1,10,8,128,1
3964,T04883H,3,3,1,2,3,7,1,4
3965,T09085F,4,13,26,1,8,17,71,4
3966,T12591V,1,1,1,1,1,1,1,1
3967,T06700T,1,1,1,1,1,2,1,1
3968,T04766D,5,2,1,3,9,8,1,4
3969,T14999X,1,1,1,1,1,1,1,1
3970,T01590L,1,13,1,1,1,33,1,1
3971,T06436W,1,1,1,1,3,1,1,1
3972,T13513L,1,1,1,1,1,3,1,1
3973,T03564R,12,6,25,1,12,10,38,2
3974,T20532H,1,1,1,2,13,1,1,4
3975,T00462A,1,15,1,1,1,43,2,1
3976,T03640M,1,1,1,1,1,2,4,1
3977,T03690W,1,1,1,1,1,2,5,3
3978,T20214W,2,6,3,1,2,13,10,2
3979,T09807P,3,1,1,2,4,1,1,4
3980,T03831R,2,3,1,1,5,5,1,1
3981,T05516R,1,1,1,1,1,1,1,1
3982,LVA0005,2,1,1,2,7,3,1,3
3983,T11289O,1,7,1,1,3,9,1,5
3984,T03780X,7,1,36,2,10,1,42,2
3985,T08425B,1,1,1,1,1,7,1,3
3986,T17202P,1,1,1,1,4,3,1,1
3987,T05183Q,1,1,1,1,1,3,1,1
3988,T11321X,5,9,32,1,13,25,57,5
3989,T20802K,1,1,1,2,1,1,1,2
3990,T00532X,1,11,1,1,1,45,6,1
3991,T00104H,1,3,1,1,1,14,33,2
3992,T16751J,1,1,1,1,1,2,1,1
3993,T16660H,7,5,1,1,9,13,1,3
3994,T09146B,2,5,20,1,6,13,103,1
3995,T07891T,1,5,29,1,1,14,54,3
3996,T06115I,1,2,1,1,1,2,1,1
3997,T04647X,1,1,1,1,1,1,1,1
3998,T13542Q,5,3,7,1,5,7,8,5
3999,RD0106B,2,1,1,1,8,1,1,2
4000,T14879Q,1,1,1,1,7,3,1,2
4001,T00602U,1,11,1,1,1,39,1,1
4002,T00771K,1,5,1,1,2,8,1,1
4003,T02153Y,4,11,17,1,6,20,67,1
4004,T02343C,5,11,47,1,5,26,88,3
4005,T02627L,1,6,1,1,3,11,1,1
4006,T00984V,1,12,1,1,3,24,2,2
4007,T01799A,6,7,9,1,6,17,25,4
4008,T07307S,2,6,1,1,4,10,1,1
4009,T08452E,5,3,1,1,10,7,1,4
4010,T03156F,1,10,1,1,1,20,1,2
4011,T06153O,1,1,1,1,3,2,1,1
4012,T07210K,1,1,1,1,1,1,1,1
4013,T17594S,4,2,7,1,5,10,23,2
4014,T19239K,5,4,11,1,14,6,51,3
4015,T20292K,3,3,1,1,4,7,1,1
4016,T05498G,1,1,1,1,1,1,2,1
4017,T10478N,1,1,1,1,4,4,1,1
4018,T05414M,1,1,1,1,1,1,1,1
4019,T18920Q,1,1,1,1,1,3,1,2
4020,T08409B,1,1,1,1,1,7,1,2
4021,T21334H,1,1,1,1,1,1,1,1
4022,T00055P,1,7,1,1,6,33,1,4
4023,T15539D,1,6,4,1,1,19,67,5
4024,T06009H,1,4,8,1,1,5,8,1
4025,T07123M,1,1,1,1,1,4,28,1
4026,T12087K,1,1,1,1,4,3,5,1
4027,T19680X,2,4,1,1,8,6,6,2
4028,T07882S,1,1,1,1,2,7,1,1
4029,T00190V,1,6,1,1,1,24,1,1
4030,T03510D,1,1,1,1,13,12,19,2
4031,T09502B,3,3,6,1,4,3,31,1
4032,T10266D,1,1,6,1,1,1,8,1
4033,T19786G,5,1,18,1,9,3,53,5
4034,T13412H,1,1,3,2,1,1,8,2
4035,T08753O,1,1,14,2,6,2,30,5
4036,T21462O,1,1,1,3,1,1,1,5
4037,T13544S,10,8,22,4,17,23,51,9
4038,T19385T,7,1,1,6,8,1,1,7
4039,T09694Y,1,1,46,2,2,2,123,4
4040,T14546Y,1,1,1,1,1,3,1,2
4041,T02876A,1,2,40,1,4,8,76,1
4042,T19791D,1,1,1,1,1,1,1,4
4043,T01242U,1,4,1,1,1,22,1,1
4044,T10097E,4,5,47,1,22,11,183,1
4045,T00875R,1,4,1,1,6,17,1,1
4046,T20666U,1,1,26,1,1,1,35,2
4047,T11929X,1,1,1,1,1,3,23,1
4048,T17869A,1,2,1,1,1,4,3,1
4049,T00450W,1,9,1,1,3,34,1,2
4050,T19011S,1,6,1,1,1,11,1,1
4051,T12533L,1,1,1,1,1,1,1,1
4052,T15970O,7,3,5,1,11,12,6,5
4053,T08276G,3,5,1,1,5,9,1,1
4054,NS0011K,1,1,1,1,1,1,1,2
4055,T03615L,1,1,3,1,1,1,15,3
4056,T11325B,3,4,4,1,4,4,9,1
4057,T14562Y,1,7,1,1,1,16,1,2
4058,T21251F,1,1,1,1,1,2,1,1
4059,T01594P,1,13,1,1,1,35,1,1
4060,T19535P,3,1,49,1,3,1,74,1
4061,T15590G,6,1,1,1,7,1,1,1
4062,T17605E,5,1,48,1,9,1,97,2
4063,T12861Y,1,1,1,2,1,1,1,5
4064,T12575V,1,1,1,1,1,1,1,1
4065,T04749C,2,4,1,1,5,10,1,2
4066,T16742I,1,1,1,1,1,1,11,1
4067,T11761R,1,1,1,1,1,1,1,1
4068,T02618K,3,13,1,1,7,22,1,1
4069,T06283X,1,1,1,1,1,1,1,1
4070,T05512N,1,1,1,1,1,1,1,1
4071,T17917R,1,1,1,1,1,1,1,2
4072,T09050U,4,8,1,3,9,18,1,4
4073,T15948Q,1,1,1,1,1,1,1,1
4074,T19760W,1,1,1,1,1,1,1,1
4075,T06229R,1,1,1,1,1,1,1,1
4076,T19580U,1,2,1,1,5,8,1,2
4077,T10406X,1,1,1,1,2,12,2,1
4078,T20213V,14,1,1,1,16,1,1,1
4079,T02513C,5,10,48,1,5,19,186,1
4080,T03734R,3,1,1,2,4,1,1,3
4081,T19568Y,1,4,1,1,4,17,65,1
4082,T04952D,1,2,1,3,1,6,1,6
4083,T20758X,7,6,14,5,7,20,18,8
4084,T10254Z,2,7,1,2,7,15,1,6
4085,RD0027A,1,1,1,1,1,1,1,3
4086,T18047A,1,1,5,1,2,1,7,1
4087,T10103L,1,1,42,1,2,3,115,1
4088,T10164Y,1,3,96,1,1,4,165,1
4089,T13689I,1,1,7,1,2,7,20,1
4090,T00091T,1,11,1,1,1,31,1,1
4091,T04742V,1,1,1,1,1,2,7,1
4092,T09011N,4,3,1,1,6,16,1,2
4093,T09569U,1,1,25,1,1,4,83,1
4094,T18049C,1,1,3,1,2,1,7,3
4095,T04811R,1,1,1,1,1,1,1,3
4096,T20452I,4,5,19,1,8,12,74,3
4097,T21074G,1,2,32,1,1,10,37,1
4098,T11080Z,2,1,1,1,8,6,1,2
4099,T08610A,1,1,1,1,1,1,1,4
4100,T07539G,1,1,1,1,1,1,1,2
4101,NS0014N,1,1,1,1,1,1,7,2
4102,T02575Q,4,3,1,1,4,12,1,1
4103,RL0031E,1,1,1,2,4,7,1,2
4104,T02701E,8,3,54,1,11,5,171,3
4105,T09552L,7,2,1,3,7,4,38,4
4106,T17268H,1,1,1,2,1,2,1,8
4107,T19490T,10,11,15,5,14,38,29,6
4108,T08919S,4,4,1,2,6,10,1,3
4109,T16873S,1,6,34,1,6,20,61,1
4110,T14060H,4,6,42,1,7,13,55,1
4111,T05537W,1,1,1,2,1,1,1,2
4112,T00239V,1,13,1,1,1,41,1,1
4113,T15965R,1,1,1,2,1,1,1,2
4114,T15610T,1,4,1,1,4,20,1,3
4115,T20722L,1,1,1,2,1,1,1,2
4116,T15005E,15,1,1,1,15,1,1,1
4117,T16513X,1,1,1,1,1,8,1,1
4118,T10483K,7,3,19,1,15,12,57,6
4119,T12373N,8,2,22,1,17,4,53,2
4120,RL0029C,4,1,1,1,5,8,1,2
4121,T06206K,1,1,1,1,1,1,1,1
4122,T20750P,2,1,1,1,4,1,1,4
4123,T17767V,13,5,22,1,18,13,43,3
4124,T11488T,1,1,1,1,1,1,1,1
4125,T01217T,1,8,1,1,9,21,2,7
4126,T00405R,1,2,1,1,3,7,1,2
4127,T15541X,1,7,1,1,4,17,39,4
4128,T06266W,2,4,1,7,3,6,25,19
4129,T13574Y,3,3,1,1,4,4,1,4
4130,T05746D,1,7,1,1,4,10,3,1
4131,T03414E,1,4,1,1,5,7,1,1
4132,T17415A,1,3,1,1,1,7,1,1
4133,T18065C,1,1,6,1,1,1,6,1
4134,T18099M,11,1,61,2,18,2,135,4
4135,T20997K,2,1,3,3,2,1,3,4
4136,T19451M,4,1,1,2,5,1,1,2
4137,T02342B,7,10,13,1,8,23,54,2
4138,T01911I,2,19,130,1,2,40,215,2
4139,T07768R,1,12,10,4,3,26,15,8
4140,T20023R,1,3,20,3,5,3,20,5
4141,T00135O,1,5,1,1,1,20,9,3
4142,T08732J,1,1,1,3,1,4,1,6
4143,T12367P,2,2,1,1,7,7,6,1
4144,T18919X,1,1,1,1,1,5,1,3
4145,T16581J,1,20,20,1,1,42,37,1
4146,T09682U,6,1,14,2,11,1,48,3
4147,T16430V,1,14,139,1,2,26,310,1
4148,T08407Z,1,7,1,1,1,15,1,1
4149,T10916O,2,1,1,2,9,8,1,6
4150,T02821L,1,8,48,1,1,16,117,1
4151,T07503U,1,1,1,1,1,1,1,1
4152,T13832X,1,1,1,2,1,1,1,2
4153,T12495W,2,4,4,5,16,7,27,9
4154,T09306Z,4,3,1,1,9,5,48,3
4155,T17782U,4,6,56,1,6,21,87,1
4156,T00718F,4,8,43,1,16,21,128,2
4157,T20345G,1,1,1,1,1,1,1,1
4158,T04676C,1,2,1,3,1,2,1,3
4159,T04593A,1,1,1,4,1,1,1,4
4160,T02735O,3,8,1,2,3,19,1,4
4161,T03253F,4,3,2,1,9,11,11,5
4162,T02616I,4,5,1,1,4,10,1,2
4163,T09294M,2,6,1,1,7,20,1,6
4164,T09204U,1,15,44,1,6,24,106,1
4165,T00948R,1,1,1,1,1,7,1,1
4166,T02962X,1,5,58,1,6,23,166,4
4167,T21280K,1,1,1,1,1,1,1,1
4168,T21335I,1,1,1,1,1,1,1,1
4169,T16137T,5,6,1,1,12,10,1,2
4170,T07714D,2,8,1,1,2,39,1,1
4171,T00626C,1,13,1,1,1,40,1,1
4172,T08495P,1,4,1,1,1,8,1,1
4173,T12068H,6,1,51,3,12,3,90,4
4174,T11722K,1,1,1,4,1,1,1,4
4175,T01477L,1,10,1,1,1,36,8,1
4176,T21426K,6,1,3,2,11,1,5,3
4177,T16434Z,3,15,137,1,5,33,259,1
4178,T02038W,3,10,1,2,7,19,49,3
4179,T11162A,4,1,1,2,6,4,1,3
4180,T10988E,1,1,1,1,1,1,1,2
4181,T12850V,1,1,1,1,1,1,1,1
4182,T11061W,5,8,1,3,10,15,1,4
4183,T21185M,7,4,1,1,13,11,13,1
4184,T00818I,3,11,1,3,3,33,4,3
4185,T12377R,1,1,1,1,1,1,6,1
4186,T06089X,1,3,39,2,2,5,89,3
4187,T08418C,1,1,2,1,1,5,5,1
4188,T16789X,1,1,1,1,1,1,1,2
4189,T20513E,1,1,1,1,6,2,1,2
4190,T15739J,6,9,93,1,8,23,206,1
4191,T07723E,1,4,1,1,2,18,1,3
4192,T12674X,1,1,1,1,3,2,1,2
4193,T02903M,1,9,42,1,1,12,112,1
4194,T01528F,1,4,5,1,5,22,5,4
4195,T20669X,4,5,1,1,4,20,1,3
4196,T00970P,3,3,1,1,4,23,1,4
4197,T00583I,1,8,1,1,5,36,6,1
4198,T00349A,5,6,1,2,5,28,5,2
4199,T08765S,1,6,1,1,3,12,9,2
4200,T15208N,1,1,1,1,9,3,1,1
4201,T08412W,6,4,1,1,18,9,1,4
4202,T04957I,1,1,1,1,1,1,2,1
4203,T02330X,8,16,40,1,8,31,62,1
4204,T15821C,1,1,1,2,1,2,5,3
4205,T00336V,1,23,1,1,4,49,1,2
4206,T06281V,1,1,1,1,1,3,1,1
4207,T07302N,1,4,1,1,3,7,67,1
4208,T17953V,1,2,1,1,4,3,4,2
4209,T11217Y,1,1,1,1,5,4,1,1
4210,T00426W,1,12,1,1,3,33,2,1
4211,T20880Y,1,1,1,1,1,1,1,2
4212,T08160V,1,13,1,1,1,32,1,1
4213,T14476B,1,3,1,1,1,16,1,1
4214,T09607J,8,1,1,2,9,5,1,2
4215,T04359S,1,1,1,2,1,5,1,3
4216,T16204N,2,1,1,1,6,1,13,1
4217,T16203M,4,3,9,1,5,3,14,1
4218,T09718P,4,2,70,6,6,9,114,8
4219,T03676Y,1,10,1,2,1,20,1,2
4220,T06207L,1,1,1,1,1,3,1,1
4221,T19249M,1,3,1,1,2,9,6,1
4222,T18039A,1,1,19,1,2,4,28,1
4223,T01145U,1,4,1,1,1,15,1,1
4224,T12809U,1,1,1,3,2,1,1,4
4225,RL0046T,4,1,1,1,6,1,1,1
4226,T15814D,1,1,1,1,5,1,2,4
4227,T19961D,1,4,1,1,1,5,24,1
4228,T11082B,1,2,1,1,4,5,1,1
4229,T04088O,1,1,1,1,1,1,1,2
4230,T14291U,4,1,25,3,8,4,65,5
4231,T16980U,1,1,1,1,1,1,1,1
4232,T14240J,8,1,1,2,9,2,13,2
4233,T04393U,1,1,1,1,1,6,14,1
4234,T19970E,3,1,5,1,9,1,74,3
4235,T01612A,1,8,1,1,1,32,1,1
4236,T00993W,1,5,5,3,6,25,5,4
4237,T09111Q,4,3,99,2,4,10,246,2
4238,T16361Z,1,1,1,1,1,2,1,1
4239,T06952L,1,1,1,1,1,1,1,2
4240,T17976C,1,1,1,1,1,3,40,1
4241,T20342D,1,1,1,1,1,1,1,1
4242,T03702J,1,1,1,1,2,20,1,2
4243,T17738Q,3,10,45,1,14,27,77,3
4244,T01890U,2,20,34,1,2,41,76,2
4245,T19785F,4,1,4,1,5,4,23,4
4246,T01654K,1,8,1,1,4,16,3,1
4247,T15043K,1,1,10,1,1,1,14,1
4248,T07988B,1,5,23,2,1,13,24,2
4249,T16325V,1,10,3,1,3,30,3,3
4250,T08475L,1,1,1,2,1,1,1,5
4251,T09286M,3,2,1,1,4,9,1,1
4252,T04694E,5,1,1,2,5,3,1,2
4253,T05420K,1,1,1,3,1,1,4,4
4254,T00463B,1,11,1,1,1,45,1,1
4255,T02426E,8,3,43,3,11,13,70,4
4256,T13365R,5,1,1,1,7,1,1,3
4257,T11011M,1,1,1,1,3,3,1,1
4258,T00157U,1,13,1,2,1,27,1,2
4259,T08675R,1,1,9,1,4,1,14,4
4260,T20025T,1,1,1,1,2,9,21,5
4261,T01759S,7,12,1,3,7,20,1,8
4262,T02495R,5,15,1,1,6,30,1,1
4263,T21047D,1,1,1,1,1,1,1,1
4264,T17206T,1,1,1,1,1,1,1,1
4265,T17880V,2,4,1,3,11,8,6,6
4266,T08391I,1,1,1,1,3,5,6,1
4267,T03082E,1,4,5,1,1,7,9,1
4268,T17726M,9,2,68,3,10,2,147,3
4269,T13103X,4,1,7,1,7,2,28,4
4270,T08923O,1,2,1,1,1,7,1,1
4271,T03688C,6,1,45,1,6,4,96,1
4272,T08700B,1,1,1,2,3,4,1,5
4273,T17449K,2,1,1,1,4,4,2,1
4274,T21470O,7,1,1,3,12,8,1,6
4275,T09058C,3,6,40,1,9,9,142,4
4276,T07064S,1,1,3,5,4,5,37,8
4277,T00960N,1,9,1,1,2,22,3,2
4278,T05996T,1,3,1,1,5,12,7,1
4279,T17663O,1,1,1,1,1,1,1,1
4280,T18561N,6,3,56,1,9,10,138,1
4281,T08854S,1,1,32,1,1,3,93,1
4282,T12398W,9,2,20,1,13,4,56,2
4283,T01056U,1,17,2,1,1,39,20,1
4284,T02431B,2,9,5,4,8,24,61,5
4285,T09912P,1,1,4,1,4,1,26,1
4286,T09499X,2,2,84,1,2,4,154,3
4287,T19460N,36,2,19,1,37,6,75,5
4288,T18107V,5,1,1,3,7,1,1,5
4289,T01706F,1,4,29,1,1,10,56,2
4290,T00720Z,1,6,1,1,4,20,66,1
4291,T10307V,2,1,20,2,2,1,64,2
4292,RL0035I,1,1,1,1,1,1,1,1
4293,RD0133C,1,1,9,1,1,3,25,3
4294,T17894B,1,20,1,1,1,51,1,1
4295,T08618I,1,1,1,1,1,1,1,1
4296,T01045R,1,16,1,1,2,46,2,3
4297,T16391F,2,1,23,1,5,9,56,2
4298,T08582N,1,1,1,2,5,3,1,3
4299,T09587W,8,2,40,3,8,6,154,7
4300,T06946N,1,1,1,3,1,1,1,3
4301,T04295T,7,2,22,1,11,8,31,3
4302,T17057Y,2,1,1,1,9,5,1,3
4303,T13000R,6,2,1,5,7,4,1,11
4304,T16205O,1,1,1,1,4,1,1,1
4305,T18963B,15,9,1,4,18,21,1,9
4306,T10151T,2,1,30,1,7,3,113,2
4307,T11413A,3,3,1,1,3,5,1,2
4308,T04525O,3,1,1,1,5,6,1,5
4309,T17579T,4,1,94,1,7,4,210,4
4310,T15298F,3,11,3,1,4,24,35,3
4311,T00495J,5,13,1,1,5,39,1,1
4312,T10587R,4,1,1,1,8,2,1,3
4313,T04819Z,1,1,1,1,1,1,1,1
4314,T15568I,6,1,1,2,6,1,1,3
4315,T12849C,1,1,1,1,1,1,1,5
4316,T18275K,1,5,3,1,1,23,14,2
4317,T17402V,1,1,17,1,2,1,28,1
4318,T00517Y,11,1,45,2,17,5,93,3
4319,T13659C,1,1,1,1,1,2,1,1
4320,T18157F,4,1,27,1,7,4,77,1
4321,T07267B,1,1,1,1,1,16,6,1
4322,T15631Y,1,20,1,1,1,48,2,1
4323,T00978X,1,6,1,1,3,24,1,2
4324,T17396O,1,1,1,1,4,1,23,1
4325,T20189M,1,1,1,1,1,1,1,1
4326,T16019O,1,1,1,1,1,1,1,1
4327,T10169D,4,2,53,1,7,3,142,2
4328,T21092I,1,3,24,1,1,7,29,1
4329,T21479X,1,5,7,2,1,17,24,2
4330,T04751W,1,1,1,1,5,6,1,2
4331,T07189E,1,1,1,1,1,1,1,1
4332,T09592T,3,2,44,1,3,3,120,2
4333,T12573T,1,1,1,1,1,1,1,2
4334,T07171U,1,1,1,1,1,1,1,1
4335,T02068C,4,20,72,1,5,28,98,1
4336,T14255Q,2,2,71,1,3,17,166,5
4337,T12894H,1,1,1,1,1,1,1,1
4338,T02598X,4,9,1,1,7,15,1,2
4339,T11975D,1,1,1,1,1,2,1,1
4340,T09136Z,2,2,112,1,3,6,236,2
4341,T01015L,1,10,1,1,4,29,12,5
4342,T21367Q,1,1,1,1,5,2,1,1
4343,T04783E,1,3,1,1,6,13,3,2
4344,T10506A,1,1,1,1,2,1,1,1
4345,T04096O,1,1,1,1,1,1,1,1
4346,T21024W,1,1,1,2,1,1,2,3
4347,T05451R,5,4,51,3,8,5,75,6
4348,T20232Y,1,1,18,1,1,11,75,1
4349,T02565O,1,2,1,1,4,20,1,6
4350,T06294A,1,1,1,1,1,2,19,1
4351,T06575G,1,1,1,1,2,1,1,1
4352,T09090C,4,3,86,1,4,5,165,1
4353,T16099E,8,2,182,2,8,4,287,3
4354,T07736J,1,9,1,1,2,33,1,1
4355,T11209Y,2,1,1,1,3,6,1,1
4356,T11765V,1,1,1,1,3,3,1,2
4357,T11900K,6,7,5,3,7,12,5,3
4358,T10120M,4,2,65,1,4,4,116,2
4359,T10011I,1,2,31,1,2,13,89,1
4360,RL0015O,5,1,1,1,6,1,1,2
4361,T11056Z,5,1,1,1,13,3,1,2
4362,T10679U,1,1,1,1,1,2,1,1
4363,T10843O,1,2,1,2,1,6,1,4
4364,T08717K,1,3,1,3,1,3,1,4
4365,T11090B,3,6,1,1,8,17,1,1
4366,T19759D,1,1,1,1,1,1,1,1
4367,T11984E,4,2,1,2,4,2,1,3
4368,T03421D,1,1,1,1,1,8,1,1
4369,T21550N,1,2,1,1,1,3,1,1
4370,T05211D,3,2,1,1,6,8,1,7
4371,T18995J,1,6,1,1,1,25,5,1
4372,T06117K,1,1,1,1,1,2,1,1
4373,T05371S,1,1,2,1,1,2,10,1
4374,T04456S,1,1,1,1,1,1,1,1
4375,T00488K,1,17,1,1,1,47,2,1
4376,T14249S,4,1,1,1,4,2,1,3
4377,T06452W,1,1,1,2,1,2,13,2
4378,T00815F,1,8,1,2,3,30,3,2
4379,T03418I,1,5,1,2,3,18,1,2
4380,T03309E,1,4,1,1,1,7,37,1
4381,T19464R,1,1,1,1,1,2,1,2
4382,T04019B,1,1,1,1,1,2,1,1
4383,T02385M,3,8,1,1,5,21,1,1
4384,T08986D,3,2,1,1,7,15,1,1
4385,T08288K,4,5,1,1,5,11,1,1
4386,T19499C,4,3,1,1,6,16,1,1
4387,T17587T,3,1,16,1,9,1,74,1
