street_id,bldg_h_mean_50m,bldg_h_max_50m,bldg_h_mean_100m,bldg_h_max_100m
T07295F,14.0,33.0,13.0,33.0
T03668Y,14.352941176470589,24.0,14.881889763779528,30.0
T03553O,19.52173913043478,27.0,17.582089552238806,30.0
T02974B,12.517241379310345,18.0,12.214285714285714,18.0
T08785W,20.25,36.0,17.12121212121212,36.0
T11548O,12.0,12.0,11.930232558139535,12.0
T07035N,7.2,15.0,8.4,15.0
T03720L,16.8,24.0,16.5,30.0
T18144A,21.1875,33.0,21.73469387755102,33.0
T02555M,14.0,21.0,13.704545454545455,27.0
T11730K,7.0,15.0,6.319148936170213,15.0
T12522I,3.6,12.0,5.769230769230769,21.0
RD0072T,12.0,12.0,12.882352941176471,27.0
T09369O,12.0,12.0,12.0,12.0
T05691F,13.909090909090908,24.0,13.018867924528301,30.0
T00810A,19.956521739130434,33.0,18.358974358974358,33.0
T11517H,7.615384615384615,15.0,8.192307692307692,15.0
RL0020T,0.0,0.0,9.0,18.0
T13927D,19.8,24.0,17.571428571428573,36.0
T02463J,14.5,27.0,13.0,27.0
T09127Y,13.5,27.0,12.162162162162161,27.0
T17192E,14.4,21.0,16.4375,36.0
T16252V,11.052631578947368,12.0,11.035714285714286,12.0
T09095H,14.785714285714286,36.0,13.333333333333334,36.0
T16863Q,9.75,12.0,10.636363636363637,12.0
T15314O,20.0,33.0,20.94736842105263,33.0
T07920H,13.028571428571428,30.0,11.950819672131148,30.0
T20905Q,20.571428571428573,30.0,16.65,30.0
T07770L,11.964285714285714,24.0,12.518918918918919,24.0
T02044U,12.0,12.0,13.6875,30.0
T18461K,0.0,0.0,11.0,18.0
T17848V,13.25,18.0,13.097560975609756,21.0
T11815O,3.0,3.0,3.0,3.0
T11593T,10.411764705882353,12.0,10.333333333333334,12.0
T04618S,11.727272727272727,21.0,10.106796116504855,21.0
T20931S,8.142857142857142,12.0,9.48,15.0
T02677V,21.717391304347824,33.0,22.21212121212121,33.0
T18239G,11.538461538461538,21.0,13.5,21.0
T15788S,12.0,12.0,12.0,12.0
T10991Z,10.568181818181818,12.0,10.490384615384615,12.0
T17698Z,12.0,12.0,12.0,12.0
T20779C,12.0,12.0,11.0,12.0
T03556R,7.5,12.0,16.0,47.0
T00789U,16.918032786885245,24.0,16.73936170212766,30.0
T00953O,16.62162162162162,27.0,16.805825242718445,30.0
T01692Q,15.236842105263158,30.0,14.76923076923077,30.0
T04661V,11.75,36.0,10.974461538461538,36.0
T16686R,21.6,24.0,17.625,24.0
T10716I,23.8125,33.0,22.704545454545453,36.0
T14209K,27.0,45.0,24.25,45.0
T04147I,6.0,18.0,5.4,18.0
T07691N,12.333333333333334,21.0,12.798387096774194,27.0
T19817W,23.307692307692307,33.0,24.3,33.0
T19849E,20.352941176470587,22.0,19.68421052631579,22.0
T12499A,15.461538461538462,27.0,14.0,27.0
T19623O,0.0,0.0,4.0,12.0
T08701C,10.0,18.0,8.721649484536082,24.0
T07429B,13.333333333333334,27.0,15.413793103448276,57.0
T02470I,12.75,25.0,12.328125,25.0
T03628Q,15.607142857142858,30.0,16.234375,33.0
T14557B,18.352941176470587,39.0,16.928571428571427,39.0
T16002F,7.32,15.0,7.605633802816901,15.0
T08900H,19.741935483870968,33.0,17.147368421052633,33.0
T12291M,12.264705882352942,21.0,12.169811320754716,21.0
T11586U,11.25,12.0,10.11111111111111,12.0
T20498W,25.8,33.0,29.0,39.0
T04305E,13.928571428571429,24.0,13.789473684210526,27.0
T16021I,7.0,12.0,9.11111111111111,12.0
T07657L,24.4,36.0,18.51923076923077,36.0
T16988C,17.361702127659573,24.0,17.45098039215686,24.0
T03820O,16.285714285714285,30.0,10.826086956521738,30.0
T01586P,17.433962264150942,24.0,17.85276073619632,24.0
T04789K,7.5,21.0,7.340909090909091,21.0
T05483Z,17.25,42.0,16.3125,48.0
T12886H,4.666666666666667,6.0,5.478260869565218,12.0
T16597R,16.5,27.0,17.428571428571427,33.0
T04111W,12.75,27.0,9.5,27.0
T04453P,16.5,27.0,14.8828125,27.0
T19987N,6.666666666666667,12.0,6.8478260869565215,12.0
T20086G,6.409090909090909,21.0,5.222222222222222,21.0
T03318F,12.15,15.0,12.193548387096774,30.0
T06231L,8.05813953488372,27.0,8.3796992481203,27.0
T02608I,16.46153846153846,33.0,18.028846153846153,36.0
T03363K,13.973684210526315,36.0,13.818181818181818,36.0
T15977V,12.0,12.0,12.0,12.0
T07615B,23.0,51.0,22.48051948051948,51.0
T20936X,12.0,12.0,12.8,24.0
T17667S,27.692307692307693,51.0,26.46153846153846,54.0
T07499P,10.75,24.0,11.545454545454545,24.0
T19649Y,13.0,15.0,12.0,15.0
T04017Z,11.892857142857142,21.0,9.91304347826087,21.0
T03684Y,16.5,24.0,16.357894736842105,33.0
T09773W,12.9,21.0,8.909090909090908,21.0
T19742U,12.0,12.0,7.5,12.0
T18184I,17.210526315789473,48.0,15.721153846153847,48.0
T12317F,12.692307692307692,21.0,12.246575342465754,21.0
T16926O,17.55,21.0,17.095890410958905,27.0
T07475H,12.090909090909092,15.0,12.236842105263158,27.0
T03021R,12.0,12.0,11.5,12.0
T14882L,8.625,15.0,10.210526315789474,15.0
T04475V,17.1,33.0,15.6,33.0
T10448H,14.76923076923077,27.0,13.23076923076923,27.0
T07082U,19.071428571428573,45.0,24.583333333333332,45.0
T16042N,6.5,9.0,5.142857142857143,9.0
T07874S,12.516129032258064,27.0,12.495652173913044,30.0
T15383B,9.445945945945946,30.0,9.223684210526315,33.0
