street_id,osm_commercial_pct_50m,osm_green_pct_50m,osm_industrial_pct_50m,osm_other_pct_50m,osm_residential_pct_50m,osm_commercial_pct_100m,osm_green_pct_100m,osm_industrial_pct_100m,osm_other_pct_100m,osm_residential_pct_100m
T00954P,0.0,1.1333690261310387,0.0,0.0,100.00000000000003,0.0,2.743943630039156,0.0,0.0,92.17138271694238
T17527H,0.0,0.0,0.0,0.0,0.0,0.0,0.049240115844816856,0.0,0.0,0.0
T16362A,0.0,0.5494927396615756,0.0,0.0,20.47347072794668,0.0,1.7427778234188083,0.0,0.0,19.845611971586465
T11026T,0.0,14.651931573794979,0.0,0.0,0.0,0.0,12.48490513854579,0.0,0.0,0.0
T01155W,0.0,4.1854304250316625,0.0,0.0,99.99999999999997,0.0,1.4011681660523638,0.0,0.0,97.48658023753514
T17230T,0.0,7.575363275297799,0.0,0.0,94.85303712567581,0.0,29.595809325220614,0.0,0.0,84.56884480108118
T01946T,0.0,2.3697746710406777,0.0,0.0,0.0,0.0,3.4293215514502426,0.0,0.0,0.0
T07889Z,0.0,0.0,0.0,0.0,19.2692871497714,0.0,0.0,0.0,0.0,21.810289650697825
T10349F,0.0,0.0016227057582161853,0.0,0.0,0.0,0.0,4.824578409129302,0.0,0.0,0.0
T04856E,0.0,0.0,0.0,0.0,0.0,0.0,3.6692641154551633,0.0,0.0,0.0
T01430W,0.0,0.047458583474453524,0.0,0.0,98.30540820428101,0.0,6.976341471391829,0.0,0.0,99.34864198903777
T17265E,0.0,0.0,0.0,0.0,99.99999999999436,0.0,0.0,0.0,0.0,85.74875765753555
T02561K,0.0,0.522871607946838,0.0,0.0,0.0,0.0,5.753093145497068,0.0,0.0,0.0
T04729Y,0.0,0.0,0.0,0.0,0.0,0.3533115287061044,0.0,0.0,0.0,0.0
T01633F,0.0,15.567190797494575,0.0,0.0,39.878850917648755,0.0,5.003568406628696,0.0,0.1229391481275007,50.7528674938113
T17606F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T09207X,0.0,16.97259586806159,0.0,0.0,18.698966540713656,0.0,21.702877231857297,0.0,0.0,27.39055532289745
T12907V,0.0,61.14793512084149,0.0,0.0,0.0,0.0,66.01598748270871,0.0,0.0,0.0
T04597E,0.0,28.4702978987403,0.0,0.0,0.0,0.0,26.47947152267789,0.0,0.0,0.0
T08203P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T06595K,0.0,6.819618308248362,0.0,0.0,0.0,0.0,7.927500829478102,5.7251151266770925,0.0,0.0
T01915M,0.0,15.183166177596345,0.0,0.0,0.0,0.0,8.194101167737305,0.0,0.0,0.0
T08416A,0.0,75.64231375193616,0.0,0.0,0.0,0.0,86.7823263082005,0.0,0.0,0.0
T12083G,0.0,2.677158267357237,0.0,0.0,8.555582882816934,0.0,16.708619485077993,0.0,0.0,13.08075897359677
T13003U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T19295S,0.0,11.661061060585293,0.0,0.0,0.0,0.0,9.900728614341327,0.0,0.0,0.0
T11305X,0.0,0.5807614318678475,0.0,0.0,0.0,0.0,1.0300717728563646,0.0,0.0,0.0
T02656Q,7.359013857531319,3.7796885973363405,0.0,0.0,24.62159529919128,12.735712659710499,7.375191640847331,0.0,0.0,20.193856891465213
T01496O,0.0,0.0,0.0,0.0,99.99999999999999,0.0,0.0,0.0,0.0,100.00000000000009
T14865K,0.0,0.0,2.8014884610609982,0.0,0.0,0.0,0.0,6.503135318682139,0.0,0.0
T18074D,0.0,15.32845962219451,0.0,0.0,0.0,0.0,5.40052796582728,0.0,0.0,0.0
T09798F,0.0,0.0,0.0,0.0,0.0,0.0,0.5675737828297366,0.0,0.0,0.0
T15984U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T05334N,0.0,2.0643340851555156,0.0,0.0,0.0,0.0,5.0175830972037945,0.0,0.0,0.0
T15621W,0.0,0.0,0.0,0.0,94.95957551888249,0.0,0.0,0.0,0.0,74.46583997586367
T17971X,0.0,10.735917057567532,0.0,0.0,0.0,0.0,12.545178738964319,0.0,0.0,0.0
T01863R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T10276F,0.0,0.0,26.52745735153334,0.0,42.31033068332741,0.0,0.0,27.532395937499576,0.0,29.92956085653263
T21256K,0.0,71.63909986318365,0.0,0.0,0.0,0.0,68.70163335000467,0.0,0.0,0.0
T09532H,0.0,7.550531378506899,0.0,0.0,79.50171186577316,0.0,12.317418512577797,0.0,0.0,84.19046323789607
T05538X,0.0,91.88840257531274,0.0,0.0,0.0,0.0,87.84117974471111,0.0,0.0,0.0
T19562S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T03360H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T03707O,0.0,0.5263362335634871,0.0,0.0,94.11289512984895,0.0,7.093099349882197,0.0,0.0,95.65173386948632
T02977E,0.0,10.59801876940725,0.0,0.0,0.0,0.0,4.564369990108094,0.0,0.0,0.0
T13859I,0.0,42.01985480236024,0.0,0.0,57.980145197634755,0.0,47.05541340876908,0.0,0.0,52.47468201608362
T12035Y,0.0,0.0,0.0,0.0,0.0,0.0,0.7875594310849492,0.0,0.0,0.0
RD0129Y,0.0,0.004523772206876692,0.0,0.0,37.17700550674899,0.0,5.653009058733783,0.0,0.0,44.36207453823734
T08313U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T02155A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T07338Z,0.0,24.205732975135273,0.0,0.0,0.0,0.0,24.227160859039337,0.0,0.0,0.0
T20016S,0.0,0.0,0.0,0.0,99.99999999999996,0.0,4.473624188318313,0.0,0.0,90.91121211433972
T01346B,0.0,0.0,0.0,0.0,95.40808663048057,0.0,0.0,0.0,0.0,79.23920347273156
T20218A,0.0,23.74151396072445,0.0,0.0,0.0,0.0,22.443529668569873,0.0,0.0,0.0
T09490O,0.0,0.2644584325620426,21.20314559819567,0.0,0.0,0.0,2.2970370503154944,24.774910898105276,0.0,1.2325501141219395
T04836A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T03700H,0.0,38.90731639100144,0.0,0.0,83.04722361897781,0.0,57.18837979465163,0.12921857347452598,0.0,78.13196306165862
T16869W,0.0,8.612096455765226,0.0,0.0,0.0,0.0,2.8569248206084055,0.0,0.0,0.0
T12574U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T05832A,0.0,1.2940003212427067,0.0,0.0,82.54185927707192,0.0,3.08203658470802,0.0,0.0,72.55078908126468
T04793G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T06025H,0.0,0.0,0.0,0.0,0.0,0.0,1.28598386738823,0.0,0.0,0.0
T17868Z,0.0,0.0,0.0,0.0,55.889344875156276,0.0,4.105084311206867,0.0,0.0,50.172133517465646
T20171C,0.0,7.7729328138044105,0.0,0.0,100.00000000000003,0.0,7.914386951472364,0.0,0.0,99.58621560361664
T05043F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T20906R,65.27346796783401,16.65126220823055,0.0,0.0,12.494776816080808,47.71429746601119,26.084173243817943,0.0,0.0,22.594033606462784
T08793W,0.0,15.624966777883895,0.0,0.0,62.28791817600373,0.0,7.503124212538362,0.0,0.0,59.23952014569096
T21272K,0.0,6.535145120525625,0.0,0.0,0.0,0.0,8.304235031331562,3.2674343061831426,0.0,0.0
T20352F,0.0,13.231866406749646,0.0,0.0,0.0,0.0,14.973883727924592,0.0,0.0,0.0
T07990V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T01527E,0.0,7.945105016773639,0.0,0.0,100.00000000000453,0.0,2.861156583081894,0.0,0.0,100.00000000000205
T18597Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T02171A,0.0,0.16256974553800024,0.0,0.0,0.0,0.0,0.24527079823761117,0.0,0.0,0.0
T10206R,0.0,7.113917179026013,0.0,0.0,0.0,0.0,10.125807478998516,0.0,0.0,0.0
T00885T,0.0,0.0,0.0,0.0,85.96895596399816,0.0,0.0,0.0,0.0,83.9200445341789
T20930R,0.0,9.828838704063923,0.0,0.0,0.0,0.0,14.163581632253116,0.0,0.0,0.0
T05082M,0.0,4.914754942255917,0.0,0.0,0.0,0.0,1.9476258687415062,0.0,0.0,0.0
T02838U,0.0,0.0,0.0,0.0,0.0,0.0,0.49199978650504617,0.0,0.0,0.0
T12098N,0.0,0.0,0.0,0.0,0.0,0.0,4.6436018341090435,0.0,0.0,0.0
T02407B,15.9511067419484,0.07728342628115022,0.0,0.0,15.39200012439353,23.587483797832164,0.1154839539241787,0.0,0.0,11.521777400640264
T01783S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T01530Z,0.0,0.0,0.0,0.0,100.00000000000007,0.0,2.8596197883287604,0.0,0.0,100.00058224276509
T10897C,0.0,0.0,0.0,0.0,0.0,0.0,0.23713960273242185,0.0,0.0,0.0
T20369O,0.0,13.630779027784653,0.0,0.0,80.3991081755904,0.0,23.946864931265146,0.0,0.0,87.40871494646943
T19184M,0.0,0.0,0.0,0.0,20.341381892701442,0.0,0.2538152512954636,0.0,0.0,35.92768343304329
T19376S,0.0,3.8425940461297103,0.0,0.0,16.368833429937965,0.0,12.297704621138704,1.1615166097931304,0.0,40.71998137615434
T18622J,0.0,0.0,0.0,0.0,0.0,0.0,0.40121673656555573,0.0,0.0,0.0
T00271V,0.0,0.0,0.0,0.0,26.109310220377473,0.0,0.0,0.0,0.0,43.72093536786468
T10470F,0.0,0.0,0.0,0.0,0.0,0.0,2.3251499034707517,0.0,0.0,0.0
T09103Q,0.0,1.6217518176025538,0.0,0.0,0.0,1.3716134755437248,2.189940627255339,0.0,0.0,0.0
T08860Q,0.0,0.0,0.0,0.0,11.589391215991371,0.0,1.0145654110277682,0.0,0.0,20.01296401184673
T10372E,0.0,0.7564532675244388,0.0,0.0,0.0,0.0,3.757367230650567,0.0,0.0,0.0
T10680N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T20427H,0.0,59.804070546174856,0.0,0.0,0.0,0.0,38.40666436332541,0.0,0.0,0.0
T19924Y,0.0,9.649141847206959,12.455469500276278,0.0,4.821451110520254,0.0,6.321438490935022,6.280795557698476,0.0,7.180169814081731
T10740I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T07261V,0.0,10.284036960158272,0.0,0.0,0.0,0.0,8.899258203906687,0.0,0.0,0.0
T18813O,0.0,25.450879709677114,0.0,0.0,0.0,0.0,25.256679789911406,0.0,0.0,0.0
T12205Y,0.0,0.0,0.0,0.0,0.0,0.0,1.2047446134515924,0.0,0.0,0.0
T20069F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T00389I,0.0,0.0,0.0,0.0,100.00000000000003,0.0,0.0,0.0,0.0,99.99761840380971
T07531Y,0.0,3.156820059742263,0.0,0.0,0.0,0.0,2.1537928293811306,0.0,0.0,0.0
T16582K,0.0,0.0,0.0,0.0,99.95459821184667,0.0,0.0,0.0,0.0,89.3348496804313
