TRAM,fid,street_id,street_length_m,daytime_count_150m,nighttime_count_150m,continuous_count_150m,discontinuous_count_150m,transport_related_count_150m,noise_sensitive_count_150m,recreation_green_count_150m,support_infrastructure_count_150m,daytime_count_per_meter_150m,nighttime_count_per_meter_150m,continuous_count_per_meter_150m,discontinuous_count_per_meter_150m,transport_related_count_per_meter_150m,noise_sensitive_count_per_meter_150m,recreation_green_count_per_meter_150m,support_infrastructure_count_per_meter_150m
T05832A,109,T05832A,56.39056963559919,9,0,16,4,7,2,3,7,0.1596011542028887,0.0,0.2837353852495799,0.07093384631239498,0.12413423104669122,0.03546692315619749,0.05320038473429623,0.12413423104669122
T04793G,110,T04793G,44.85887900581709,14,7,26,16,2,4,4,10,0.3120898317183661,0.15604491585918304,0.5795954017626799,0.3566740933924184,0.0445842616740523,0.0891685233481046,0.0891685233481046,0.2229213083702615
T06025H,111,T06025H,100.62914871927819,7,0,9,3,5,6,5,0,0.06956234936983983,0.0,0.0894373063326512,0.02981243544421707,0.04968739240702845,0.05962487088843414,0.04968739240702845,0.0
T17868Z,112,T17868Z,30.10174176995141,2,1,11,2,1,3,7,9,0.06644133802238875,0.03322066901119437,0.36542735912313806,0.06644133802238875,0.03322066901119437,0.09966200703358312,0.2325446830783606,0.29898602110074934
T20171C,113,T20171C,56.634898178653074,62,11,131,64,19,4,9,70,1.0947313757751074,0.1942265344117126,2.313061455266759,1.1300452911226915,0.335482195802049,0.07062783069516822,0.15891261906412849,1.2359870371654438
T05043F,114,T05043F,77.38830479993935,19,4,22,12,2,1,7,4,0.2455151337029273,0.05168739656903733,0.2842806811297053,0.15506218970711197,0.025843698284518664,0.012921849142259332,0.09045294399581533,0.05168739656903733
T20906R,115,T20906R,134.5336229110225,3,0,4,3,11,1,5,1,0.022299258245532663,0.0,0.02973234432737688,0.022299258245532663,0.08176394690028642,0.00743308608184422,0.0371654304092211,0.00743308608184422
T08793W,116,T08793W,99.36817309419925,5,1,14,5,6,5,18,7,0.05031792217071446,0.01006358443414289,0.14089018207800047,0.05031792217071446,0.060381506604857346,0.05031792217071446,0.18114451981457202,0.07044509103900023
T21272K,117,T21272K,73.13287893415712,2,1,28,1,2,1,6,26,0.027347480765807633,0.013673740382903816,0.38286473072130683,0.013673740382903816,0.027347480765807633,0.013673740382903816,0.0820424422974229,0.3555172499554992
T20352F,118,T20352F,149.23704133632245,3,0,12,3,18,4,2,5,0.020102247894603877,0.0,0.08040899157841551,0.020102247894603877,0.12061348736762327,0.026802997192805173,0.013401498596402587,0.033503746491006466
T07990V,119,T07990V,16.603502610979703,17,6,22,18,6,2,13,6,1.0238803461119161,0.3613695339218527,1.3250216243801267,1.0841086017655581,0.3613695339218527,0.12045651130728424,0.7829673234973475,0.3613695339218527
T01527E,120,T01527E,52.581343502579976,51,12,53,60,15,1,9,4,0.9699257683953552,0.22821782785773062,1.0079620730383103,1.141089139288653,0.28527228482216327,0.019018152321477553,0.17116337089329797,0.07607260928591021
T18597Z,121,T18597Z,41.927074075605205,8,1,8,6,3,0,1,0,0.19080749554748228,0.023850936943435284,0.19080749554748228,0.14310562166061172,0.07155281083030586,0.0,0.023850936943435284,0.0
T02171A,122,T02171A,136.01456259459243,42,9,53,48,17,1,11,10,0.30879046477681943,0.06616938530931846,0.38966415793265313,0.3529033883163651,0.1249866166953793,0.007352153923257606,0.08087369315583366,0.07352153923257607
T10206R,123,T10206R,126.6465569497582,11,3,14,13,40,3,3,3,0.08685589458514688,0.023687971250494603,0.11054386583564149,0.10264787541880994,0.3158396166732614,0.023687971250494603,0.023687971250494603,0.023687971250494603
T00885T,124,T00885T,52.913647674962334,38,6,43,39,8,2,4,4,0.7181512080479916,0.11339229600757761,0.8126447880543063,0.7370499240492545,0.1511897280101035,0.037797432002525874,0.07559486400505175,0.07559486400505175
T20930R,125,T20930R,19.000998089386925,0,0,0,0,0,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6315457716246308,0.0
T05082M,126,T05082M,221.18431499739154,12,8,16,16,1,7,15,3,0.05425339495769181,0.03616892997179454,0.07233785994358909,0.07233785994358909,0.004521116246474318,0.031647813725320224,0.06781674369711477,0.013563348739422953
T02838U,127,T02838U,94.39899689432195,6,3,7,6,2,1,8,0,0.06355999743002456,0.03177999871501228,0.07415333033502866,0.06355999743002456,0.021186665810008186,0.010593332905004093,0.08474666324003274,0.0
T12098N,128,T12098N,77.41334565922485,10,7,18,14,9,2,19,6,0.12917669317665467,0.09042368522365828,0.23251804771797843,0.18084737044731655,0.11625902385898922,0.025835338635330937,0.24543571703564387,0.0775060159059928
T02407B,129,T02407B,183.58122048731974,28,0,61,26,18,1,26,36,0.1525210472273443,0.0,0.33227799574528577,0.14162668671110543,0.0980492446461499,0.005447180258119439,0.14162668671110543,0.1960984892922998
T01783S,130,T01783S,128.41810938090137,12,3,18,11,13,2,8,6,0.09344476458851111,0.02336119114712778,0.14016714688276669,0.08565770087280186,0.10123182830422038,0.01557412743141852,0.06229650972567408,0.04672238229425556
T01530Z,131,T01530Z,52.28573720790922,40,10,44,48,11,2,17,7,0.7650269870145243,0.19125674675363108,0.8415296857159767,0.9180323844174292,0.2103824214289942,0.038251349350726216,0.32513646948117286,0.13387972272754176
T10897C,132,T10897C,125.76186875777816,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.007951535786463508,0.0,0.007951535786463508,0.0
T20369O,133,T20369O,65.20031625199276,4,1,11,4,3,1,4,6,0.06134939567686139,0.015337348919215347,0.16871083811136883,0.06134939567686139,0.046012046757646044,0.015337348919215347,0.06134939567686139,0.09202409351529209
T19184M,134,T19184M,42.25790826860783,5,3,11,5,9,0,0,8,0.11832104817441602,0.07099262890464961,0.26030630598371524,0.11832104817441602,0.21297788671394885,0.0,0.0,0.18931367707906563
T19376S,135,T19376S,69.42916457176305,10,2,18,10,17,4,16,8,0.1440316913170379,0.02880633826340758,0.2592570443706682,0.1440316913170379,0.24485387523896443,0.05761267652681516,0.23045070610726065,0.11522535305363032
T18622J,136,T18622J,98.96320509850946,4,0,14,1,3,3,2,6,0.04041906278215565,0.0,0.14146671973754477,0.010104765695538913,0.03031429708661674,0.03031429708661674,0.020209531391077826,0.06062859417323348
T00271V,137,T00271V,81.61474493526596,56,12,91,62,13,1,7,40,0.6861505239576169,0.14703225513377505,1.1149946014311274,0.7596666515245044,0.15928494306158963,0.012252687927814587,0.08576881549470211,0.4901075171125835
