road_id,noise_day,noise_evening,noise_night,road_length,road_category,one_way
30227487_431107481_0,50 - 55 dB(A),50 - 55 dB(A),50 - 55 dB(A),205.32405370878521,living_street,0
30227487_431107481_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),205.32405370878521,living_street,0
30227468_30884331_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),152.91344846090777,residential,0
30227450_2327729212_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),63.357118187255494,living_street,0
30227391_30227390_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),61.94461758407215,residential,0
30227391_30227390_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),61.94461758407215,residential,0
30227391_30227402_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),99.18156168472875,residential,0
30227390_112398908_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),321.8621566628867,residential,0
30227233_30227154_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),37.38667000000888,residential,0
30227233_30227154_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),37.38667000000888,residential,0
30236715_30236773_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),55.93981013970701,residential,0
