fid,street_id,bldg_agriculture_pct_50m,bldg_industrial_pct_50m,bldg_office_pct_50m,bldg_public_services_pct_50m,bldg_residential_pct_50m,bldg_retail_pct_50m,bldg_unknown_pct_50m,bldg_agriculture_pct_100m,bldg_industrial_pct_100m,bldg_office_pct_100m,bldg_public_services_pct_100m,bldg_residential_pct_100m,bldg_retail_pct_100m,bldg_unknown_pct_100m
0,T04719W,0.0,0.0,0.0,1.8662687054174065,27.543660797027385,5.552876656716588,0.0,0.0,2.2706439780728163,0.0,6.241135860027829,26.091768247181964,3.0506009567291934,0.0
1,T19941Z,0.0,3.8709672203491587,0.0,0.0,44.69291598619123,0.0,0.5734643965583325,0.0,2.074381659583344,0.0,0.0,38.38082858111823,0.012141978367156097,0.19459711125510357
2,T18111R,0.0,0.0,2.792330129788012,0.0,8.694119283577132,0.0,8.888457034966697,0.0,0.0,0.9337664022556109,2.567258442862296,8.928992946959681,0.0,2.986842773926438
3,T03222Y,0.0,0.0,0.7059737133274885,0.0,37.87747073438507,6.34401422853303,0.0,0.0,0.0,0.898726178036695,0.8614555543494665,32.73800501257862,2.341251013321828,0.0
4,T17625I,0.0,0.0,0.0,0.0,8.154330677379413,0.0,0.0,0.0,0.0,0.3151343351289472,0.0,16.13511312101527,0.0,0.0
5,T05360P,0.0,1.7569274588542338,0.0,11.004138553258352,18.624493221648336,0.0,0.0,0.0,0.6013633518431112,0.0,11.510532174379051,17.608901023375633,0.0,0.0
6,T08863T,0.0,0.4646954108933834,0.0,2.1993714270783262,52.32004666637587,0.09140679088664952,0.0,0.0,0.44655549729526506,0.0,1.2973249988832247,51.377758093542205,1.2633449288067604,0.17930638752761738
7,T00236S,0.0,0.0,0.0,4.642395273046492,41.378447018890874,4.320075651622606,6.259610714976333,0.0,0.0,0.0,3.269047739218035,32.01734926862806,2.845946479779067,14.00857963075931
8,T13009A,0.0,0.0,0.0,0.0,19.097135915157985,0.0,0.0,0.0,0.0,0.0,0.30556881363579214,22.020565260289306,0.0016212878259575607,0.0
9,T11921P,0.0,0.0,0.0,0.8115683013194286,43.78889472802269,0.6589885972426187,0.0,0.0,0.0,0.0,3.13913961300737,50.09511103039258,0.21119568835600466,0.0
10,T16868V,0.0,0.0,0.0,0.0,18.056803178884262,0.0,0.0,0.0,0.035433130041023934,0.0,3.3962426009899747,14.036540818052497,0.0,0.0
11,T02762R,0.0,0.0,0.0,0.0,50.46742655917069,2.846950346981077,0.0,0.0,0.0,0.0,2.5145451370239003,49.55232028108335,2.1040701019005783,0.0
12,T04571U,0.0,0.0,0.0,0.0,29.429834854073633,0.7575989671382533,0.0,0.0,0.0,0.0,2.161782517581756,35.659055427496185,0.260421739788515,0.0
13,T08170X,0.0,0.0,0.0,0.0,63.75377376001721,0.0,0.0,0.0,0.0,0.3133440904065196,0.0,61.70367472810767,5.991216591360579,0.1812620015002705
14,T07536D,0.0,0.16518165823486375,0.0,0.0,31.01471814361566,0.0,0.0,0.0,0.05197598476559553,0.0,0.0,24.842604537962686,0.0,0.0
15,T01076Y,0.0,0.0,0.6160509214682997,15.088951163418225,31.094912366171908,15.338271560828865,0.0,0.0,0.0,0.8348961280830323,9.912448593615377,35.47069056574718,16.390383878955646,0.0
16,T21401B,0.0,0.0,0.0,0.0,17.1211983580777,0.0,0.0,0.0,0.0,0.0,2.812653526276334,15.828056300993367,0.0,0.0
17,T20087H,0.0,0.0,0.0,0.0,17.71060253984156,0.0,0.2538178833838982,0.0,0.0,0.0,0.04764497831623058,12.747569255273358,0.0,0.09327429496174182
18,T00497L,0.0,0.0,0.0,5.030637400274603,49.596283845809346,4.267071569165356,0.0,0.0,0.0,0.0,11.579068883838014,50.16719564779749,3.2155819243824895,0.0
19,T02457L,0.0,0.0,3.0597990769190697,0.69723930924354,43.87257593253269,0.0,0.0,0.0,3.580514728392726,1.2914247579437033,1.2445646910655788,50.297375298872026,0.0,0.0
20,T10161V,0.0,11.53212712683909,14.431102044760829,0.0012642093201632,4.525826763698723,4.604247231094413,8.409216344963887,0.0,7.671563972524824,17.910104273242,2.214406283962406,6.138703841813221,10.158781110373564,6.082786703329872
21,T20348J,0.0,0.0,0.0,3.309387572266543,0.0,0.0,0.0,0.0,0.0,0.0,9.99470567358985,0.0,0.0,0.0
22,T07895X,0.0,0.8550901600343191,2.1091097488158512,6.3096561838500955,54.45611844519047,3.4909399962081116,0.0,0.0,0.2957322352222296,4.327867093169624,6.236478323676408,54.12940857727706,1.842957933653971,0.0
23,T08413X,0.0,0.13072291699040778,2.9414728660577665,0.0,66.25425570554833,0.0726349787935881,0.0,0.0,0.10886389167003166,1.957857039560195,1.4724409596951749,59.96266212485731,0.9081889931306129,0.0
24,T15540W,0.0,0.16560708947854208,0.0,0.0,55.50047358656322,18.967052771950186,0.48845051717076765,0.0,0.1558455978071409,0.6534053019042866,0.0,57.694342818070524,8.282121456980072,0.4077536941181946
25,T06230K,0.0,0.0,0.0,3.7869023351906006,46.58772333064995,9.373558273036329,0.0,0.0,0.0,0.0,2.4781464378897673,52.18136834525724,3.3823413290851194,0.0
26,T02118V,0.0,0.0,4.960756509867684,2.3962073554219656,42.26231162006622,0.0,0.0,0.0,0.7054592747902653,3.722063851708479,4.6864557394427795,46.78035551898169,0.4641019823150269,0.0
27,T08980X,0.0,0.0,0.0,0.0,41.130247219770446,2.1748337489880245,2.216613846149613,0.0,0.36966686084043476,0.0,0.0,49.660509031249575,1.1870449035172568,1.2681035714429862
28,T14659G,0.0,0.0,2.187450308646411,1.8017008168158881,32.43792959614418,0.0,0.0,0.0,0.0,3.0397741640630147,7.246334273516286,35.210379249133695,4.497825428990513,0.21461616748834775
