fid,street_id,noise_day,noise_evening,noise_night,slope_pct
65,T17606F,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),1.0958815014874574
66,T09207X,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.36233461362325237
67,T12907V,45 - 50 dB(A),40 - 45 dB(A),< 40 dB(A),5.754569667670195
68,T04597E,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),4.554858813897969
69,T08203P,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.46547739154688356
70,T06595K,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.4311601377234082
71,T01915M,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.526154098969423
72,T08416A,50 - 55 dB(A),45 - 50 dB(A),< 40 dB(A),21.47287920587938
73,T12083G,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.620077603089376
74,T13003U,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),6.0160629772831005
75,T19295S,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),1.0251431528610255
76,T11305X,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),1.4283189910103165
77,T02656Q,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.6266099091191268
78,T01496O,50 - 55 dB(A),45 - 50 dB(A),< 40 dB(A),2.7515456920227965
79,T14865K,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.10567589989187778
80,T18074D,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),8.309652719431503
81,T09798F,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),0.6599500224295279
82,T15984U,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),9.517658166174115
83,T05334N,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A),4.2550603982179895
84,T15621W,45 - 50 dB(A),45 - 50 dB(A),45 - 50 dB(A),0.9902536185957467
85,T17971X,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),6.918884173895531
86,T01863R,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),0.43300398331897144
87,T10276F,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.8158278642008049
88,T21256K,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),8.659488942851276
89,T09532H,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.15347036918957718
90,T05538X,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),4.58726602036552
91,T19562S,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),3.157904429181878
92,T03360H,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.05612154212853009
93,T03707O,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.5998122882590097
94,T02977E,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.6980570080701606
95,T13859I,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),8.972298615869203
96,T12035Y,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),7.097436881625212
97,RD0129Y,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),7.2342926571935555
98,T08313U,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),2.568891364489507
99,T02155A,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A),0.6032628581278282
100,T07338Z,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.8453304238364595
101,T20016S,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),3.899158398511666
102,T01346B,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.559522427318823
103,T20218A,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.24027748381826422
104,T09490O,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.7802350672916449
105,T04836A,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A),5.905473722987778
106,T03700H,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.5209448809918739
107,T16869W,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),10.63842948541238
108,T12574U,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A),5.013634179097825
109,T05832A,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A),1.0817422386286217
110,T04793G,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),4.0571671320369145
111,T06025H,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),1.2620602220401864
112,T17868Z,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),8.471280735998183
113,T20171C,55 - 60 dB(A),50 - 55 dB(A),40 - 45 dB(A),0.6179941921422034
114,T05043F,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.563542563182757
115,T20906R,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A),0.07433114436817372
116,T08793W,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),1.0566765575326436
117,T21272K,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.3828643655930465
118,T20352F,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.10050970579321787
119,T07990V,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),4.035282100671038
120,T01527E,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),1.2742163506359834
121,T18597Z,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),5.62882257439639
122,T02171A,70 - 75 dB(A),65 - 70 dB(A),65 - 70 dB(A),2.6614789349244923
123,T10206R,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.331631469493469
124,T00885T,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.43466960291448453
125,T20930R,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.9998800153730109
