fid,street_id,road_category,signal_count_50m,poi_count_50m,tree_count_50m,transport_count_50m,signal_count_100m,poi_count_100m,tree_count_100m,transport_count_100m,noise_day,noise_evening,noise_night
841,T03667X,residential,5,24,11,2,14,51,32,5,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
842,T12969J,track,1,1,1,1,1,1,1,1,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
843,T02127W,living_street,4,1,1,1,7,3,42,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
844,T02004M,residential,3,6,4,1,4,13,6,1,75 - 80 dB(A),70 - 75 dB(A),65 - 70 dB(A)
845,T07281Z,living_street,6,4,1,1,8,16,1,3,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
846,T00138R,residential,1,3,8,1,1,12,61,3,45 - 50 dB(A),40 - 45 dB(A),40 - 45 dB(A)
847,T07460A,living_street,1,5,1,1,2,15,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
848,T20353G,pedestrian,1,2,1,1,1,2,1,1,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
849,T04650S,residential,1,1,1,1,1,2,3,2,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
850,T11395P,living_street,4,5,27,1,5,9,30,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
851,T16373D,primary,2,1,112,4,4,2,275,8,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
852,T04771A,residential,1,1,1,1,3,1,1,3,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
853,T14521P,tertiary,1,1,1,1,8,1,1,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
854,T01815J,tertiary,1,12,33,1,1,17,74,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
855,T07560D,residential,1,1,1,2,8,1,1,6,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
856,T14208J,tertiary,4,1,1,1,5,1,16,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
857,T15532W,residential,1,1,1,1,1,1,1,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
858,T05677H,residential,1,1,1,2,5,2,4,3,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
859,T04580V,residential,1,1,1,1,1,1,1,2,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
860,T12855A,residential,1,1,1,1,1,1,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
861,T08253Z,living_street,3,6,2,1,10,15,9,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
862,T01932N,secondary,3,19,22,1,3,36,65,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
863,T07047R,tertiary,2,1,1,1,3,1,1,2,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
864,T11693W,secondary,6,3,1,3,8,6,1,3,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
865,T08497R,residential,1,4,1,1,5,8,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
866,T05625V,tertiary,1,1,1,1,1,1,1,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
867,T02503A,secondary,4,12,1,1,5,21,34,1,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
868,T17785X,tertiary,1,1,1,1,1,1,1,3,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
869,T16103J,residential,1,1,1,1,1,1,1,1,40 - 45 dB(A),40 - 45 dB(A),< 40 dB(A)
870,T16730E,residential,1,1,1,1,1,1,1,1,55 - 60 dB(A),55 - 60 dB(A),55 - 60 dB(A)
871,T18260D,secondary,2,1,103,1,2,3,118,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
872,T02810I,pedestrian,1,3,1,1,1,9,1,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
873,T08291F,residential,1,4,5,1,1,16,13,2,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
874,T18222X,pedestrian,1,1,17,1,3,2,107,1,< 40 dB(A),< 40 dB(A),< 40 dB(A)
875,T01225T,residential,1,7,1,1,1,22,1,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
876,T20948B,tertiary,1,1,1,1,5,1,1,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
877,RD0065M,trunk,6,1,36,1,9,2,63,4,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
878,T04544R,tertiary,7,3,1,5,14,4,1,8,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
879,T00772L,pedestrian,1,7,1,1,2,11,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
880,T07137S,residential,1,6,1,1,1,15,1,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
881,T00447B,pedestrian,1,16,1,1,1,45,1,1,55 - 60 dB(A),55 - 60 dB(A),55 - 60 dB(A)
882,T02588V,secondary,5,13,125,1,8,38,161,2,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A)
883,T01429D,pedestrian,1,7,5,1,1,19,14,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
884,T19367R,living_street,3,2,23,1,5,10,62,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
885,T05552V,residential,2,2,30,1,2,2,145,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
886,T05495D,residential,1,1,1,1,1,1,44,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
887,T01256A,pedestrian,1,4,2,1,1,25,2,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
888,T19559X,pedestrian,2,1,15,1,3,3,75,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
889,T19504I,residential,1,3,1,1,1,5,1,1,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A)
890,T12532K,living_street,1,1,1,1,1,1,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
891,T20902N,secondary,1,1,1,1,3,1,2,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
892,T03401Z,residential,1,1,1,1,1,4,1,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
893,T17276H,pedestrian,2,1,2,1,6,4,11,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
894,T10135T,residential,5,1,103,1,5,1,228,1,55 - 60 dB(A),50 - 55 dB(A),50 - 55 dB(A)
895,RL0001A,trunk,3,1,2,1,10,3,2,1,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
896,T20304X,residential,3,3,68,1,6,14,176,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
897,T16038R,residential,1,1,1,4,1,1,1,10,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
898,T03597A,residential,1,1,1,1,1,1,1,1,45 - 50 dB(A),40 - 45 dB(A),< 40 dB(A)
899,T20912P,residential,1,1,1,1,1,1,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
900,T19589D,residential,1,1,1,1,1,1,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
901,T00662G,living_street,1,10,2,1,1,29,24,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
902,T03274K,living_street,4,4,5,3,5,11,48,5,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
903,T17386M,residential,1,6,1,1,3,12,1,3,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
904,T08435D,residential,2,3,1,1,6,6,2,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
905,T12694B,residential,1,1,1,1,2,1,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
906,T11196K,living_street,1,1,1,1,1,3,1,6,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
907,T17727N,tertiary,3,1,36,1,8,1,148,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
908,T05770D,residential,1,7,1,1,2,13,1,3,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
909,T01000E,pedestrian,1,2,7,1,1,9,31,1,55 - 60 dB(A),50 - 55 dB(A),< 40 dB(A)
910,T06668K,pedestrian,1,1,1,1,2,1,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
911,T08265D,residential,3,4,1,1,5,8,1,1,65 - 70 dB(A),65 - 70 dB(A),55 - 60 dB(A)
912,T03241B,living_street,1,8,1,1,1,24,1,10,65 - 70 dB(A),65 - 70 dB(A),55 - 60 dB(A)
913,T04735W,tertiary,2,1,6,1,3,2,28,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
914,T16816J,residential,1,1,1,1,1,1,1,1,55 - 60 dB(A),55 - 60 dB(A),55 - 60 dB(A)
915,T15577J,residential,1,1,1,1,1,1,1,3,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
916,T09816Q,pedestrian,1,1,1,1,2,2,1,2,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
917,T02082A,residential,2,7,1,1,2,12,2,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
918,T00066S,residential,1,8,9,1,1,26,16,1,50 - 55 dB(A),50 - 55 dB(A),< 40 dB(A)
919,T06400K,residential,1,1,6,1,8,5,19,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
920,T02921O,residential,1,1,24,1,1,4,76,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
921,T02221T,secondary,12,10,46,1,16,24,91,4,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
922,T02827R,living_street,1,8,26,1,1,17,113,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
923,T18455M,residential,1,1,1,1,1,1,24,1,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
924,T11227A,residential,3,8,1,2,8,12,1,4,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
925,T04109C,residential,1,1,1,2,1,1,1,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
926,T11366K,living_street,3,2,1,1,7,9,5,3,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
927,T14751B,tertiary,3,1,3,1,6,1,18,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
928,T03087J,residential,1,2,1,1,1,12,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
929,T18936Y,living_street,5,1,14,1,5,4,14,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
930,T00528B,living_street,1,21,1,1,3,51,5,1,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A)
931,T20274I,residential,1,1,1,1,1,1,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
932,T13820T,residential,1,1,1,1,1,1,1,1,< 40 dB(A),< 40 dB(A),< 40 dB(A)
933,T03193K,residential,4,7,1,1,13,20,1,6,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A)
934,T09441F,tertiary,2,1,1,1,4,3,1,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
935,T07791Q,residential,2,9,1,1,3,22,6,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
936,T11633K,track,1,1,1,1,1,1,1,4,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
937,T19864D,pedestrian,1,3,1,1,1,20,9,1,50 - 55 dB(A),55 - 60 dB(A),60 - 65 dB(A)
938,T21145E,tertiary,6,5,6,7,8,16,16,9,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
939,T03655T,residential,1,3,8,1,1,19,15,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
940,T03288Q,residential,4,2,48,1,8,7,85,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
941,T06931G,living_street,1,1,1,1,4,1,1,5,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
942,T02780T,residential,1,3,1,1,1,11,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
943,T20572P,residential,1,1,43,2,4,5,99,5,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
944,T01635H,living_street,1,5,1,1,6,26,1,2,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A)
945,T19237I,residential,3,1,1,1,4,7,8,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
946,T18706M,tertiary,1,3,1,1,3,8,1,2,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
947,T10110K,tertiary,6,3,69,1,6,7,118,1,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
948,T19797J,residential,1,1,11,1,1,19,12,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
949,T19035A,tertiary,2,15,137,1,8,21,300,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
950,T03646S,living_street,3,13,1,1,4,30,1,1,55 - 60 dB(A),55 - 60 dB(A),60 - 65 dB(A)
951,T18926W,tertiary,1,2,1,1,2,3,19,4,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
952,T03686A,living_street,2,16,1,1,11,37,29,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
953,T20461J,residential,5,1,1,1,12,2,1,3,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
954,T16404T,residential,3,1,63,1,3,1,186,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
955,T01678S,living_street,3,5,87,1,3,10,139,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
956,T20264G,living_street,3,1,63,1,4,4,217,1,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A)
957,T10687U,primary,2,1,1,1,2,2,1,6,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
958,T00318T,pedestrian,1,15,1,1,10,41,1,2,55 - 60 dB(A),55 - 60 dB(A),60 - 65 dB(A)
959,T01367G,residential,1,4,1,1,1,20,9,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
960,T15801Y,residential,9,1,1,1,9,1,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
961,T02764T,living_street,1,2,1,1,1,10,1,1,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A)
962,T19591X,living_street,1,1,1,1,1,1,1,1,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
963,T03362J,residential,1,1,1,1,1,5,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
964,T00779S,pedestrian,1,7,5,1,1,15,19,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
965,T17659S,tertiary,2,1,25,1,2,6,55,2,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
966,T19507L,residential,1,1,1,1,1,6,1,2,50 - 55 dB(A),45 - 50 dB(A),55 - 60 dB(A)
967,T21348N,residential,1,2,2,1,3,6,8,7,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
968,T11851S,residential,1,1,1,1,1,1,2,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
969,T09428I,living_street,2,1,1,1,2,1,40,3,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
970,T12264J,residential,3,1,30,2,8,3,75,8,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
971,T04125C,tertiary,1,1,1,1,1,1,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
972,T07066U,residential,2,1,3,8,4,2,21,9,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
973,T04809X,residential,1,1,1,2,1,2,1,2,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
974,T06101C,residential,1,1,1,1,5,2,1,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
975,T18608L,residential,1,1,1,1,1,1,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
976,T05418Q,living_street,1,1,1,1,1,1,1,1,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
977,T07494K,residential,1,9,1,1,1,14,1,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
978,T08862S,residential,1,1,1,1,2,1,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
979,T02591Q,secondary,2,9,27,1,3,19,55,1,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
980,T19337L,tertiary,3,3,17,3,7,3,31,5,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
981,T10391H,residential,2,3,17,1,7,10,46,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
982,T11687Y,track,2,2,1,1,6,3,1,4,45 - 50 dB(A),40 - 45 dB(A),< 40 dB(A)
983,T05763E,living_street,2,1,37,2,6,4,190,10,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
984,T01558L,residential,1,13,1,1,1,29,1,1,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
985,T13949J,residential,7,4,12,1,15,20,14,1,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
986,T06189A,residential,1,1,1,1,1,1,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
987,T02394N,tertiary,14,13,20,2,15,48,43,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
988,T01112L,living_street,1,1,1,1,1,11,1,2,55 - 60 dB(A),50 - 55 dB(A),55 - 60 dB(A)
989,T10203O,residential,3,2,39,1,4,2,76,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
990,T15947P,residential,1,1,1,1,1,1,1,1,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
991,T07488M,residential,1,4,1,1,1,17,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
992,T09094G,residential,4,1,66,2,4,1,134,2,65 - 70 dB(A),55 - 60 dB(A),55 - 60 dB(A)
993,T09942V,tertiary,2,1,92,2,8,3,249,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
994,T13620N,residential,1,1,1,1,1,1,1,2,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
995,T19651S,residential,3,2,1,2,5,2,1,7,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
996,P70791,pedestrian,1,6,1,1,1,17,1,9,60 - 65 dB(A),60 - 65 dB(A),< 40 dB(A)
997,T01820G,residential,6,1,1,1,12,2,9,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
998,T09277L,residential,2,1,1,1,9,3,1,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
999,T03455N,primary,10,6,66,2,18,11,129,4,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
1000,T05579G,residential,1,1,27,1,1,2,61,6,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1001,T02042S,living_street,2,17,66,3,2,28,112,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
1002,T12562Q,residential,1,1,1,1,1,1,1,3,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
1003,T21010Q,pedestrian,1,3,1,1,5,9,43,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
1004,T11447K,secondary,3,1,1,5,3,1,1,6,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1005,T09695Z,residential,2,1,16,1,2,3,129,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
1006,T14895Q,residential,10,1,1,3,12,2,1,5,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
1007,T09188L,tertiary,1,10,6,1,12,40,109,1,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A)
1008,T19020T,primary,13,13,18,2,14,27,38,5,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1009,T04100T,residential,1,1,1,1,1,1,1,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1010,T11822N,residential,1,1,1,2,1,1,1,4,45 - 50 dB(A),40 - 45 dB(A),< 40 dB(A)
1011,T04700L,residential,3,1,1,1,4,2,3,2,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1012,T19282N,tertiary,3,3,1,1,5,17,1,1,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
1013,T18377P,residential,1,1,1,3,2,1,1,8,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
1014,T10544G,residential,1,1,1,1,1,3,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
1015,T08144V,living_street,1,4,1,1,1,12,7,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1016,T01183A,tertiary,1,1,4,3,4,7,23,8,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1017,T17374I,residential,1,1,1,1,1,1,1,1,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
1018,T11249G,living_street,2,1,1,1,6,4,1,4,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
1019,T13628V,residential,1,1,17,1,3,5,18,4,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
1020,T11539N,living_street,1,1,1,1,4,2,2,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
1021,T10414X,residential,1,2,3,1,2,8,28,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1022,T09981C,tertiary,3,4,1,1,6,17,59,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
1023,T03515I,residential,1,1,1,1,1,2,14,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1024,T17529J,living_street,1,2,1,1,1,2,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1025,T19863C,pedestrian,1,1,1,1,3,1,1,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
1026,T05118H,residential,4,1,1,2,5,3,1,4,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1027,T18514G,residential,1,1,47,1,5,5,147,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1028,T00252S,tertiary,11,3,1,2,24,28,1,5,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
1029,RD0122R,trunk,1,1,1,1,7,1,1,1,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
1030,T04638W,residential,2,1,1,3,2,1,1,5,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
1031,T03709Q,residential,9,1,1,1,9,8,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
1032,T18627O,residential,1,7,1,1,3,8,1,4,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1033,T09751Q,residential,1,1,1,1,1,5,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
1034,T01600W,residential,1,8,1,1,1,34,1,1,50 - 55 dB(A),45 - 50 dB(A),50 - 55 dB(A)
1035,T21009X,residential,3,6,1,1,6,7,73,2,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
1036,T16045Q,residential,1,1,1,1,1,1,1,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
1037,T10393J,residential,2,8,10,1,5,16,21,1,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A)
1038,T17163Z,pedestrian,1,12,1,1,2,38,2,1,50 - 55 dB(A),50 - 55 dB(A),55 - 60 dB(A)
1039,T04018A,residential,12,3,1,3,12,4,1,5,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1040,T20639R,residential,1,1,1,1,1,1,1,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
1041,T11018T,tertiary,4,4,1,2,6,12,1,4,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1042,T20217Z,secondary,8,1,1,2,13,1,1,4,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
1043,T09181E,pedestrian,2,12,65,1,6,25,142,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
1044,T07824I,residential,3,9,1,1,5,24,1,4,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
1045,T17193F,residential,1,1,1,6,1,1,1,11,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
1046,T07339A,residential,1,2,1,1,1,7,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1047,T00359C,pedestrian,1,7,1,1,3,24,1,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
1048,T07036O,living_street,1,1,1,1,1,1,1,3,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
1049,T11827S,residential,1,1,1,4,1,1,1,4,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
1050,T09518J,living_street,1,2,31,1,1,4,86,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
1051,T19594A,residential,1,1,1,1,1,2,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
1052,T02023P,living_street,1,4,7,2,1,11,9,6,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
1053,T17809O,primary,3,10,1,1,3,18,1,1,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
1054,T11973B,residential,1,1,1,1,1,1,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
1055,T00145Q,residential,1,6,2,1,1,17,34,2,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
1056,T17685U,living_street,1,1,1,1,10,1,1,2,40 - 45 dB(A),40 - 45 dB(A),< 40 dB(A)
1057,T16449G,residential,5,3,132,1,9,13,254,2,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
1058,T17933R,tertiary,5,1,28,1,8,1,78,3,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1059,T08181A,residential,3,12,1,1,5,42,1,2,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A)
1060,T08118T,living_street,5,14,1,1,13,45,14,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
1061,T17301R,residential,1,1,1,1,1,1,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
1062,T00569K,residential,4,1,115,1,7,6,284,2,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1063,T01129U,secondary,1,8,1,2,2,19,1,3,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
1064,T19286R,secondary,2,1,1,1,7,9,1,7,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
1065,T06347W,living_street,1,1,2,1,1,2,2,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
1066,T11780U,living_street,1,1,1,2,1,1,1,4,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
1067,T13973J,secondary,3,2,5,2,5,7,6,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
