fid,street_id,noise_day,noise_evening,noise_night,commercial_pct_50m,green_pct_50m,industrial_pct_50m,recreational_pct_50m,residential_pct_50m,commercial_pct_100m,green_pct_100m,industrial_pct_100m,recreational_pct_100m,residential_pct_100m
0,T04719W,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.0,0.0,0.0,24.722236080957785,36.130136683981654,0.0,2.2154181010989014,0.1842303135123976,24.465891824570736,41.263371494928734
1,T19941Z,45 - 50 dB(A),45 - 50 dB(A),< 40 dB(A),0.0,30.721298772902493,0.0,13.0918718337102,38.20494371620037,0.0,17.10383114745568,0.0,14.549478276874694,39.35073541848163
2,T18111R,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,17.325855165808772,0.0,5.252444007525023,46.989258950046256,0.0,19.671078264711234,0.1622943579816619,22.254778878385174,37.257616602950435
3,T03222Y,60 - 65 dB(A),55 - 60 dB(A),60 - 65 dB(A),0.0,13.772162282119787,0.0,0.0,55.9231400528303,0.0,25.261810283621568,0.0,0.0,44.508483648008706
4,T17625I,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,0.0,0.0,0.0,38.761534107685776,0.0,0.3769389920702057,0.0,0.0,50.40458903963175
5,T05360P,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,0.0,4.299892442145612,17.12045520234265,59.38120546228159,0.0,0.0,3.05304141795482,21.69145891226335,55.21477700534414
6,T08863T,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.0,0.0,0.0,0.0,60.24955531660103,0.0,2.966376258341267,0.8727120055851143,2.157991902170039,62.13446811029245
7,T00236S,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),0.0,6.33224778428935,0.567755545220669,8.379009909584267,44.00336695981093,0.0,14.859117491233967,6.22812429494216,7.812867193174204,33.84785979958122
8,T13009A,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,0.027654657140880397,0.0,0.0,88.32414172517036,0.0,7.262873083065173,0.06375493887159339,0.9203318731062329,78.33989919824587
9,T11921P,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,17.63477651102419,0.0,0.0,50.9353514019754,0.0,9.513814076640266,0.0,5.822406959566077,57.494330614805136
10,T16868V,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),0.0,2.6553717146587363,4.4110362212502885,0.40900049573664654,71.62119486007748,0.0,1.3395446849396353,3.3477025002697616,7.018820437455832,66.8559115651867
11,T02762R,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,0.0,11.77604586335024,0.0,55.57842845849619,0.0,0.0,7.882522993528614,4.426412265890537,57.14195893022036
12,T04571U,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.0,0.0,0.0,34.80219432031926,48.30460580633461,0.0,0.0,0.9546850404212424,24.740659744015893,55.45153785736285
13,T08170X,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.0,0.0,0.0,0.0,66.89303254868099,0.0,0.0,0.0,2.0116948333979607,71.68459857987934
14,T07536D,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),0.0,0.0,7.275893148052279,0.0,69.96414207662322,0.0,1.8164111670657241,7.809016002943912,2.260798085778326,65.54414865702842
15,T01076Y,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A),0.0,1.1612474812691875,6.337269631671388,14.933842452413309,55.06178426143348,0.0,6.956680865650373,4.744959279226023,12.40463878736968,55.72656416364651
16,T21401B,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.0,14.614133290304748,6.05420736886058,6.061346183933511,23.923834372314836,0.0,21.913945746256054,14.308076940455441,5.715723763107458,26.795723765937506
17,T20087H,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,12.353881826427163,0.587823342016214,0.0,42.428726037429016,0.0,19.68068193935249,10.017620256430066,1.61646569858254,29.71423879568395
18,T00497L,50 - 55 dB(A),50 - 55 dB(A),55 - 60 dB(A),0.0,9.248349586935174,0.0,14.825576476921956,58.65402417954858,0.0,3.883311495450544,0.06842479224430938,19.811706228844685,53.40507428232656
19,T02457L,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,10.296421859269197,0.0,0.0,49.2074091674597,0.0,10.744012577773358,0.0,0.7531168854558377,63.47471960732879
20,T10161V,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A),57.41332239630802,0.0,0.0,0.025569691234405834,2.1241546634346298,63.844966953478796,3.0692159389752045,0.0,2.0736278952377787,2.2380987450879775
21,T20348J,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,99.99999999998653,0.0,0.0,0.0,0.0,100.00000000000091,0.0,0.0,0.0
22,T07895X,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A),0.0,2.1089935386645644,0.0,7.12104551747811,71.62000290531213,0.0,6.731792706017904,0.0,7.946956000620433,65.84413461003432
23,T08413X,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,0.0,0.0,1.2782706725655215,80.55659890395617,0.0,1.354052702570223,0.0,2.8177880562001016,76.49811507875012
24,T15540W,50 - 55 dB(A),50 - 55 dB(A),40 - 45 dB(A),0.0,0.0,0.0,16.790005911170496,66.1995435087703,0.0,0.27499967933054104,0.0,5.953974595621661,68.30151800601527
25,T06230K,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.0,5.684575777997388,0.0,10.205389736520175,58.88770229059218,0.0,1.9358788553523396,0.21890036922620765,6.407164442000465,65.79848615255365
26,T02118V,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.0,0.0,0.0,1.3283836077608966,54.55963111112118,0.0,4.120184202690229,0.0,6.941218823456453,59.87081147909541
27,T08980X,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.0,4.346164368325598,0.0,0.0,55.25123215081129,0.0,2.25275375253651,0.0,0.0,65.31027457295924
28,T14659G,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A),0.0,32.30735358976006,0.0,4.945639285375505,37.627849184665806,0.0,21.526013025433212,0.0,14.602697420913577,45.02359392782241
29,T19836Z,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.0,0.0,14.668198254340117,1.0019757966499647,28.87908781845682,0.0,0.0,11.98012232229227,12.982467005449875,35.56508577016736
30,T01784T,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.0,4.533239348627805,0.0,0.0,45.404306531200746,0.0,9.240806161293307,0.0,0.7374427745443712,55.353396943689916
31,T11818R,< 40 dB(A),< 40 dB(A),< 40 dB(A),0.0,61.37593899785742,0.0,0.0,0.0,0.0,53.2562517657843,0.0,0.0,8.869659298061228
