street_id,lidar_true_h_mean_50m,lidar_true_h_max_50m,lidar_true_h_mean_100m,lidar_true_h_max_100m
T04719W,17.463000565550495,31.320163807970417,17.09132879537251,31.320163807970417
T19941Z,26.4143020487382,43.9048220192966,27.012403159844066,44.65273857116699
T18111R,28.815210304423303,35.77644465519832,27.200107888838158,51.25710739007518
T03222Y,18.73165791796356,49.05708026123047,19.094532748360827,49.05708026123047
T17625I,29.500411441315244,30.374166615804036,31.817997739834034,57.733387408870286
T05360P,11.238446453870889,21.24696988837664,12.83012041395763,28.942186046782
T08863T,20.378170172153162,35.83242869154315,18.5547180695791,35.83242869154315
T00236S,24.765842832799734,32.21775481280159,24.13215081702312,32.21775481280159
T13009A,27.707390128032614,32.140581877335265,26.030843541426606,50.029567586964575
T11921P,19.827940525911142,29.08461479773888,18.880488660297782,29.08461479773888
T16868V,9.237952538909195,14.103296334402899,9.805893247494799,23.02988503196022
T02762R,23.983521830770787,35.28958764683786,23.050047044792176,35.28958764683786
T04571U,19.30410842873591,24.618350040211396,18.144779213234727,25.49458202683782
T08170X,22.8295735437011,34.67799928762617,22.08118364252031,35.85508797385476
T07536D,8.822079585801875,12.142491658528655,9.199048943911057,16.625250009390015
T01076Y,24.204700951080206,42.30832465154942,23.702991829887075,46.128151810409236
T21401B,26.51660875943128,31.94506233325903,19.378631945741642,31.94506233325903
T20087H,9.14732014004989,28.3333740234375,9.222334935663419,29.83192159574326
T00497L,23.1929243458806,27.55496466303446,23.39569149989607,35.32293828328451
T02457L,32.98959323090552,39.80842735935682,33.153581893743265,46.05544847760882
T10161V,22.41643328768644,34.30427301108432,25.326796531237616,40.25762882694654
T20348J,11.377292741389265,16.889350758715977,14.661822271255367,28.52179519444296
T07895X,17.252594334176635,26.365000234485343,19.05166358646726,29.884709001398413
T08413X,21.765308640427627,28.21570876323692,20.90700757742589,36.189776956451226
T15540W,19.29940103701857,30.648194933694505,21.922521537195756,37.61767904288707
T06230K,12.796730528078893,26.918749237060545,14.199296772208614,32.786902065934804
T02118V,29.8453806450658,37.37105468223835,30.24031101562444,38.786167642344594
T08980X,35.26915937843796,40.479349177237,29.447471071025422,40.479349177237
T14659G,21.592402530432228,28.06040009960686,22.005986185856578,43.98132020148678
T19836Z,19.192624781153217,27.416702270507812,14.134901173573684,27.416702270507812
T01784T,30.587120590949375,37.9314860854038,30.353694237235636,38.40593969999854
T11818R,8.439052066307397,13.137847900390625,8.687615895536513,16.546908171280563
T18426H,21.27317678434744,24.00256278735249,20.145985836491402,24.52204405743143
T02648Q,26.583715982272007,35.57928575788225,27.315810191459448,144.41757680855545
T02391K,31.180610018952002,38.18428410121373,30.14802568078527,38.18428410121373
T08305U,24.66982702531257,42.65349651253136,25.839627794216806,42.65349651253136
T03284M,22.014506185826637,82.48150223329063,22.67400813381911,87.84936774591482
T15812B,0.0,0.0,0.0,0.0
T08289L,29.949214965703643,41.040325843002876,28.53127356538454,41.040325843002876
T09386P,30.986951610015474,42.56845273104581,32.08857079747874,43.20409855800392
T09155C,21.727003336055706,32.51518726348877,19.905380776479895,42.978031526223205
T06296C,16.18887048744564,37.72765983969478,15.09427670035128,37.72765983969478
T03163E,15.757098561930851,25.2910523363339,17.066807654867567,38.426104115173885
T09255F,22.96670929367946,53.87502415974935,19.986331123933144,66.74939112708194
T08817N,19.9212821443039,31.890898499845132,20.299343653793937,33.91286587672345
T10101J,18.059985221658057,25.895115544245794,20.332363982727568,44.68313096784579
T08632G,15.773459732050274,26.750884206671458,16.539352559444016,37.94702369368255
T09652O,31.853265658122353,42.165247322856516,30.94799428292657,42.165247322856516
T03020Q,30.604140719882473,39.226374858134506,31.021662140983263,41.653951317695395
T12919Z,21.97048233665036,30.85718604699889,15.887332358986479,30.85718604699889
T00954P,24.268209283129128,36.379005432128906,23.884222868811072,37.01209122387331
T17527H,25.52695639897413,33.27944667952845,20.751596691955395,39.7270073917325
T16362A,18.634368432616018,38.17348322375067,21.421065373225822,39.65187793641579
T11026T,24.821289842146978,30.22166519713916,23.86871593230876,31.864010665665816
T01155W,21.47551382138127,25.580745373742054,21.55656877017779,27.14100112915039
T17230T,23.618369124564495,35.27456908797322,23.49312970931709,35.27456908797322
T01946T,28.652375268812857,38.43595154829377,29.441697463791762,38.43595154829377
T07889Z,22.82980841270168,35.051457127162394,21.759194428737977,35.051457127162394
T10349F,33.115743196746664,66.00412884495289,30.729991986131186,66.00412884495289
T04856E,17.33748133409425,25.34660124917201,17.834333008933424,26.581249613157468
T01430W,23.01075620024571,35.478879210437356,24.23530507227132,35.478879210437356
T17265E,25.310878033208006,32.09334263048674,25.17337835345869,33.10926465486225
T02561K,34.047241662010215,40.124947663325415,32.9186613144562,40.124947663325415
T04729Y,24.227269947185306,31.579053073459207,20.369224938815446,31.579053073459207
T01633F,24.965149459491606,36.68602517934946,24.516199482001323,36.68602517934946
T17606F,33.96261266430004,34.70560198974609,27.671854207207023,59.649086985868564
T09207X,25.05755996901806,40.04324849446615,22.84654911508689,40.04324849446615
T12907V,8.32692511072411,11.651336669921875,8.30388751557157,16.2919891357422
T04597E,10.046475889851227,19.087734620962564,10.688793788181718,21.762568882533486
T08203P,20.213567214869666,34.27203783307757,21.5025799822237,34.733858848104674
T06595K,13.451621805263123,13.481667645921194,18.25510904337143,25.3084178723787
T01915M,33.01704949593538,40.29405666042018,31.018759069961792,43.007412105411674
T08416A,14.631498375186487,25.65443525643184,14.172353668455628,27.249104993096722
T12083G,19.952844001965715,33.492376708984374,19.20409000474044,34.600417073567705
T13003U,25.001538383635154,60.176305714220106,22.515741204963376,60.176305714220106
T19295S,17.614515199918838,23.947045898437494,16.794449473103086,41.53811027140375
T11305X,25.550932806084916,36.606371690600696,27.37989760597385,48.71890772168881
T02656Q,28.9309804920359,65.35425860932875,25.122428892815332,65.35425860932875
T01496O,23.878028537220004,65.11651520117431,23.381994582410332,65.11651520117431
T14865K,17.307485361507997,22.717829708084167,17.307485361507997,22.717829708084167
T18074D,11.330954549874034,44.341727276894616,16.297946545125033,44.341727276894616
T09798F,12.28096683937443,31.5049912962195,12.439503675067142,31.5049912962195
T15984U,18.30765818222086,20.83502415248327,19.570832050864077,34.62811642281284
T05334N,16.398937406483455,26.41283042567551,14.611094693355952,26.41283042567551
T15621W,25.79635763639809,35.64889972803374,25.266634985997978,46.07479422576824
T17971X,15.490110481587566,20.497066712111575,18.97170383468233,41.20958164760046
T01863R,29.884369281496255,36.32334057789929,29.72003681472399,75.9940876100338
T10276F,14.007053286777031,17.03358760789211,20.74730144678878,30.207882802994526
T21256K,15.31832088270287,27.361118801271267,16.01715871399455,38.6471648880198
T09532H,33.219256807562026,56.484170063432444,35.50887645395854,57.05362158761898
T05538X,10.863001413918312,13.813562971822307,9.846452626315843,13.813562971822307
T19562S,12.414837386059995,28.568105677554485,14.10333465254062,38.79599736317867
T03360H,22.927714947883757,35.41582423384472,24.593357352629923,37.847101927882406
T03707O,29.853707487796353,53.94839559807245,27.65512047051661,53.94839559807245
T02977E,23.95360768756569,33.36893496306046,21.686545087088504,34.78905695302475
T13859I,9.074379794373158,20.621224539620528,7.496918660927764,22.19084094819567
T12035Y,22.01117629709325,27.61612094345913,21.04322618631324,30.46776371376187
RD0129Y,10.742913869319029,16.174911086623723,13.790899763982344,27.416702270507812
T08313U,28.945423726067286,33.98286009863984,23.460397761563677,39.880910733850996
