road_id,road_width,openness
21638845_885308258_0,43.02560222609751,0.75
21638845_13175411896_0,26.114885844412843,0.3630952380952381
21638865_30343650_0,15.135908461328164,0.75
21638867_1636238503_0,18.154329736865552,0.6666666666666666
21638867_1403082237_0,20.158620174568206,0.6666666666666666
21638867_30343414_0,6.935241093502114,0.3333333333333333
21638868_30343649_0,36.20552432928601,0.8333333333333334
21638868_30343654_0,36.50830053448889,0.8333333333333334
21638869_30343672_0,18.2166129147666,0.6666666666666666
21638869_242318729_0,17.913847179754235,0.6666666666666666
21638869_30343583_0,7.972898375478291,0.2916666666666667
21638874_3643971045_0,50.0,1.0
21638874_2952200687_0,46.58386644855521,0.7272727272727273
21638877_1636238506_0,7.26841825672885,0.5
21638877_30343573_0,6.8505390822336905,0.3888888888888889
21638878_30343394_0,28.347759526484978,0.5833333333333334
21638878_242317164_0,7.142476364596281,0.5
21638882_1636238518_0,6.549820883992508,0.25
21638882_30343282_0,7.273127150181336,0.8
21638889_242284800_0,38.28281606075732,0.6666666666666666
21638889_190987748_0,27.689208249715858,0.75
21638891_533663031_0,37.863253674678795,0.75
21638891_190971702_0,50.0,1.0
21638917_190981834_0,50.0,1.0
21638917_190985498_0,31.2352799439359,0.99375
21638918_8371290346_0,50.0,1.0
21638920_21638918_0,41.27488423256773,0.75
21638921_2984928319_0,46.01212214612839,0.8269230769230769
21638921_21638920_0,49.745227907367266,0.75
21638922_21638921_0,49.261568703616774,0.8333333333333334
21639537_4471971381_0,50.0,1.0
21639537_4471971376_0,50.0,1.0
21639537_4471971372_0,50.0,1.0
26057050_178518958_0,41.988528694882405,0.8421052631578947
26057050_168319807_0,50.0,1.0
26057076_190958411_0,50.0,1.0
26057076_9425413590_0,50.0,1.0
26057079_2984928288_0,50.0,1.0
26057079_1401592250_0,50.0,1.0
26057116_1126640615_0,50.0,1.0
26057116_216350784_0,50.0,1.0
26057125_26057304_0,30.89133067626042,0.24
26057125_11466476297_0,31.32287590557531,0.19047619047619047
26057131_30254228_0,38.48929366671255,0.6666666666666666
26057131_1362899977_0,30.617290446662714,0.23076923076923078
26057304_3218700096_0,31.69482232010745,0.35
26057304_8201874133_0,24.192289795932957,0.2692307692307692
26057312_269369082_0,50.0,1.0
26057312_3229689808_0,50.0,1.0
26057341_26057131_0,48.44967047341184,0.9473684210526315
26057341_30242757_0,41.867726677342944,0.6875
26057342_26057345_0,23.42849332694166,0.36666666666666664
26057342_26057341_0,30.86563102975169,0.16666666666666666
26057345_533662625_0,20.920509481295547,0.23684210526315788
26057346_26057345_0,22.944693622625337,0.2857142857142857
26057347_26057346_0,12.340703283625857,0.1625
26057347_26057346_1,20.797927870133,0.14285714285714285
26057388_26057389_0,49.204737323379526,0.7058823529411765
26057388_30238009_0,24.50572949067413,0.35
26057389_559026424_0,50.0,1.0
26057389_3314271774_0,49.50628518500471,0.6764705882352942
26198831_30685338_0,49.28036810874351,0.7121212121212122
26198831_30246772_0,50.0,1.0
26198833_26198831_0,49.53543580497747,0.71875
26198833_30246781_0,23.514996506827366,0.38636363636363635
26198844_2510589068_0,49.36955885732857,0.6176470588235294
26198844_30243042_0,22.09353952014756,0.3333333333333333
30227025_30227032_0,9.31623286741522,0.25
30227027_30227025_0,5.944589908518761,0.2
30227032_30227052_0,8.95752873025129,0.2857142857142857
30227034_30227032_0,8.380970897646687,0.4
30227035_30227037_0,9.364687378379713,0.11363636363636363
30227035_30227468_0,8.39717365297927,0.125
30227048_30227049_0,6.483336588461666,0.3333333333333333
30227048_192071165_0,17.387107909647455,0.35714285714285715
30227050_13134439125_0,8.35454316920433,0.1951219512195122
30227050_30227052_0,15.349307603915719,0.20833333333333334
30227050_30227049_0,6.078298714023354,0.25
30227052_10266016765_0,11.83225025288245,0.6111111111111112
30227068_30227050_0,8.950831084675741,0.45
30227068_3743057429_0,21.18637428731318,0.45
30227068_5306386384_0,18.186817097239178,0.4444444444444444
30227131_30227132_0,5.533893483431217,0.25
30227131_30227139_0,6.684789677138804,0.4
30227131_30227159_0,6.647527094071339,0.4
30227132_30227133_0,5.801474224750025,0.2
30227132_30227153_0,6.577328731834896,0.2
30227132_30227154_0,6.52312395583315,0.3333333333333333
30227133_2264151290_0,15.577219547995943,0.2777777777777778
30227134_30227135_0,5.827316848865088,0.5714285714285714
30227135_30227136_0,6.381023501259395,0.375
30227136_8246056358_0,7.23987296149898,0.5
30227136_30227137_0,5.8855410343979875,0.4375
30227137_30227231_0,10.630833219370107,0.2857142857142857
30227139_30227160_0,6.918604774852515,0.3125
30227139_30227131_0,6.68477381178039,0.4
30227139_30227136_0,6.013841494541021,0.21428571428571427
30227153_30227132_0,6.5773287318180715,0.2
30227153_30227158_0,5.689460556189555,0.2857142857142857
30227154_30227132_0,6.523123956043942,0.3333333333333333
30227154_2264151290_0,6.758499145192558,0.2727272727272727
30227156_30227157_0,5.679030452992561,0.3333333333333333
30227156_30227151_0,4.672226436406316,0.3333333333333333
30227157_30227158_0,4.996858824322272,0.3333333333333333
30227157_30227156_0,5.679030453004877,0.3333333333333333
30227157_30227134_0,4.893180405837278,0.3
30227158_30227157_0,4.996858824310257,0.3333333333333333
30227158_30227159_0,6.0482860830358725,0.3333333333333333
30227158_30227134_0,6.872276806788421,0.25
30227159_30227131_0,6.639443876760485,0.4
30227159_30227158_0,6.048285437405395,0.3333333333333333
30227159_30227135_0,5.926137973836324,0.18181818181818182
30227160_30227139_0,6.890567718140108,0.3125
30227160_30227233_0,13.20680058915868,0.35714285714285715
30227192_112409079_0,8.67633200370488,0.35714285714285715
30227192_112409083_0,7.906759929098559,0.375
30227193_30227195_0,7.513748664661911,0.25
30227193_30227192_0,8.498171400226111,0.3125
30227193_1374636541_0,9.921502397694926,0.17391304347826086
30227195_30227196_0,7.1743539094544,0.2857142857142857
30227195_30227157_0,4.745292435926195,0.2
30227196_30227133_0,5.396499591138281,0.18181818181818182
30227196_30227153_0,5.596333925362186,0.2
30227198_30884331_0,12.225408822075106,0.28125
30227228_2327729219_0,22.3371198275087,0.40476190476190477
30227228_12351352586_0,50.0,1.0
30227229_30227450_0,10.441113734062284,0.175
30227229_30227137_0,23.77536645149094,0.2857142857142857
30227231_30227232_0,11.06987911806501,0.2777777777777778
30227232_30227160_0,50.0,1.0
30227233_1400544022_0,16.203149948055767,0.2857142857142857
30227233_30227154_0,9.852465220319637,0.3333333333333333
30227390_112398908_0,17.24811892415326,0.17
30227391_30227402_0,12.745568957367922,0.15384615384615385
30227391_3587720087_0,13.175214860206317,0.16666666666666666
30227391_30227390_0,13.929370492115044,0.3333333333333333
30227450_2327729212_0,8.961540278843692,0.5454545454545454
30227468_30884331_0,9.12295115371571,0.2222222222222222
30227468_5306386378_0,10.200438773468628,0.16666666666666666
30227487_431107481_0,10.108459550096535,0.14814814814814814
30227487_30647222_0,7.4146196305276755,0.25
30227489_2529520245_0,9.147178015782607,0.3333333333333333
30227495_240936353_0,26.685384444405365,0.5
30227495_630622788_0,10.090468803437657,0.3541666666666667
30236715_30236773_0,12.289202510493464,0.3333333333333333
30236715_4834501650_0,12.683248400493651,0.22
30236716_30236715_0,10.258589720052601,0.4166666666666667
30236718_30236716_0,13.772832919991464,0.35714285714285715
30236718_30236761_0,16.68970546429501,0.3333333333333333
30236720_30236716_0,11.37666017655597,0.20833333333333334
30236720_30236761_0,11.647509018615072,0.2222222222222222
30236748_1514106958_0,9.720005656302458,0.4
30236748_30236718_0,17.556491373800398,0.5384615384615384
30236749_30236748_0,9.629982731326924,0.5
30236749_30236779_0,10.766022855457315,0.2916666666666667
30236750_30236749_0,9.598666816261646,0.4444444444444444
30236750_10967809658_0,9.969022931491278,0.39473684210526316
30236751_30236750_0,9.577943266612857,0.4444444444444444
30236751_30248264_0,9.890006936018494,0.3181818181818182
30236752_30236751_0,12.84028352784157,0.42857142857142855
30236752_30236753_0,9.482221166728614,0.4166666666666667
30236752_30248272_0,9.59517082644173,0.17857142857142858
30236753_4834501701_0,9.857536980301429,0.5
30236760_30236720_0,9.592258432098498,0.3333333333333333
30236760_30236715_0,9.442305494580577,0.23076923076923078
30236761_1514106960_0,9.536390873012206,0.3333333333333333
30236761_30298891_0,9.612626677131727,0.375
30236773_30236748_0,9.70634628550589,0.2692307692307692
30236773_30236779_0,11.932807772527028,0.3333333333333333
30236779_2264456451_0,10.144510136854388,0.13333333333333333
30236779_30248252_0,9.7937414620753,0.4375
30236780_1514106958_0,9.638973192511305,0.375
30236780_30236749_0,9.894762680970345,0.3333333333333333
30237081_2013654038_0,34.217265060577134,0.7
30237081_7021902544_0,36.3324881214545,0.6818181818181818
30237104_251543584_0,34.85423511393424,0.5666666666666667
30237104_3618456746_0,34.84529184070624,0.5833333333333334
30237479_541061803_0,8.71779131559023,0.175
30237479_998567760_0,12.949945665304382,0.22727272727272727
30237481_30237482_0,8.641651117408127,0.25
30237481_998567840_0,15.874549101671414,0.35
30237482_30237483_0,15.679886457668387,0.23333333333333334
30237482_30294184_0,20.27112850340986,0.2692307692307692
30237483_30237484_0,14.971644750167446,0.25
30237483_30251200_0,25.9493182745058,0.25
30237484_557230481_0,18.849592763108,0.3181818181818182
30237520_511123419_0,36.21998272924184,0.6666666666666666
30237521_30237520_0,11.851080154584402,0.4
30237521_30294181_0,9.933030906226412,0.4375
30237530_269383881_0,19.73385708060632,0.25
30237531_30237530_0,14.226085284844682,0.5
30237531_2087204994_0,10.320443961402685,0.36363636363636365
30237532_30237531_0,12.356322933449992,0.45454545454545453
30237532_1378087192_0,19.465526640807944,0.35
30237532_30237533_0,12.452745257082542,0.25
30237533_30558512_0,29.88411520532147,0.3888888888888889
30237539_998615813_0,5.734398818608114,0.25
30237540_30237539_0,7.618127368970704,0.4
30237540_269383243_0,5.871212296120753,0.4375
30237541_30237540_0,12.855425415183838,0.4
30237541_30237542_0,7.42604131127133,0.3333333333333333
30237542_998615820_0,26.084851083478423,0.4
30237586_30246859_0,22.883634297404754,0.21875
30237586_30246820_0,32.88659177649304,0.625
30237587_30237586_0,28.121167618286613,0.3888888888888889
30237587_30246777_0,22.413005204246062,0.23529411764705882
30237588_30237587_0,23.72368927437016,0.17647058823529413
30237588_30248549_0,31.645789280330852,0.6176470588235294
30237606_30237607_0,22.812683172970893,0.32142857142857145
30237606_1382873656_0,43.99826524926871,0.8333333333333334
30237607_30237586_0,22.268775829520905,0.25
30237607_30246777_0,23.378855401919132,0.23529411764705882
30237610_30313113_0,22.489215244672106,0.5
30237612_30237613_0,23.801319242486514,0.2222222222222222
30237612_30247089_0,29.40196370746248,0.20588235294117646
30237613_30237633_0,23.118654918287785,0.2647058823529412
30237613_30237614_0,23.146545222929692,0.2222222222222222
