fid,TRAM,street_tree_count_10m,park_tree_count_10m,street_tree_count_20m,park_tree_count_20m
208,T19850X,15,0,20,0
209,T11101N,0,0,0,0
210,T12601G,1,0,2,0
211,T00461Z,0,0,0,0
212,T20494S,13,0,20,0
213,T12218D,17,0,26,0
214,T09928X,6,0,24,0
215,T07139U,16,0,27,0
216,T04471R,9,0,13,1
217,T13774E,0,0,0,0
218,T11566Q,0,0,6,0
219,T03232A,7,0,17,0
220,T15677M,1,0,1,0
221,T11702G,4,0,11,0
222,P72700,2,0,21,0
223,T03860W,17,0,27,0
224,T20748V,24,0,36,0
225,T04551Q,2,0,5,0
226,T03494U,15,0,23,0
227,T15587L,0,0,0,0
228,T19635S,5,0,13,0
229,T05428S,8,0,18,0
230,T15942K,31,0,37,0
231,T17274F,24,0,42,0
232,T14732Y,28,0,56,0
233,T02049Z,23,0,34,0
234,T15841G,3,0,10,0
235,T02306X,2,0,7,0
236,T02035T,22,0,33,0
237,T01520X,0,0,0,0
238,T04706R,8,0,12,0
239,T00916J,7,0,9,0
240,T07458G,15,0,41,0
241,T05373U,28,0,35,0
242,T12613K,10,0,22,0
243,T15693M,0,0,0,0
244,T09528L,0,0,11,0
245,T12832T,1,0,2,0
246,T01919Q,23,0,31,0
247,T11631I,0,0,0,0
248,T12708Q,18,0,34,0
249,T07803D,12,0,15,0
250,T05576D,4,0,11,0
251,T12041W,17,0,31,0
252,T09786B,10,0,18,0
253,T18057C,7,0,20,0
254,T01504X,1,0,3,0
255,T00474E,0,0,2,0
256,T09248G,16,0,22,0
257,T06754H,3,0,8,0
258,T10174A,16,0,17,0
259,T02771S,14,0,25,0
260,T12048D,10,0,19,0
261,T04539U,12,0,19,0
262,T18085G,9,0,22,0
263,T01204O,16,0,25,0
264,T19522K,17,0,21,0
265,T21420E,4,0,6,0
266,T09685X,9,0,20,0
267,T12690X,23,0,37,0
268,T16126Q,10,0,20,0
269,T07804E,1,0,3,0
270,T05955K,12,0,24,0
271,T18024T,0,0,0,0
272,T16945R,3,0,6,0
273,T01457H,1,0,4,0
274,T18328G,27,0,38,0
275,T06005D,6,0,15,0
276,T17081Y,1,0,4,0
277,T09911O,9,0,11,0
278,T15736G,0,0,1,0
279,T02868A,3,0,7,0
280,T04934B,5,0,6,0
281,T10394K,2,0,7,0
282,T05481X,12,0,16,0
283,T18676X,0,0,0,0
284,RD0061I,0,0,13,0
285,T00788T,3,0,11,0
286,T20492Q,7,0,11,0
287,T20337G,1,0,2,0
288,T12200T,0,0,3,0
289,T03033V,6,0,23,0
290,T20896G,13,0,36,0
291,T08204Q,0,0,7,0
292,T12384Q,9,0,13,0
293,T03015T,20,0,26,0
294,T11053W,10,0,29,0
295,T15969V,38,0,41,0
296,T18594W,0,0,0,0
297,T20646Q,0,0,0,0
298,T08871T,0,0,0,0
299,T03215Z,3,0,10,0
300,T03245F,21,0,26,0
301,T20918V,0,0,0,0
302,T08813J,8,0,16,0
303,T00343U,7,0,8,0
304,T08182B,2,0,5,0
305,T00778R,1,0,1,0
306,T12223A,8,0,16,0
307,T12281K,1,0,5,0
308,T17542G,3,0,9,0
309,T02864W,4,0,8,0
310,T15646F,26,0,34,0
311,T12090F,19,0,35,0
312,T01677R,28,0,39,0
313,T09190F,6,0,14,0
314,T03151A,4,0,13,0
315,T17834P,0,0,26,0
316,T03723O,9,0,18,12
317,T08168D,0,0,0,0
318,T12346K,1,0,4,0
319,T01835N,17,0,31,0
320,T11501Z,0,0,4,0
321,T12814R,15,0,26,0
322,T17972Y,0,0,0,0
323,T19974I,12,0,16,0
324,T01715G,11,0,26,0
325,T09923S,9,0,32,0
326,T04209F,1,0,3,0
327,T11285K,28,0,31,0
328,T17220R,0,0,8,0
329,T08464I,5,0,11,0
330,T01205P,11,0,20,0
331,T03190H,6,0,11,0
332,T19683A,23,0,34,0
333,T06047N,20,0,31,0
334,T11429I,1,0,1,0
335,T17536I,10,0,14,0
336,T20265H,33,0,50,0
337,T20273H,24,0,30,0
338,T00108L,1,0,3,0
339,T00378F,4,0,7,0
340,T09142X,4,0,5,5
341,T07579O,0,0,0,0
342,T03658W,10,0,15,0
343,T02834Q,6,0,8,0
344,T01104L,3,0,8,0
345,T09560L,33,0,43,0
346,T18917V,6,0,20,0
347,T00977W,0,0,0,0
348,T13855E,0,0,0,0
349,T13029E,8,0,17,0
350,T16964U,0,0,2,0
351,T03246G,3,0,12,0
352,T10302Q,20,0,28,0
353,T10049W,10,0,19,0
354,T04552R,11,0,16,0
355,T18714M,3,0,8,0
356,T15825G,23,0,49,0
357,T13694F,0,0,0,0
358,T16350W,2,0,4,0
359,T08200M,0,0,0,0
360,T11306Y,0,0,3,0
361,T08799C,21,0,25,0
362,T11720I,0,0,0,0
363,T06243P,0,0,1,0
364,T01628I,9,0,12,0
365,T20879F,7,0,7,0
366,T20141W,7,0,14,0
367,T17373H,23,0,31,0
