street_id,signal_count_50,poi_count_50,tree_count_50,transport_count_50
T05373U,1,4,1,2
T12613K,1,1,1,1
T15693M,1,18,1,1
T09528L,4,1,5,1
T12832T,1,1,1,2
T01919Q,4,12,1,1
T11631I,1,1,1,1
T12708Q,3,1,1,1
T07803D,1,6,1,1
T05576D,1,1,12,1
T12041W,1,1,13,1
T09786B,1,1,1,1
T18057C,1,1,1,1
T01504X,1,13,2,1
T00474E,1,14,1,1
T09248G,2,1,1,2
T06754H,1,1,1,1
T10174A,6,1,67,1
T02771S,1,1,1,1
T12048D,5,3,45,1
T04539U,3,6,1,1
T18085G,6,1,17,5
T01204O,1,2,1,1
T19522K,1,1,1,1
T21420E,1,1,1,1
T09685X,1,2,70,1
T12690X,1,2,1,1
T16126Q,4,8,1,1
T07804E,1,16,1,1
T05955K,3,1,1,1
T18024T,1,1,86,3
T16945R,1,2,1,1
T01457H,1,7,8,1
T18328G,5,1,67,1
T06005D,1,1,1,1
T17081Y,5,1,1,1
T09911O,2,1,1,1
T15736G,1,6,1,1
T02868A,1,2,20,1
T04934B,1,1,1,1
T10394K,1,11,25,2
T05481X,6,1,61,4
T18676X,1,1,1,2
RD0061I,5,1,30,3
T00788T,1,8,22,1
T20492Q,1,1,1,1
T20337G,1,1,1,1
T12200T,1,1,1,1
T03033V,10,4,66,1
T20896G,1,1,1,1
T08204Q,1,6,1,1
T12384Q,1,1,1,1
T03015T,1,1,2,1
T11053W,5,1,1,2
T15969V,6,2,1,1
T18594W,1,1,1,1
T20646Q,1,1,1,1
T08871T,1,1,1,1
T03215Z,1,4,23,2
T03245F,2,10,1,2
T20918V,1,1,1,1
T08813J,2,2,77,2
T00343U,1,33,1,1
T08182B,1,5,1,1
T00778R,1,8,2,1
T12223A,1,1,1,1
T12281K,2,1,1,5
T17542G,1,1,1,1
T02864W,1,3,26,1
T15646F,8,1,1,1
T12090F,1,4,10,1
T01677R,7,5,38,3
T09190F,2,4,1,1
T03151A,3,7,1,2
T17834P,4,11,1,1
T03723O,1,1,1,1
T08168D,1,9,1,2
T12346K,1,1,1,1
T01835N,3,5,1,1
