TRAM,fid,street_id,street_length_m,daytime_count_100m,nighttime_count_100m,continuous_count_100m,discontinuous_count_100m,transport_related_count_100m,noise_sensitive_count_100m,recreation_green_count_100m,support_infrastructure_count_100m,daytime_count_per_meter_100m,nighttime_count_per_meter_100m,continuous_count_per_meter_100m,discontinuous_count_per_meter_100m,transport_related_count_per_meter_100m,noise_sensitive_count_per_meter_100m,recreation_green_count_per_meter_100m,support_infrastructure_count_per_meter_100m
T04719W,0,T04719W,48.66109456426394,6,0,6,5,2,1,5,0,0.12330178870259774,0.0,0.12330178870259774,0.10275149058549812,0.041100596234199246,0.020550298117099623,0.10275149058549812,0.0
T19941Z,1,T19941Z,87.20269276016559,14,2,18,12,20,4,16,3,0.16054550102603293,0.022935071575147563,0.20641564417632807,0.1376104294508854,0.22935071575147564,0.045870143150295126,0.1834805726011805,0.03440260736272135
T18111R,2,T18111R,79.93456184616348,0,0,1,0,1,1,1,1,0.0,0.0,0.012510233081961853,0.0,0.012510233081961853,0.012510233081961853,0.012510233081961853,0.012510233081961853
T03222Y,3,T03222Y,77.36771064543494,19,5,18,21,4,1,4,0,0.24558048624540876,0.06462644374879178,0.2326551974956504,0.2714310637449255,0.051701154999033425,0.012925288749758356,0.051701154999033425,0.0
T17625I,4,T17625I,107.67964858873744,4,0,6,2,1,1,9,2,0.03714722375513373,0.0,0.055720835632700604,0.018573611877566867,0.009286805938783433,0.009286805938783433,0.0835812534490509,0.018573611877566867
T05360P,5,T05360P,91.75975789993737,0,0,2,0,0,2,1,0,0.0,0.0,0.021796047044729237,0.0,0.0,0.021796047044729237,0.010898023522364618,0.0
T08863T,6,T08863T,86.86928428808099,2,0,3,1,0,1,2,1,0.023023097477901204,0.0,0.0345346462168518,0.011511548738950602,0.0,0.011511548738950602,0.023023097477901204,0.011511548738950602
T00236S,7,T00236S,57.15852858788088,27,3,115,26,9,1,6,87,0.47237045226746294,0.05248560580749588,2.0119482226206755,0.45487525033163095,0.15745681742248763,0.01749520193583196,0.10497121161499176,1.5220825684173804
T13009A,8,T13009A,147.70034302562112,1,0,1,0,2,0,1,0,0.0067704649800747795,0.0,0.0067704649800747795,0.0,0.013540929960149559,0.0,0.0067704649800747795,0.0
T11921P,9,T11921P,61.57641865231825,1,0,1,0,5,0,2,0,0.016239983128059878,0.0,0.016239983128059878,0.0,0.0811999156402994,0.0,0.032479966256119756,0.0
T16868V,10,T16868V,153.2506325827349,0,0,1,0,0,0,2,1,0.0,0.0,0.0065252585463889245,0.0,0.0,0.0,0.013050517092777849,0.0065252585463889245
T02762R,11,T02762R,72.52021889927474,5,0,5,4,2,0,1,0,0.06894628940578121,0.0,0.06894628940578121,0.055157031524624964,0.027578515762312482,0.0,0.013789257881156241,0.0
T04571U,12,T04571U,94.09029667255506,1,0,1,0,0,0,1,0,0.010628088499711228,0.0,0.010628088499711228,0.0,0.0,0.0,0.010628088499711228,0.0
T08170X,13,T08170X,95.54827816215008,19,5,25,20,13,3,15,3,0.1988523536526328,0.05232956675069284,0.26164783375346423,0.20931826700277137,0.13605687355180138,0.03139774005041571,0.15698870025207853,0.03139774005041571
T07536D,14,T07536D,54.73233300059147,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018270735873604976,0.0
T01076Y,15,T01076Y,110.48779886945276,35,8,60,39,7,1,3,27,0.3167770591697131,0.07240618495307728,0.5430463871480796,0.3529801516462518,0.06335541183394262,0.00905077311913466,0.027152319357403983,0.24437087421663584
T21401B,16,T21401B,27.861082253156816,0,0,12,0,2,0,2,12,0.0,0.0,0.43070832248953045,0.0,0.07178472041492175,0.0,0.07178472041492175,0.43070832248953045
T20087H,17,T20087H,168.10846750333565,1,0,3,1,0,2,3,1,0.005948540337387572,0.0,0.017845621012162718,0.005948540337387572,0.0,0.011897080674775145,0.017845621012162718,0.005948540337387572
T00497L,18,T00497L,21.12946011252169,26,5,33,27,9,0,3,6,1.230509433820883,0.23663642958093906,1.5618004352341979,1.277836719737071,0.4259455732456903,0.0,0.14198185774856345,0.2839637154971269
T02457L,19,T02457L,132.73473866162203,11,0,12,5,3,3,3,0,0.08287205076014106,0.0,0.09040587355651752,0.0376691139818823,0.02260146838912938,0.02260146838912938,0.02260146838912938,0.0
T10161V,20,T10161V,133.3349627459439,2,7,2,9,16,0,1,0,0.014999816693321429,0.052499358426624995,0.014999816693321429,0.06749917511994642,0.11999853354657143,0.0,0.0074999083466607145,0.0
T20348J,21,T20348J,731.3666751129622,2,0,16,2,11,0,27,14,0.00273460641297485,0.0,0.0218768513037988,0.00273460641297485,0.015040335271361675,0.0,0.03691718657516047,0.01914224489082395
T07895X,22,T07895X,97.51347021838576,44,16,52,58,7,2,2,9,0.4512197125326382,0.16407989546641388,0.5332596602658451,0.5947896210657504,0.07178495426655608,0.020509986933301735,0.020509986933301735,0.09229494119985782
T08413X,23,T08413X,105.87193849799876,7,3,9,7,4,2,11,2,0.06611761434907813,0.0283361204353192,0.0850083613059576,0.06611761434907813,0.037781493913758936,0.018890746956879468,0.10389910826283706,0.018890746956879468
T15540W,24,T15540W,64.83445900017642,19,1,28,18,9,3,10,8,0.29305403782189804,0.015423896727468318,0.4318691083691129,0.27763014109442974,0.13881507054721487,0.046271690182404956,0.1542389672746832,0.12339117381974654
T06230K,25,T06230K,45.05832734558625,1,0,1,0,0,0,1,0,0.022193455880646584,0.0,0.022193455880646584,0.0,0.0,0.0,0.022193455880646584,0.0
T02118V,26,T02118V,132.6205419187682,17,1,24,15,14,5,5,2,0.12818527020054496,0.007540310011796762,0.18096744028312228,0.11310465017695143,0.10556434016515467,0.03770155005898381,0.03770155005898381,0.015080620023593524
T08980X,27,T08980X,132.77281851873363,16,1,21,15,6,2,2,4,0.12050659297966529,0.0075316620612290806,0.1581649032858107,0.11297493091843622,0.04518997236737449,0.015063324122458161,0.015063324122458161,0.030126648244916322
T14659G,28,T14659G,90.931229465113,29,6,53,32,16,3,4,23,0.3189223347202871,0.0659839313214387,0.5828580600060419,0.3519143003810064,0.1759571501905032,0.03299196566071935,0.0439892875476258,0.2529384033988484
