road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street,signals,transport,pois,width,betweenness,closeness_global,closeness400,straightness,green,industrial,commercial
206378333_6315715548_0,3,3,3,5,3839.187019936765,3424.5283201067105,908.1897565542896,308.5446492107451,0.0,739.5677687711527,0.0,0.0,0.0,35.17694519871406,0.0020585218203312,0.0003236688402671,5.813927156111453e-05,0.8850942347079658,0.0,64.46054376033798,0.0
208568922_208568921_0,4,3,3,1,0.0,1715.6164952369984,201.9623556689589,260.579227811025,3533.2394803479297,4788.496961560929,0.0,0.0,0.0,50.0,4.600048760516862e-06,8.462661962399603e-06,7.488197718482768e-06,0.998368575870004,0.147570980733882,0.0,0.0
208568926_208568922_1,4,3,3,1,0.0,1942.730762408269,423.8078442016606,481.7761712914655,3567.8596008777745,4886.59082714849,0.0,0.0052960478894946,0.0,50.0,4.600048760516862e-06,8.679688559349257e-06,7.980451749714107e-06,0.998353094938586,15.415345065232769,0.0,0.0
208595138_208595144_0,4,3,3,1,0.0,1083.8308475447698,0.0,23.84554299451922,3277.375622339596,4349.1859190331015,0.0,0.0,0.0,50.0,1.1500121901292154e-05,6.666842341412523e-06,0.0,0.4972921255668918,9.872401506655311,0.0,0.0
208595144_2332249073_0,4,3,3,1,0.0,1616.5264090433332,128.87129289831412,181.05816097562095,3498.025601541741,4726.558683116156,0.0,0.0,0.0,50.0,1.8400195042067448e-05,1.0265965837641014e-05,7.222555908209966e-06,0.9960234823635729,6.55194597086086,0.0,0.0
211305820_211305823_0,3,3,2,4,4324.460415135879,3933.1081516787135,1345.3307417586832,0.0,24.64702002212132,507.6686066256421,0.0,0.0,0.0,36.62044727985016,0.0021045223079364,0.0005010050150172,0.0001157823471923,0.8849727637403357,3.768868783900456,18.960027949469644,0.0
211305823_1564374009_0,3,3,3,4,4327.284307076206,3933.697403627432,1341.3788460563185,0.0,31.251669152348097,498.7469901761637,0.0,0.0,0.0,50.0,0.0040388428117338,0.0005051603588067,0.0001241732436529,0.9155205460119374,5.746272912031554,24.467271922143084,0.0
211305823_211305824_0,3,3,3,4,4327.284307076206,3933.8022370210447,1345.3307417586832,0.0,29.093974894318528,497.7090221262852,0.0,0.0,0.0,50.0,0.0001656017553786,0.0005041157034414,0.000122912958147,0.9076435338734332,6.991218094376282,21.223239386497312,0.0
211305824_211305825_0,3,3,2,4,4337.63604813631,3942.312125299628,1349.7932537939623,0.0,7.032176400302721,497.21430831150747,0.0,0.0,0.0,50.0,0.0084847899387733,0.0005013712203535,0.0001192757186767,0.8870113304836018,7.092476908101491,13.908828663743405,0.0
211305825_1131453368_0,3,3,3,4,4350.846617050507,3960.937453995232,1372.706560591351,0.0,0.0,507.22182249518426,0.0,0.0,0.0,50.0,0.0066424704101863,0.0004977190181143,0.0001134303494065,0.864779443620533,5.877629615796312,3.562327573936323,0.0
211310173_211311619_0,3,3,3,4,4327.912795049511,3887.004463942989,1236.766878536407,0.0,21.992363252619917,372.3466065234432,0.0,0.0,0.1243241392558802,41.12393137293027,0.0101339074194186,0.0005461371069294,0.0001652934747439,0.8620935810214492,8.622446055142326,42.14720021553558,0.0
211310173_1564374009_0,3,3,3,4,4329.715102273261,3895.951609021497,1249.925941678239,0.0,22.997793330173497,378.9989306613929,0.0,0.0,0.0198592601228586,41.472087770535055,0.0162312720514837,0.0005260799003516,0.0001461443923944,0.900881288404475,6.564195659088759,35.67265612359167,0.0
211310729_1885951241_0,3,3,3,4,4344.7658209594,3905.4293665993114,1255.170733619656,0.0,2.066757064680639,358.3146374243063,0.0,0.0,0.276564535428253,50.0,0.0125098326042256,0.0005491742392233,0.0001622797418802,0.8614168443036285,11.006142967623624,22.29291921029765,0.0
211311619_211311623_0,3,3,3,4,4325.607043092468,3879.024330759559,1218.2274784268427,0.0,23.909308949389946,351.1883631383377,0.0,0.0,0.0605518246485744,36.40611115413364,0.0121142284108211,0.0005457195560905,0.0001541666867534,0.8215318648004308,7.859328696282067,46.69543241345588,0.0
211311623_211313493_0,3,3,3,4,4328.711412217047,3879.024330759559,1209.8414093971296,0.0,37.74951633323523,330.22826630016715,0.0,0.0333874409329824,0.0,38.43037617956345,0.0118313254120493,0.000546378993401,0.0001392987867609,0.7990625521054571,8.117144177596826,43.0982911887675,0.0
