road_id,width,openness,height,betweenness,closeness_global,closeness400,straightness
206378333_6315715548_0,35.17694519871406,0.5909090909090909,0.0,0.0020585218203312957,0.00032366884026713424,5.8139271561114524e-05,0.8850942347079658
6315715548_206378333_0,35.40200966425013,0.5757575757575758,0.0,0.0020585218203312957,0.00032366884026713424,5.8139271561114524e-05,0.8850942347079658
2383446335_206378333_0,34.32023382967374,0.6,0.0,4.600048760516862e-05,0.0003129470712391636,6.0396813760289014e-05,0.9229845426750314
4469422084_6315715548_0,50.0,1.0,0.0,0.008185786769339756,0.00034379625920597824,8.00491809700924e-05,0.8734380828815566
6315715548_2383446364_0,37.38125760526101,0.5454545454545454,0.0,0.004087143323719232,0.0003297418982219617,8.267074446757173e-05,0.8867472962659094
208568922_208568921_0,50.0,1.0,0.0,4.600048760516862e-06,8.462661962399603e-06,7.488197718482768e-06,0.9983685758700039
208568926_208568922_1,50.0,1.0,0.0,4.600048760516862e-06,8.679688559349257e-06,7.980451749714107e-06,0.9983530949385861
208595138_208595144_0,50.0,1.0,0.0,1.1500121901292154e-05,6.666842341412523e-06,0.0,0.49729212556689184
208595144_2332249073_0,50.0,1.0,0.0,1.8400195042067448e-05,1.0265965837641014e-05,7.222555908209966e-06,0.9960234823635727
2332249073_2332249079_0,50.0,1.0,0.0,2.0700219422325878e-05,1.2130102973903504e-05,1.585859425551818e-05,0.9981145775322262
211305820_211305823_0,36.62044727985016,0.7,0.0,0.0021045223079364643,0.0005010050150172421,0.00011578234719237939,0.8849727637403357
211305823_1564374009_0,50.0,1.0,0.0,0.004038842811733805,0.0005051603588067445,0.00012417324365295658,0.9155205460119374
211305823_211305824_0,50.0,1.0,0.0,0.00016560175537860702,0.0005041157034414959,0.00012291295814707183,0.9076435338734332
211310173_1564374009_0,41.472087770535055,0.5588235294117647,0.0,0.016231272051483746,0.0005260799003516393,0.00014614439239442768,0.900881288404475
1564374009_211310173_0,41.472091556867085,0.5588235294117647,0.0,0.016231272051483746,0.0005260799003516393,0.00014614439239442768,0.900881288404475
1564374009_211305824_0,50.0,1.0,0.0,0.01026270878471312,0.0005052916026721586,0.0001249981866797961,0.9143376453370432
211305824_211305825_0,50.0,1.0,0.0,0.008484789938773352,0.0005013712203535118,0.0001192757186767557,0.8870113304836018
211305825_1131453368_0,50.0,1.0,0.0,0.006642470410186349,0.0004977190181143076,0.0001134303494065441,0.864779443620533
1131453368_1885951239_0,50.0,1.0,0.0,0.004818551076641413,0.00048749233990234473,8.431438905373334e-05,0.8967252289361346
211310173_211311619_0,41.12393137293027,0.8333333333333334,0.0,0.010133907419418647,0.0005461371069294521,0.00016529347474397618,0.8620935810214492
1885951241_211310173_0,50.0,1.0,0.0,0.008132886208593811,0.0005469654822481555,0.00016469558285792677,0.871388644154683
211311619_211311623_0,36.40611115413364,0.9166666666666666,0.0,0.012114228410821156,0.000545719556090586,0.00015416668675344514,0.8215318648004308
1885951241_211311619_0,46.945948133034584,0.875,0.0,0.0023506249166241164,0.0005472790465117362,0.0001639587449987284,0.8539343058427296
211310729_1885951241_0,50.0,1.0,0.0,0.012509832604225606,0.0005491742392233705,0.00016227974188021328,0.8614168443036285
1885951244_211310729_0,50.0,1.0,0.0,0.014531554034472767,0.0005505471941987645,0.00016140513683262367,0.8591568597939794
211311623_211313493_0,38.43037617956345,0.75,0.0,0.011831325412049369,0.0005463789934010359,0.0001392987867609178,0.7990625521054571
211311623_1885951247_0,50.0,1.0,0.0,9.200097521033724e-06,0.000546819911811119,0.00014507597679133655,0.7807595088710932
211313493_1885951247_0,50.0,1.0,0.0,0.013620744379890429,0.0005482104642240157,0.00014059802693014182,0.7813975740851844
211313493_1094296689_0,41.41860705881332,0.6951219512195121,0.0,0.025192167036970595,0.0005608919954148802,8.22891172281895e-05,0.8499817240314331
1094296689_211313493_0,41.42853092053274,0.6951219512195121,0.0,0.025192167036970595,0.0005608919954148802,8.22891172281895e-05,0.8499817240314331
1885951247_1885951249_0,50.0,1.0,0.0,0.013903647378662214,0.0005487247217881666,0.0001459660436754655,0.7676214128170771
211317741_1094296689_0,49.82267263838969,0.8928571428571429,0.0,0.026128276959735776,0.0005838938923747602,3.4196272186422255e-05,0.9156155435253936
1094296689_211317741_0,49.82406248932517,0.8928571428571429,0.0,0.026128276959735776,0.0005838938923747602,3.4196272186422255e-05,0.9156155435253936
211317741_243495396_0,30.920237805332967,0.42857142857142855,0.0,0.02833170031602335,0.0005767732746796457,4.231626259589078e-05,0.9208645231379493
243495396_211317741_0,30.920058782854397,0.42857142857142855,0.0,0.02833170031602335,0.0005767732746796457,4.231626259589078e-05,0.9208645231379493
211317741_1187334109_0,48.35126586767727,0.6724137931034483,0.0,0.021691529930217262,0.0006290690608648361,7.507260325468319e-05,0.8056958521754161
1187334109_211317741_0,48.36009842930359,0.6551724137931034,0.0,0.021691529930217262,0.0006290690608648361,7.507260325468319e-05,0.8056958521754161
243495396_243495392_0,40.52918847615572,0.9090909090909091,0.0,0.0,0.000556841914266079,4.661442395476583e-05,0.9133912604797996
243495422_243495396_0,36.17917282469635,0.8333333333333334,0.0,0.027271389076724217,0.0005587825080064039,4.661442395476582e-05,0.9222089495551093
245491719_1187334109_0,20.614720515707344,0.20689655172413793,0.0,0.1361844435551017,0.0006356681419512396,9.616603489778209e-05,0.7680034349135479
1187334109_1512110626_0,38.952278789677386,0.6428571428571429,0.0,0.1591018864799967,0.0006701107479906924,0.00012550403413655735,0.7152663367886715
1512110626_1187334109_0,38.955791320101085,0.6428571428571429,0.0,0.1591018864799967,0.0006701107479906924,0.00012550403413655735,0.7152663367886715
211318993_211318996_0,50.0,1.0,0.0,0.08172906632810309,0.0006443912364767748,0.00019609671183445,0.8690255901708297
211318993_243494580_0,36.91366410673793,0.6481481481481481,0.0,0.16486344755254406,0.0006581671656227031,0.00017403552483110805,0.8557361231012839
243494580_211318993_0,36.91985753351588,0.6481481481481481,0.0,0.16486344755254406,0.0006581671656227031,0.00017403552483110805,0.8557361231012839
1130841546_211318993_0,41.80028618779752,0.6923076923076923,0.0,0.08291127885955592,0.0006454817615499401,0.00019866315636235274,0.8708489139082072
211318996_211319000_0,39.39434035744274,0.7727272727272727,0.0,0.05031073329377292,0.0006418684244197987,0.00020058662102205674,0.8807379781587188
211318996_1843795432_0,41.28961952685043,0.5909090909090909,0.0,0.07450468974971135,0.0006352112333183914,0.00019122918436425678,0.8667078129521802
1843795432_211318996_0,41.345309697579,0.5909090909090909,0.0,0.07450468974971135,0.0006352112333183914,0.00019122918436425678,0.8667078129521802
243494580_4223738581_0,47.05399897095427,0.9285714285714286,0.0,0.06630510283409005,0.000665588236465246,0.00015036939487809737,0.8405498610927524
4223738581_243494580_0,48.451666139032895,0.8571428571428571,0.0,0.06630510283409005,0.000665588236465246,0.00015036939487809737,0.8405498610927524
243494580_1187722456_0,15.989136272787057,0.29545454545454547,0.0,0.12070067942720195,0.0006731207694040621,0.00014635777955396517,0.8123271873289302
