road_id,width,openness,betweenness,closeness_global,closeness_400,straightness
21638845_885308258_0,43.02560222609751,0.75,0.0008957557243196222,0.00014663505767058586,6.137123246767839e-06,0.7983978682899857
21638845_13175411896_0,26.114885844412843,0.3630952380952381,0.002015224331000025,0.00015423085686551967,1.1165215940204363e-05,0.8123451061237715
21638865_30343650_0,15.135908461328164,0.75,0.00022411474675033618,0.00016129097411255133,3.136210620040383e-05,0.8222063879523833
21638867_1636238503_0,18.154329736865552,0.6666666666666666,0.002528982836522621,0.00016800734769693512,4.823961656866754e-05,0.8310578404430868
21638867_1403082237_0,20.158620174568206,0.6666666666666666,0.0024158077778140014,0.00016763466522144428,4.9778978205760754e-05,0.8299783907409757
21638867_30343414_0,6.935241093502114,0.3333333333333333,0.0006805824602369001,0.00016910510482093813,5.123479147805285e-05,0.8321287772441658
21638868_30343649_0,36.20552432928601,0.8333333333333334,0.0018144428353682658,0.00016657247327041876,5.131129312451927e-05,0.8281266709200847
21638868_30343654_0,36.50830053448889,0.8333333333333334,0.0017754871061057115,0.0001664968303615976,5.091960228789708e-05,0.8284310810088096
21638869_30343672_0,18.2166129147666,0.6666666666666666,0.0021903367387489147,0.00016621564884030472,4.707878118702819e-05,0.830113409704176
21638869_242318729_0,17.913847179754235,0.6666666666666666,0.0010108647554029789,0.00016628334862140692,4.848249337016013e-05,0.8296373322113963
21638869_30343583_0,7.972898375478291,0.2916666666666667,2.079648215950671e-05,0.00016694635844916207,4.954352231848079e-05,0.8284316040975438
21638874_3643971045_0,50.0,1.0,0.013168518365679817,0.00017779855159937984,3.050477356225333e-05,0.8452597097890096
21638874_2952200687_0,46.58386644855521,0.7272727272727273,0.001907273509355629,0.00017877972319785084,3.0786967157937545e-05,0.8453206731324239
21638877_1636238506_0,7.26841825672885,0.5,0.0024344693554039934,0.00016896861012919041,5.625995621948065e-05,0.8289198883928048
21638877_30343573_0,6.8505390822336905,0.3888888888888889,1.959088899083965e-06,0.0001699742753433616,5.2904769314141586e-05,0.8299579788331584
21638878_30343394_0,28.347759526484978,0.5833333333333334,0.00017754871061057115,0.0001688193672038929,4.9586023891946536e-05,0.8257577179838937
21638878_242317164_0,7.142476364596281,0.5,0.0019457269081312387,0.00016788238465190077,5.3247282739847296e-05,0.8270559191466922
21638882_1636238518_0,6.549820883992508,0.25,1.9013208930853354e-05,0.00017524766305509516,3.695185487074214e-05,0.839678473380371
21638882_30343282_0,7.273127150181336,0.8,0.0005774791277915197,0.0001759235279525026,3.590264096039161e-05,0.8406647332988963
21638889_242284800_0,38.28281606075732,0.6666666666666666,3.365614262528863e-05,0.00018601658172063456,2.1080751417462806e-05,0.8454137124789627
21638889_190987748_0,27.689208249715858,0.75,0.0003128514272691009,0.0001852569131755106,2.1732639060605183e-05,0.8481060110526382
21638891_533663031_0,37.863253674678795,0.75,0.03120806011368844,0.0001890176721177859,1.6326771933392803e-05,0.8542330334612944
21638891_190971702_0,50.0,1.0,0.000212862543842777,0.00018862580145051,1.789244466123326e-05,0.8497419953730965
21638917_190981834_0,50.0,1.0,0.00019734053179618866,0.00018302096924175678,1.851656420152008e-05,0.8690386037868693
21638917_190985498_0,31.2352799439359,0.99375,0.00672866663957431,0.0001856847004929317,1.636373790720412e-05,0.8637224883754968
21638918_8371290346_0,50.0,1.0,0.0066615301699941626,0.00018219677239673427,1.8271073356975095e-05,0.8686480573931519
21638920_21638918_0,41.27488423256773,0.75,0.0065981611790661004,0.0001819501935340045,1.9469609333625162e-05,0.8687722157954677
21638921_2984928319_0,46.01212214612839,0.8269230769230769,0.02297423551955766,0.0001810359007394639,2.2180378423247132e-05,0.8674018782066579
21638921_21638920_0,49.745227907367266,0.75,0.0027155734958981955,0.0001820163383983405,2.1286298059455903e-05,0.8688167129362245
21638922_21638921_0,49.261568703616774,0.8333333333333334,0.0258884556065181,0.0001824747732059629,2.1974889514159596e-05,0.8691762687104885
21639537_4471971381_0,50.0,1.0,2.7628176781953353e-07,8.295294223868558e-05,4.98408975240768e-06,0.8017082856364848
21639537_4471971376_0,50.0,1.0,0.00026590864326412743,8.287169275043041e-05,4.787086548339265e-06,0.8034497836619543
21639537_4471971372_0,50.0,1.0,0.00048673312532497646,8.319968185366573e-05,5.630841998960114e-06,0.8069849552455426
26057050_178518958_0,41.988528694882405,0.8421052631578947,0.004589944358358953,0.0001847707269659286,2.0954761954752795e-05,0.8501260451128463
26057050_168319807_0,50.0,1.0,0.005929684883564565,0.0001860642428294382,1.980474434048558e-05,0.8533405470143653
26057076_190958411_0,50.0,1.0,0.002466819438763226,0.00017572577589000275,2.140315121811294e-05,0.8586959346185418
26057076_9425413590_0,50.0,1.0,0.0021199602375279753,0.00017636163811182774,2.1654316696277533e-05,0.8612888901132556
26057079_2984928288_0,50.0,1.0,0.0091119234018343,0.00017822474648389574,2.1160493828096193e-05,0.8666368598896519
26057079_1401592250_0,50.0,1.0,0.00043067304298195834,0.00017650107247053245,1.8420051043369157e-05,0.8627580036797113
26057116_1126640615_0,50.0,1.0,0.006202450337975487,0.00021105377254882081,1.1781990165172976e-05,0.8399357948133481
26057116_216350784_0,50.0,1.0,0.022394269855855766,0.00021176096222390767,1.184989888082123e-05,0.8451864341142268
26057125_26057304_0,30.89133067626042,0.24,0.013357696027063156,0.00021486309654768156,1.5048722630532573e-05,0.8429998569480182
26057125_11466476297_0,31.32287590557531,0.19047619047619047,0.006930578378801694,0.0002172536512722546,1.7516454687364074e-05,0.8459095365787961
26057131_30254228_0,38.48929366671255,0.6666666666666666,0.014307502511778017,0.00021589654695799952,1.227764701984034e-05,0.850177365378523
26057131_1362899977_0,30.617290446662714,0.23076923076923078,0.01427583057457616,0.00021635737684085385,1.4978006244704048e-05,0.8492558998678394
26057304_3218700096_0,31.69482232010745,0.35,0.010499083925007483,0.00021375052522818873,1.4485512942695972e-05,0.8396475404383094
26057304_8201874133_0,24.192289795932957,0.2692307692307692,0.0020691243922491814,0.00021230008630111926,1.2368920108434438e-05,0.8354633834496246
26057312_269369082_0,50.0,1.0,0.0030252853576238927,0.00022154715093344773,2.2581760977779576e-05,0.8470282553852904
26057312_3229689808_0,50.0,1.0,0.021393753108483845,0.00022149571247725704,2.2745031457610984e-05,0.8472928152629057
26057341_26057131_0,48.44967047341184,0.9473684210526315,0.012004543277856121,0.0002164311755329402,1.2768969776817109e-05,0.8504083010521667
26057341_30242757_0,41.867726677342944,0.6875,0.018261898338054656,0.0002167477525882055,1.2533343009802321e-05,0.8492983102114833
26057342_26057345_0,23.42849332694166,0.36666666666666664,7.105464737831459e-05,0.00021377570000261857,1.0235507002984381e-05,0.8456675165467318
26057342_26057341_0,30.86563102975169,0.16666666666666666,0.014794863550211675,0.00021588143104169674,1.1828568112276729e-05,0.8492943377497191
26057345_533662625_0,20.920509481295547,0.23684210526315788,0.00040357231321129684,0.0002122783091644707,1.2058077266278566e-05,0.8438178050760405
26057346_26057345_0,22.944693622625337,0.2857142857142857,0.0003572574423150041,0.00021192348288109956,8.980888066524033e-06,0.8423155075550324
26057347_26057346_0,12.340703283625857,0.1625,0.00036853476174691056,0.00021283773506662094,9.146281069634462e-06,0.8418809804415046
26057347_26057346_1,20.797927870133,0.14285714285714285,0.00036853476174691056,0.00021283773506662094,9.146281069634462e-06,0.8418809804415046
26057388_26057389_0,49.204737323379526,0.7058823529411765,0.011064281072393208,0.00021087134941164917,1.4213625952724562e-05,0.8408365274741523
26057388_30238009_0,24.50572949067413,0.35,0.0013275338943728589,0.00021107862783213878,1.2424798898316142e-05,0.8393330360609161
26057389_559026424_0,50.0,1.0,0.001437368455343297,0.00021163508559360523,1.5475945891496012e-05,0.8407588412610115
26057389_3314271774_0,49.50628518500471,0.6764705882352942,0.011253383384203505,0.00021296551133717688,1.5024905300444947e-05,0.8422115864785953
