road_id,noise_day,noise_evening,noise_night,road_length,road_category,dist_to_main,signals,transport,pois,width,height,betw_centrality,clos_centrality,green_100
2501123851_3587720087_0,65,60,55,60.35679323057312,5,408.55220585395233,1.6583017127974404,3.316603425594881,44.774146245530886,6.965626054146499,8.333333333333334,0.0048419384471347,0.000198319241001,7.176189054895152
30295335_30295334_0,70,65,60,94.7186666290902,5,194.28161030648505,2.1144871206061806,2.1144871206061806,1.0572435603030903,13.836883495502036,4.833333333333333,0.0004645050012776,0.0002129362643394,0.0
60969463_415941159_0,70,65,65,78.53112247794023,4,235.8637716549,2.5472790794807145,6.368197698701786,14.010034937143928,16.957046897768755,10.166666666666666,0.0080660462114912,0.0002422116935069,0.120338803906305
364997573_364997570_0,70,65,60,42.79926819001248,5,265.78315461171064,2.335464245214565,9.34185698085826,2.335464245214565,0.0,0.0,1.6501556496130322e-05,0.0001679461930212,1.245366837277427
2501701062_2501701155_0,70,65,65,130.4281955252698,6,20.756000481842733,3.0678973162666887,2.3009229872000168,17.64040956853346,7.914017879624619,7.44,0.0002241147467503,0.0002102729271776,1.1150258497649703
3361983595_3361983993_0,70,70,65,46.01445949645601,6,0.0,2.1754711222800927,17.40376897824074,36.983009078761576,14.929460885651997,11.625,0.0002241147467503,0.0002158439404275,0.0
1645362844_59850118_0,70,65,60,75.50902847748371,6,0.0,2.6481367940034617,2.6481367940034617,9.268478779012115,8.891640495783188,8.0625,0.0001261100687474,0.0002084587571435,0.0
1310620192_1310620180_0,60,55,50,125.82650763025124,5,621.127183322345,0.7951835887766967,4.771101532660181,1.5903671775533934,19.215537409961737,4.0588235294117645,0.0002241147467503,0.0002048109522708,6.687416123762952
2264456433_2264456445_0,65,65,60,92.22784268672946,5,279.8569832192917,1.0834410983935767,2.166882196787153,1.0834410983935767,26.0712114320933,7.714285714285714,0.0008185977615249,0.0001750330729727,44.12422702981221
30296601_4251794054_0,70,65,60,13.953221201794555,5,50.13739201421601,7.175102380719382,14.350204761438764,7.175102380719382,50.0,0.0,0.0004992662709742,0.0001496874259222,0.0
2869959976_3517445007_0,60,60,55,20.375646489575388,6,55.91844238924826,4.907001195169512,19.628004780678047,19.628004780678047,30.85941993521003,3.0,0.0002241147467503,0.0002166100160525,41.46167888005333
4992822662_1017920188_0,70,65,60,104.91477645138228,5,0.0,1.9033797229989404,1.9033797229989404,2.855069584498411,11.299744870534592,3.75,0.0035409778355212,0.0001979379564245,2.5527007236044
30554956_30554812_0,65,60,60,46.98918985765197,6,547.4300633347357,2.128176844313177,6.38453053293953,50.0,7.24974668099876,3.0,0.0001150587980346,0.0002403521023114,0.0
30617934_416012211_0,65,65,60,80.35360421706804,5,98.95456123425926,1.2472841251101117,2.494568250220224,1.2472841251101117,21.1387833817726,15.428571428571429,0.0002234868336416,0.0001983378611931,10.780163856370423
30555981_30332654_0,65,60,55,66.61008409042094,5,113.67724346796092,1.502369143056108,3.0047382861122163,1.502369143056108,16.769384637967697,6.6923076923076925,0.0004168840711153,0.0002162063335181,0.0
30294318_544298434_0,65,60,55,53.41972768417652,6,563.4078074409229,3.7477153474809057,3.7477153474809057,50.0,6.334959036216991,5.25,0.0002973294152225,0.0001809721621487,3.5133410999602344
2914607801_1303363181_0,65,65,60,87.6242460574094,6,222.39979651374856,3.4296053322911155,5.71600888715186,9.145614219442976,5.652140070432674,6.25,0.0001479865614538,0.0001696095334718,6.894720380919055
30313358_30313357_0,70,65,60,41.93161350925125,5,292.58831851340466,4.77385323926504,4.77385323926504,23.8692661963252,12.073588746478748,20.1,0.0010772226127283,0.0002325595646309,0.0
409506494_409506333_0,70,65,60,190.43251196185057,5,97.2354387774182,0.5255363803508943,1.051072760701789,2.627681901754472,13.977434541650885,10.875,0.0007333773944147,0.0002283998640171,4.2885092812296834
30617577_30237678_0,70,70,65,67.75694592695089,6,314.8263680219613,2.951973478763369,2.951973478763369,7.379933696908422,10.97977904730396,10.071428571428571,0.0020985107257354,0.0002150935359714,7.029133705673382
2432714390_30295838_0,60,55,50,82.2724340077163,6,193.06163009225253,1.2139365375519309,2.4278730751038613,1.2139365375519309,19.062640098504723,9.0,3.119472323926006e-05,0.0001679017650884,0.0
692247920_692807423_0,70,65,60,118.0232012658933,5,30.51955167841017,0.8470704125601873,5.082422475361124,0.8470704125601873,25.30226758232824,14.7,0.0001302542952647,0.0002060536754206,0.0
5333499784_8473849076_0,65,60,55,284.26672065853614,5,173.81895245534471,2.46620671845704,0.7046304909877258,0.3523152454938629,23.41639595199417,3.9375,0.0011366483093339,0.0001297109185252,9.742205523746108
535228382_288022712_0,65,65,55,112.06311470884458,5,439.15576764909,0.8922003120291051,4.461001560145526,0.8922003120291051,21.86184927129176,5.857142857142857,0.0009073344420436,0.0001979349966432,0.0
1349242026_4471541638_0,65,65,60,3100.6658824787464,3,0.0,0.0322726277457739,0.4840894161866088,0.0322726277457739,28.94672670158409,4.235294117647059,0.000218815160113,0.0001553280120563,72.59217435860397
535233407_535233410_0,70,65,60,88.79696278784267,6,165.45083348448296,4.507433233972378,4.507433233972378,10.14172477643785,10.38175708608837,6.6923076923076925,0.0006746298439666,0.0002357779289939,0.0
82026109_60969463_0,70,65,65,55.40437857469858,4,235.4478610046125,3.609964245736637,7.219928491473274,21.65978547441982,16.45184042469843,15.0,0.0084524890550977,0.0002419557996278,0.1493020204839493
30313178_30237689_0,70,65,60,95.05834140090586,5,170.6330945168335,2.104909569474063,3.1573643542110954,3.1573643542110954,12.043113358829078,5.833333333333333,0.0002331315789909,0.0002275942074842,0.0
