road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,signals,transport,pois,width,betweenness,closeness_global,closeness_400,straightness
904490207_904491781_0,1,1,1,5,893.2574847061912,1250.2866980094166,1486.5585314140492,602.8413408755539,0.0,0.0,0.0075123350298867,0.0,24.83319541438093,0.0004242683292734,0.0001153421935376,5.494754177157136e-06,0.6760054223748875
30294478_5264614128_0,3,3,3,3,2135.9994557659834,231.37875124957932,0.0,490.7796489200789,0.0,0.122266304823321,0.0535129983168081,0.081510869882214,38.96474845146906,0.0062524824544751,0.0001959137828824,2.0758400323022148e-05,0.8465655528842468
849592993_256484485_0,3,3,2,4,2538.225278706639,257.6722924593302,281.5964854134004,0.0,0.0,0.1102364207109181,0.0535129983168081,0.0,38.74137194439621,0.0217100706161128,0.0002292380640499,1.5598316579235356e-05,0.8161388497414568
390227095_938093330_0,4,3,3,3,1939.465732600513,0.0,0.0,75.22249568935402,0.0,0.1459667650331754,0.0,0.0,50.0,0.0033607918898541,0.0001555645480497,1.7271029663990148e-05,0.8712085779904066
59850119_998592654_0,4,3,3,3,2100.384440529061,167.78911785874837,0.0,131.07015262329463,0.0,0.0868886928397429,0.0,0.0579257952264952,39.59539605363341,0.0164826437532968,0.0002123036377,2.3439474938507752e-05,0.8550066330381367
126769416_390227134_0,4,3,3,2,1105.9378186155827,0.0,717.7118514296276,47.24882948889167,92.09616843778171,0.0464891678177342,0.0232445839088671,0.0,50.0,0.0033886209988309,0.0001791167924446,1.240508611151671e-05,0.8589687667153663
1431153170_5935529688_0,1,1,1,6,363.4282839732857,388.9022903424252,1073.79190190432,344.6548062510521,84.63219171365569,0.0,0.0,0.0,19.231277694057678,0.0008376612035044,0.0001625658334072,6.848125927746559e-06,0.8123794046989106
863733456_387127584_0,2,2,2,5,1165.1744115434356,304.7245524750594,1141.9052156239077,210.4207180708404,0.0,0.0,0.0357532008818691,0.0357532008818691,24.06481128486315,0.0263373130131274,0.0002095887983344,2.0798352585252413e-05,0.8081656877487761
125930808_30295304_0,4,3,3,3,2978.6102533112894,364.0940706460291,0.0,108.41807589699133,0.0,0.0447850897613006,0.0,0.1119627244032516,32.66547423429277,0.0189303495170318,0.0002194744473605,2.302862593505998e-05,0.8443269559585813
668513977_994071438_0,2,2,1,5,1910.0432154204093,1917.7001572162355,298.8294855987301,272.1601024637831,0.0,0.0,0.0377144405320681,0.0,31.19077724616045,0.0001602434253353,0.0001587124234623,1.1730309475086546e-05,0.8416751043857802
797407413_797407441_0,3,3,2,4,1300.2140817642503,678.6941300195742,116.16359735911338,0.0,0.0,0.1673073764890381,0.0,0.0,50.0,0.0419670247161167,0.000207829151731,2.172445152803423e-05,0.860153764499217
1377806827_1377806846_0,4,3,3,4,1361.0686115071824,16.24408289753516,0.0,0.0,29.39272016123918,0.1417977184669195,0.0,0.0,47.91114051000898,0.0193596913842233,0.0002038380835778,2.583192389608019e-05,0.8692043334494939
30248297_4834501706_0,3,3,3,5,435.4889842172239,1446.125848411909,342.5204519804312,0.0,0.0,0.1673073764890381,0.0,0.0,50.0,0.0055627324628515,0.0001715901446238,1.3501044704930448e-05,0.8281878044081321
30243159_30253568_0,3,3,2,3,2893.496433297204,535.3561538486676,0.0,134.60013220703212,0.0,0.0295278389474933,0.0,0.0369097986843666,24.49667013938082,0.0150432408594814,0.0002365571398783,1.155079405352208e-05,0.832991253963035
30617420_30617389_0,2,2,2,4,2746.230211356288,279.36575643553823,678.1997881475514,0.0,54.70560808566736,0.0,0.0343495363663443,0.0686990727326886,23.43795013651802,0.0007395058263555,0.0002331408699113,2.336750241459729e-05,0.8010639313725416
2650585631_2650585633_0,1,1,0,6,845.1474736069304,723.9415215594654,445.5604770948441,283.5072884362738,50.97732343473311,0.0,0.0,0.0,28.046250644800097,0.000896006889563,0.0001742152751745,2.366518610758435e-05,0.7452716640852254
30295133_30295134_0,2,2,2,5,2661.8730926891267,238.34005636176664,572.8341212937817,107.71789095355098,0.0,0.0,0.0,0.0142355479800165,10.021637770111848,0.0004755813885148,0.0002322689144814,1.939381580888777e-05,0.7992297144196805
